source,name,area,area_id,wikiname,group,term,image,id,name__en,wikipedia__en,gender,birth_date,given_name,twitter,identifier__viaf,death_date,name__es,name__nl,name__de,name__nb,name__da,name__nn,name__sv,wikipedia__es,name__fr,name__fa
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Michael Poole,Stanley,ocd-division/country:fk/constituency:stanley,Michael Poole (politician),Independent,2013,http://www.falklands.gov.fk/assets/Michael-Poole4-187x300.jpg,Q15729594,Michael Poole,Michael Poole (politician),male,1984-10-04,Michael,,,,Michael Poole (político),,,,,,,Michael Poole,Michael Poole,
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Barry Elsby,Stanley,ocd-division/country:fk/constituency:stanley,Barry Elsby,Independent,2013,http://www.falklands.gov.fk/assets/Barry-Elsby-22-257x300.jpg,Q4864199,Barry Elsby,Barry Elsby,male,1962-01-01,Barry,,,,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,,
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Gavin Short,Stanley,ocd-division/country:fk/constituency:stanley,Gavin Short,Independent,2013,http://www.falklands.gov.fk/assets/GS-2-199x300.jpg,Q5528273,Gavin Short,Gavin Short,male,1962-01-01,Gavin,gav424,,,Gavin Short,,Gavin Short,Gavin Short,Gavin Short,Gavin Short,Gavin Short,Gavin Short,Gavin Short,
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Mike Summers,Stanley,ocd-division/country:fk/constituency:stanley,Mike Summers,Independent,2013,http://www.falklands.gov.fk/assets/Mike-Summers-1-233x300.jpg,Q15729606,Mike Summers,Mike Summers,male,1952-01-01,Mike,,,,Mike Summers,,Mike Summers,,,,,Mike Summers,Mike Summers,
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Jan Cheek,Stanley,ocd-division/country:fk/constituency:stanley,Jan Cheek,Independent,2013,http://www.falklands.gov.fk/assets/DSC_04761-211x300.jpg,Q6148688,Jan Cheek,Jan Cheek,female,1948-01-01,Jan,,,,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Phyllis Rendell,Camp,ocd-division/country:fk/constituency:camp,Phyllis Rendell,Independent,2013,http://www.falklands.gov.fk/assets/Phyl-Rendell-1-173x300.jpg,Q15730161,Phyl Rendell,Phyl Rendell,female,,,,,,Phyl Rendell,,Phyl Rendell,,,,,Phyl Rendell,,
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Roger Edwards,Camp,ocd-division/country:fk/constituency:camp,Roger Edwards (politician),Independent,2013,http://www.falklands.gov.fk/assets/Roger-Edwards-2-209x300.jpg,Q15729963,Roger Edwards,Roger Edwards (Falkland Islands politician),male,1946-01-01,Roger,,,,Roger Edwards (político malvinense),Roger Edwards,Roger Edwards,,,,,Roger Edwards,Roger Edwards,راجر ادواردز
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Ian Hansen,Camp,ocd-division/country:fk/constituency:camp,Ian Hansen,Independent,2013,http://www.falklands.gov.fk/assets/IH-1-232x300.jpg,Q5981738,Ian Hansen,Ian Hansen,male,1958-01-01,Ian,,,,Ian Hansen,Ian Hansen,Ian Hansen,Ian Hansen,Ian Hansen,Ian Hansen,Ian Hansen,Ian Hansen,Ian Hansen,
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",Richard Sawle,Stanley,ocd-division/country:fk/constituency:stanley,Richard Sawle,Independent,2009,https://upload.wikimedia.org/wikipedia/commons/e/e4/Dick_Sawle.jpg,Q5273340,Dick Sawle,Dick Sawle,male,1954-01-01,Dick,,,,Dick Sawle,,Dick Sawle,Dick Sawle,Dick Sawle,Dick Sawle,Dick Sawle,Dick Sawle,Dick Sawle,
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",Gavin Short,Stanley,ocd-division/country:fk/constituency:stanley,Gavin Short,Independent,2009,http://www.falklands.gov.fk/assets/GS-2-199x300.jpg,Q5528273,Gavin Short,Gavin Short,male,1962-01-01,Gavin,gav424,,,Gavin Short,,Gavin Short,Gavin Short,Gavin Short,Gavin Short,Gavin Short,Gavin Short,Gavin Short,
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",Glenn Ross,Stanley,ocd-division/country:fk/constituency:stanley,Glenn Ross (politician),Independent,2009,,Q5569080,Glenn Ross,Glenn Ross (politician),male,1964-01-01,Glenn,,,,Glenn Ross,,Glenn Ross,Glenn Ross,Glenn Ross,Glenn Ross,Glenn Ross,Glenn Ross (política),Glenn Ross,
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",Emma Edwards,Stanley,ocd-division/country:fk/constituency:stanley,Emma Edwards,Independent,2009,,Q5372789,Emma Edwards,Emma Edwards,female,1971-01-01,Emma,,,,Emma Edwards,Emma Edwards,Emma Edwards,Emma Edwards,Emma Edwards,Emma Edwards,Emma Edwards,Emma Edwards,Emma Edwards,
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",Jan Cheek,Stanley,ocd-division/country:fk/constituency:stanley,Jan Cheek,Independent,2009,http://www.falklands.gov.fk/assets/DSC_04761-211x300.jpg,Q6148688,Jan Cheek,Jan Cheek,female,1948-01-01,Jan,,,,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,
