id,name,state,area,area_id,wikipedia,wikipedia__en,group_id,group,term,source,coalition,coalition_id,name__en,image,gender,identifier__isni,identifier__viaf,identifier__gnd,identifier__lcauth,identifier__sudoc,birth_date,death_date,identifier__freebase,given_name,identifier__nta,identifier__oxforddnb,identifier__munzinger,family_name,identifier__musicbrainz,identifier__nla,identifier__nndb,identifier__npg,identifier__cantic,identifier__fifa,website,identifier__bnf,twitter,name__de,name__es,name__fr,name__hi,name__id,name__io,name__ja,name__jv,name__ko,name__ms,name__oc,name__pt,name__ru,name__sv,name__th,name__zh,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__ca,name__ta,name__it,name__uk,name__nb,name__da,name__nn,name__nl,wikipedia__de,wikipedia__es,wikipedia__fr,wikipedia__hi,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__ko,wikipedia__ms,wikipedia__oc,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__ta,wikipedia__th,wikipedia__uk,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ml,name__vi,name__sh,name__bcl,name__ar,name__tr,name__fi,name__fa,name__tl,name__min,name__az,name__bn,wikipedia__ar,wikipedia__az,wikipedia__bcl,wikipedia__bn,wikipedia__commons,wikipedia__da,wikipedia__fa,wikipedia__fi,wikipedia__min,wikipedia__ml,wikipedia__no,wikipedia__pl,wikipedia__sh,wikipedia__tl,wikipedia__tr,wikipedia__vi,wikipedia__nl,name__cs,name__sk,wikipedia__simple,name__sco,wikipedia__enwikiquote,wikipedia__sco,name__yo,name__et,name__el,name__yue,name__my,name__wuu,name__lt,name__eo,name__ckb,name__lv,name__la,name__hak,wikipedia__ckb,wikipedia__cs,wikipedia__el,wikipedia__enwikinews,wikipedia__eo,wikipedia__eowikinews,wikipedia__et,wikipedia__hak,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__my,wikipedia__thwikiquote,wikipedia__wuu,wikipedia__yo,wikipedia__zh_yue,wikipedia__ca,name__mr,name__kn,name__pa,name__ur,name__ne,wikipedia__kn,wikipedia__mr,wikipedia__ne,wikipedia__pa,wikipedia__ur,name__nds,name__vmf,name__eu,name__war,name__kk,name__qu,wikipedia__eu,wikipedia__kk,wikipedia__nnwikiquote,wikipedia__plwikiquote,wikipedia__qu,wikipedia__war,name__lmo,identifier__imdb,name__hu,name__gl,wikipedia__gl,wikipedia__hu,name__ka,wikipedia__ka,name__zh_my,name__nan,name__so,name__sa,name__is,name__mk,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,name__bs,name__sr,name__mg,name__ace,name__new,name__ba,wikipedia__ace,wikipedia__arwikiquote,wikipedia__ba,wikipedia__bswikiquote,wikipedia__dewikiquote,wikipedia__is,wikipedia__itwikiquote,wikipedia__mg,wikipedia__mk,wikipedia__new,wikipedia__sa,wikipedia__so,wikipedia__sr,wikipedia__trwikiquote,wikipedia__zh_min_nan,name__ky,wikipedia__ky,name__hr,wikipedia__hr,name__zh_mo
ismail_kassim_(terengganu_politician),Ismail Kassim,Trengganu,"Kuala Trengganu Selatan, Trengganu",P027-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chan_yoon_onn,Chan Yoon Onn,Perak,"Kampar, Perak",P053-1,,,PPP,People's Progressive Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
too_joon_hing,Too Joon Hing,Perak,"Telok Anson, Perak",P055-1,,,IND,Independent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdul_razak_hussin,Abdul Razak Hussin,Pahang,"Lipis, Pahang",P064-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
awang_hassan,Awang Hassan,Johore,"Muar Selatan, Johore",P092-1,http://en.wikipedia.org/wiki/Awang_Hassan,Awang Hassan,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,Awang Hassan,,male,,,,,,1910-11-01,1998-10-23,,,,,,,,,,,,,,,,Awang Hassan,,Awang Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nik_abdul_aziz_nik_mat,Nik Abdul Aziz Nik Mat,Kelantan,"Kelantan Hilir, Kelantan",P016-2,http://en.wikipedia.org/wiki/Nik_Abdul_Aziz_Nik_Mat,Nik Abdul Aziz Nik Mat,PAS,Pan-Malaysian Islamic Party,2,,,,Nik Abdul Aziz Nik Mat,https://upload.wikimedia.org/wikipedia/commons/9/90/Nik_Aziz_Kelantan.jpg,male,0000 0001 0822 8956,6092102,132354276,n80031623,,1931-01-10,2015-02-12,/m/03hwpy,Nik,108455890,,,,,41699164,,,,,,,,Nik Abdul Aziz Nik Mat,Nik Abdul Aziz Nik Mat,Nik Abdul Aziz Nik Mat,,Nik Abdul Aziz Nik Mat,,,,닉 압둘 아지즈 빈 닉 맛,Nik Abdul Aziz bin Nik Mat,,Nik Abdul Aziz Nik Mat,,,นิอับดุลอาซิซ บินนิมัต,聂阿兹聂末,,,,,Nik Abdul Aziz Nik Mat,நிக் அப்துல் அஜிஸ் நிக் மாட்,Nik Abdul Aziz Nik Mat,,,,,Nik Abdul Aziz Nik Mat,,Nik Abdul Aziz Nik Mat,Nik Abdul Aziz Nik Mat,,Nik Abdul Aziz Nik Mat,,Nik Abdul Aziz Nik Mat,,,닉 압둘 아지즈 빈 닉 맛,Nik Abdul Aziz bin Nik Mat,,Nik Abdul Aziz Nik Mat,,,நிக் அப்துல் அசிஸ் நிக் மாட்,นิอับดุลอาซิซ บินนิมัต,,聂阿兹,,,,,,,,,,,,نيك عبد العزيز نيك مات,,,,,,,,نيك عبد العزيز نيك مات,,,,Category:Nik Abdul Aziz Nik Mat,,,,,,,,,,,,,,,Nik Abdul Aziz Nik Mat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nik Abdul Aziz Nik Mat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abu_bakar_hamzah,Abu Bakar Hamzah,Kelantan,"Bachok, Kelantan",P019-2,,,PAS,Pan-Malaysian Islamic Party,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tengku_zaid_tengku_ahmad,Tengku Zaid Tengku Ahmad,Kelantan,"Pasir Mas Hulu, Kelantan",P021-2,,,PAS,Pan-Malaysian Islamic Party,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snawi_ismail,Snawi Ismail,Penang,"Seberang Selatan, Penang",P033-2,,,UMNO,United Malays National Organisation,2,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulaiman_taib,Sulaiman Taib,Perak,"Krian Laut, Perak",P040-2,,,UMNO,United Malays National Organisation,2,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
