name,wikiname,group,term,source,id,name__fr,wikipedia__fr,name__en,wikipedia__en,gender,birth_date,identifier__freebase,given_name,identifier__isni,identifier__viaf,identifier__bnf,identifier__sudoc,identifier__senatdotfr,name__nl,name__pl,name__en_ca,name__en_gb,name__es,name__nb,name__da,name__nn,name__sv,name__de,wikipedia__es,wikipedia__nl,wikipedia__pl
Bruno Magras,Bruno Magras,Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,Q2792714,Bruno Magras,Bruno Magras,Bruno Magras,Bruno Magras,male,1951-09-09,/m/0hr2zqp,Bruno,,,,,,Bruno Magras,Bruno Magras,Bruno Magras,Bruno Magras,Bruno Magras,Bruno Magras,Bruno Magras,Bruno Magras,Bruno Magras,Bruno Magras,Bruno Magras,Bruno Magras,Bruno Magras
Nicole Gréaux,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Magras,Michel Magras,Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,Q385483,Michel Magras,Michel Magras,Michel Magras,Michel Magras,male,1954-01-06,,Michel,0000 0000 2941 9316,59119452,121381322,129032298,senateur/magras_michel08019v,,,,,Michel Magras,,,,,Michel Magras,,,
Karine Miot Richard,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nils Dufau,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cécile Tiberghien,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Laplace,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micheline Jacques,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Marie Danet,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marie-Angèle Aubin,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Lédée,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juliette Gréaux,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Brin,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinne Febrissy,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald Gumbs,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Élodie Laplace,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benoît Chauvin,"",Tous pour Saint-Barth,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bettina Cointre,"",Tous pour Saint-Barth,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxime Desouches,"",Saint-Barth en mouvement !,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
