id,name,constituency,party,executive,email,term,source,party_id
Kenneth_Bascome,Kenneth Bascome,01 - St. George's North,OBA,"",kbascome@parliament.bm,2012,http://www.parliament.bm/Kenneth_Bascome.aspx,OBA
Nandi_Davis,Nandi Outerbridge,02 - St. George's West,OBA,"",nouterbridge@parliament.bm,2012,http://www.parliament.bm/Nandi_Davis.aspx,OBA
Lavita_Foggo,Lovitta Foggo ,03 - St. David's,PLP,Shadow Minister of Education & Party Whip,lfoggo@parliament.bm,2012,http://www.parliament.bm/Lavita_Foggo.aspx,PLP
Suzann_Roberts-Holshouser,Suzann Roberts-Holshouser,04 - St. George's South,OBA,Deputy Speaker,sholshouser@parliament.bm,2012,http://www.parliament.bm/Suzann_Roberts-Holshouser.aspx,OBA
Derrick_Burgess,Derrick Burgess,05 - Hamilton East,PLP,Shadow Minister of Labour & Seniors,dburgess@parliament.bm,2012,http://www.parliament.bm/Derrick_Burgess.aspx,PLP
Wayne_Furbert,Wayne Furbert,06 - Hamilton West,PLP,Shadow Minister of Economic Development,wfurbert@parliament.bm,2012,http://www.parliament.bm/Wayne_Furbert.aspx,PLP
Sylvan_Richards_,Sylvan Richards Jr.,07 - Hamilton South,OBA,Junior Minister of Home Affairs ,srichards@parliament.bm,2012,http://www.parliament.bm/Sylvan_Richards_.aspx,OBA
Cole_Simons,N. Cole Simons,08 - Smiths South,OBA,Government Whip,nsimons@parliament.bm,2012,http://www.parliament.bm/Cole_Simons.aspx,OBA
Trevor_Moniz,Trevor Moniz,09 - Smiths West,OBA,Attorney General & Minister of Legal Affairs,tmoniz@parliament.bm,2012,http://www.parliament.bm/Trevor_Moniz.aspx,OBA
Mr._Michael_Dunkle,Michael Dunkley,10 - Smiths North,OBA,Premier & Minister of National Security  ,mdunkley@parliament.bm,2012,http://www.parliament.bm/Mr._Michael_Dunkle.aspx,OBA
Bob_Richards,E. T. Bob Richards,11 - Devonshire East,OBA,Deputy Premier & Minister of Finance,brichards@parliament.bm,2012,http://www.parliament.bm/Bob_Richards.aspx,OBA
Craig_Cannonier,Craig Cannonier,12 - Devonshire South Central,OBA,Minister of Public Works,ccannionier@gov.bm,2012,http://www.parliament.bm/Craig_Cannonier.aspx,OBA
Glen_Blakeney_Bio,Glenn Blakeney,13 - Devonshire North Central,PLP,Shadow Minister of Environment ,gblakeney@parliament.bm,2012,http://www.parliament.bm/Glen_Blakeney_Bio.aspx,PLP
Glen_Smith,Glen Smith,14 - Devonshire North West,OBA,"",gsmith@parliament.bm,2012,http://www.parliament.bm/Glen_Smith.aspx,OBA
Walter_Roban,Walter Roban,15 - Pembroke East,PLP,Shadow Minister of Public Safety,wroban@parliament.bm,2012,http://www.parliament.bm/Walter_Roban.aspx,PLP
Michael_Weeks,Michael Weeks,16 - Pembroke East Central,PLP,Shadow Minster of Community,mweeks@parliament.bm,2012,http://www.parliament.bm/Michael_Weeks.aspx,PLP
Walton_Brown,Walton Brown,17 - Pembroke Central,PLP,Shadow Minister of Immigration,wbrown@parliament.bm,2012,http://www.parliament.bm/Walton_Brown.aspx,PLP
E._David_Burt,David Burt,18 - Pembroke West Central,PLP,Shadow Minister of Finance,dburt@parliament.bm,2012,http://www.parliament.bm/E._David_Burt.aspx,PLP
Jeanne_Atherden,Jeanne Atherden,19 - Pembroke West,OBA,Minister of Health & Environment,jatherden@parliament.bm,2012,http://www.parliament.bm/Jeanne_Atherden.aspx,OBA
Susan_Jackson,Susan Jackson,20 - Pembroke South West,OBA,"",sjackson@parliament.bm,2012,http://www.parliament.bm/Susan_Jackson.aspx,OBA
Rolfe_Commissiong,Rolfe Commissiong,21 - Pembroke South East,PLP,Shadow Minister of Human Affairs,rcommissiong@parliament.bm,2012,http://www.parliament.bm/Rolfe_Commissiong.aspx,PLP
Dr._Grant_Gibbons,Grant Gibbons,22 - Paget East,OBA,Minister of Economic Development,ggibbons@parliament.bm,2012,http://www.parliament.bm/Dr._Grant_Gibbons.aspx,OBA
Patricia_Gordon_Pamplin,Patricia Gordon Pamplin,23 - Paget West,OBA,"Minister of Community, Culture & Sports",ppamplin@parliament.bm,2012,http://www.parliament.bm/Patricia_Gordon_Pamplin.aspx,OBA
Lawrence_Scott,Lawrence Scott,24 - Warwick South East,PLP,Shadow Minister of Transportation,lwscott@parliament.bm,2012,http://www.parliament.bm/Lawrence_Scott.aspx,PLP
Mark_Pettingill,Mark Pettingill,25 - Warwick North East,OBA,"",mpettingill@parliament.bm,2012,http://www.parliament.bm/Mark_Pettingill.aspx,OBA
Marc_Bean,Marc Bean ,26 - Warwick South Central,PLP,Opposition Leader,mbean@parliament.bm,2012,http://www.parliament.bm/Marc_Bean.aspx,PLP
Wayne_Scott,Wayne Scott,27 - Warwick North Central,OBA,Minister of Education ,rwscott@parliament.bm,2012,http://www.parliament.bm/Wayne_Scott.aspx,OBA
Jeff_Sousa,Jeff Sousa,28 - Warwick West,OBA,"",jsousa@parliament.bm,2012,http://www.parliament.bm/Jeff_Sousa.aspx,OBA
Zane_Desilva,Zane DeSilva,29 - Southampton East,PLP,Shadow Minister of Tourism,zdesilva@parliament.bm,2012,http://www.parliament.bm/Zane_Desilva.aspx,PLP
Leah_Scott,Leah Scott,30 - Southampton East Central,OBA,Junior Minister of Education,lkscott@gov.bm,2012,http://www.parliament.bm/Leah_Scott.aspx,OBA
Shawn_Crockwell,Shawn Crockwell,31 - Southampton West Central,OBA,Minister of Tourism and Transport,scrockwell@parliament.bm,2012,http://www.parliament.bm/Shawn_Crockwell.aspx,OBA
Randy_Horton,Randolph Horton,32 - Southampton West,Independent,Speaker of the House of Assembly,rhorton@parliament.bm,2012,http://www.parliament.bm/Randy_Horton.aspx,Independent
Mr._Jamahl_S._Simmons,Jamahl Simmons,33 - Sandys South,PLP,"","",2012,http://www.parliament.bm/Mr._Jamahl_S._Simmons.aspx,PLP
Mrs._Kim_Wilson,Kim Wilson,34 - Sandys South Central,PLP,Shadow Minister of Health,kwilson@parliament.bm,2012,http://www.parliament.bm/Mrs._Kim_Wilson.aspx,PLP
Dennis_Lister,Dennis Lister,35 - Sandys North Central,PLP,Shadow Minister of Public Works,dlister@parliament.bm,2012,http://www.parliament.bm/Dennis_Lister.aspx,PLP
Michael_Scott,Michael Scott,36 - Sandys North,PLP,Shadow Attorney General,mscott@parliament.bm,2012,http://www.parliament.bm/Michael_Scott.aspx,PLP
