name,area,party,term,source
Nyapane Edward Kaya,Mechachane,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mamahele Radebe,Hololo,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tumaole Clement Lerafa,Moteete,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Leboea Mothuku,Qalo,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Motlohi Maliehe,Botha-Bothe,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mokoto Francis Hloaele,Maliba-Matšo,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Phakiso Edwill Khama,Mphosong,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mahala Molapo,Thaba-Phatšoa,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mothejoa Metsing,Mahobong,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tieho Gilbert Mamasiane,Pela-Tšoeu,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Moshe Leoma,Matlakeng,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tsehlo Moses Ramarou,Leribe,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Keketso Utloang Sello,Hlotse,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Samonyane Ntsekele,Tsikoane,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Sotlehang Sidwell Sekhamane,Maputsoe,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Lekhetho Mosito,Likhetlane,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tlali Khasu,Peka,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Halebonoe James Setsabi,Kolonyama,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tsoinyana Samuel Rapapa,Mosalemane,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Lefu Clement Hlomelang,'Makhoroana,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Lits'oane Lits'oane,Bela-Bela,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Leshoboro Mohlajoa,Malimong,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Habofanoe Sixtus Lehana,Khafung,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Maliehe Prince Maliehe,Teyateyaneng,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tsóeu Molise,Tsóana Makhulo,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Molefi Africa Simon Makakane,Thupa-Kubu,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Monaphathi Maraka,Berea,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Likopo Remington Mahase,Khubetsoana,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Moshoeshoe Fako,Mabote,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Pitso Maisa,Motimposo,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mokherane Tsatsanyane,Stadium Area,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Lesego Casayel Makgothi,Maseru,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Sekoboto Gilbert Molise,Thetsane,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Chalane Cletus Phori,Qoaling,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Lehlohonolo Moramotse,Lithoteng,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
'Matebatso Doti,Lithabaneng,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Dr. Motsoahae Thabane,Abia,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Boomo Frank Sofonia,Thaba - Bosiu,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
