id,name__zh,name__en,image,term,source,wikiname__zh,name,wikipedia__zh,wikipedia__en,gender,birth_date,family_name,given_name,identifier__freebase,name__de,name__nl,wikipedia__commons,name__es,name__yue,wikipedia__zh_yue,name__fr,name__zh_cn,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_mo,name__zh_my,name__zh_sg,name__zh_tw,name__it,name__nb,name__pt,wikipedia__pt
ho_iat_seng,賀一誠,HO IAT SENG,http://www.al.gov.mo/dep_2013/img/01.jpg,10,http://www.al.gov.mo/dep_2013/cn/ho%20iat%20seng.htm,賀一誠,HO IAT SENG,賀一誠,Ho Iat Seng,male,1957-06-12,,,,Ho Iat Seng,,,Ho Iat Seng,,,,,,,,,,,,,,,
lam_heong_sang,林香生,LAM HEONG SANG,http://www.al.gov.mo/dep_2013/img/02.jpg,10,http://www.al.gov.mo/dep_2013/cn/lam_heong_sang.htm,"",LAM HEONG SANG,,,,,,,,,,,,,,,,,,,,,,,,,,
chui_sai_cheong,崔世昌,CHUI SAI CHEONG,http://www.al.gov.mo/dep_2013/img/03.jpg,10,http://www.al.gov.mo/dep_2013/cn/chui_sai_cheong.htm,崔世昌,CHUI SAI CHEONG,崔世昌,Chui Sai Cheong,male,1954-02-19,Cui,,,Chui Sai Cheong,Chui Sai Cheong,,Chui Sai Cheong,崔世昌,,Chui Sai Cheong,崔世昌,崔世昌,崔世昌,崔世昌,崔世昌,崔世昌,崔世昌,崔世昌,,,,
kou_hoi_in,高開賢,KOU HOI IN,http://www.al.gov.mo/dep_2013/img/04.jpg,10,http://www.al.gov.mo/dep_2013/cn/kou_hoi_in.htm,高開賢,KOU HOI IN,高開賢,,,1953-01-01,Gao,,,,,,,,,,,,,,,,,,,,,
leonel,歐安利,LEONEL ALBERTO ALVES,http://www.al.gov.mo/dep_2013/img/07.jpg,10,http://www.al.gov.mo/dep_2013/cn/leonel.htm,歐安利,LEONEL ALBERTO ALVES,歐安利,Leonel Alberto Alves,male,1957-04-05,,Leonel,,Leonel Alberto Alves,Leonel Alberto Alves,,Leonel Alberto Alves,,,Leonel Alberto Alves,,,,,,,,,,,,
cheung_lup_kwan,張立群,CHEUNG LUP KWAN VITOR,http://www.al.gov.mo/dep_2013/img/09.jpg,10,http://www.al.gov.mo/dep_2013/cn/cheung_lup_kwan.htm,張立群 (澳門),CHEUNG LUP KWAN VITOR,張立群 (澳門),,male,,,,,,,,,,,,,,,,,,,,,,,
chan_chak_mo,陳澤武,CHAN CHAK MO,http://www.al.gov.mo/dep_2013/img/11.jpg,10,http://www.al.gov.mo/dep_2013/cn/chan_chak_mo.htm,"",CHAN CHAK MO,,,,,,,,,,,,,,,,,,,,,,,,,,
cheang_chi_keong,鄭志強,CHEANG CHI KEONG,http://www.al.gov.mo/dep_2013/img/12.jpg,10,http://www.al.gov.mo/dep_2013/cn/cheang_chi_keong.htm,鄭志強,CHEANG CHI KEONG,鄭志強,,,,,,,,,,,,,,,,,,,,,,,,,
chui_sai_peng,崔世平,CHUI SAI PENG JOSE,http://www.al.gov.mo/dep_2013/img/16.jpg,10,http://www.al.gov.mo/dep_2013/cn/chui_sai_peng.htm,崔世平,CHUI SAI PENG JOSE,崔世平,,male,,Cui,José,,José Chui,,,José Chui,崔世平,崔世平,,,,,,,,,,,,,
chan_iek_lap,陳亦立,CHAN IEK LAP,http://www.al.gov.mo/dep_2013/img/26.jpg,10,http://www.al.gov.mo/dep_2013/cn/chan%20iek%20lap.htm,"",CHAN IEK LAP,,,,,,,,,,,,,,,,,,,,,,,,,,
