id,name__en,name,wikipedia__en,gender,given_name,image,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,identifier__freebase,identifier__ISNI,identifier__BNF,identifier__NTA,identifier__wikidata
,Athaliah Molokomme,Athaliah Molokomme,Athaliah Molokomme,female,,,,,,,,,,,Q17513548
,Duma Boko,Duma Boko,Duma Boko,male,,,,,,,,,,,Q18618881
,Edwin Batshu,Edwin Batshu,Edwin Batshu,male,Edwin,,,,,,,,,,Q18763858
,Ian Khama,Ian Khama,Ian Khama,male,Ian,https://upload.wikimedia.org/wikipedia/commons/f/fe/Ian_Khama_(2014).jpg,101455210,1067832742,nb2009027267,1953-02-27,/m/049k7b,,,,Q57449
,Kitso Mokaila,Kitso Mokaila,Kitso Mokaila,male,,,,,,,,,,,Q6418347
,Mokgweetsi Masisi,Mokgweetsi Masisi,Mokgweetsi Masisi,male,,,,,,,,,,,Q18618891
,Nonofo Molefhi,Nonofo Molefhi,Nonofo Molefhi,male,,,,,,,,,,,Q18618892
,Pelonomi Venson-Moitoi,Pelonomi Venson-Moitoi,Pelonomi Venson-Moitoi,female,,,,,,,,,,,Q7161670
,Shaw Kgathi,Shaw Kgathi,Shaw Kgathi,male,,,,,,,,,,,Q10961094
,Tshekedi Khama II,Tshekedi Khama II,Tshekedi Khama II,male,,,,,,,,,,,Q7849607
,Unity Dow,Unity Dow,Unity Dow,female,,https://upload.wikimedia.org/wikipedia/commons/0/01/Unity_Dow_-_PopTech_2011_-_Camden_Maine_USA.jpg,69163486,,,1959-04-23,,0000 0000 8391 6911,14517628h,167270761,Q4945158
