name,email,id
His Excellency Lt. General Seretse Khama Ian Khama,"",his-excellency-lt.-general-seretse-khama-ian-khama
His Honour the Vice President Mokgweetsi Eric Masisi,"",his-honour-the-vice-president-mokgweetsi-eric-masisi
Hon. Minister Pelonomi Venson-Moitoi,"",hon.-minister-pelonomi-venson-moitoi
Hon. Dr. Alfred Madigele,"",hon.-dr.-alfred-madigele
Hon. Kgotla Autlwetse,"",hon.-kgotla-autlwetse
Hon. Mokgweetsi Eric Masisi,"",hon.-mokgweetsi-eric-masisi
Hon. Nonofo E. Molefhi,"",hon.-nonofo-e.-molefhi
Hon. James Mathokgwane,"",hon.-james-mathokgwane
Hon. Kagiso P. Molatlhegi,kpmolatlhegi@gov.bw,hon.-kagiso-p.-molatlhegi
Hon. Itumeleng Moipisi,"",hon.-itumeleng-moipisi
Hon. Keorapetse Dithapelo,"",hon.-keorapetse-dithapelo
Hon. Christian De Graaf,"",hon.-christian-de-graaf
Hon. Noah Salakae,"",hon.-noah-salakae
Hon. Joseph Molefe,"",hon.-joseph-molefe
Hon. Bagalatia Arone,barone@gov.bw,hon.-bagalatia-arone
Hon. Onkokame K. Mokaila,"",hon.-onkokame-k.-mokaila
Hon. Samson M. Guma,"",hon.-samson-m.-guma
Hon. Dikgang P. Makgalemele,dmakgalemele@gov.bw,hon.-dikgang-p.-makgalemele
Hon. Shaw Kgathi,"",hon.-shaw-kgathi
Hon. Sethomo Lelatisitswe,"",hon.-sethomo-lelatisitswe
Hon. Edwin J. Batshu,ebatshu@gov.bw,hon.-edwin-j.-batshu
Hon. Abram Kesupile,"",hon.-abram-kesupile
Hon. Mohammed Khan,"",hon.-mohammed-khan
Hon.Konstantinos Markus,"",hon.konstantinos-markus
Hon. Tshenolo Mabeo,"",hon.-tshenolo-mabeo
Hon. Vincent Seretse,"",hon.-vincent-seretse
Hon. France VAN DER WESTHUIZEN,"",hon.-france-van-der-westhuizen
Hon. Ontefetse K. Matambo,"",hon.-ontefetse-k.-matambo
Hon. Thapelo Olopeng,"",hon.-thapelo-olopeng
Hon. Haskins Nkaingwa,"",hon.-haskins-nkaingwa
Hon. Duma Boko,"",hon.-duma-boko
Hon. Eric. Molale,"",hon.-eric.-molale
Hon. Tshekedi Khama,"",hon.-tshekedi-khama
Hon. Gaolathe Ndaba Nkosinathi,"",hon.-gaolathe-ndaba-nkosinathi
Hon. Isaac Jacob Davids,"",hon.-isaac-jacob-davids
Hon. Gilbert Mangole,gmangole@gov.bw,hon.-gilbert-mangole
Hon. Moiseraele Goya,mgoya@gov.bw,hon.-moiseraele-goya
Hon. Sadique Kebonang,"",hon.-sadique-kebonang
Hon. Shawn. Nthaile,"",hon.-shawn.-nthaile
Hon. Wynter Mmolotsi,wmmolotsi@gov.bw,hon.-wynter-mmolotsi
Hon. Machana Ronald Shamukuni,"",hon.-machana-ronald-shamukuni
Hon. Prince Maele,"",hon.-prince-maele
Hon. Sedirwa Kgoroba,"",hon.-sedirwa-kgoroba
Hon. Liakat Kablay,lkablay@gov.bw,hon.-liakat-kablay
Hon. Kgosi Tawana Moremi II,tlmoremi@gov.bw,hon.-kgosi-tawana-moremi-ii
Hon. Pius Mokgware,"",hon.-pius-mokgware
Hon. Phenyo Butale,"",hon.-phenyo-butale
Hon. Thato Kwerepe,"",hon.-thato-kwerepe
Hon. Samuel Rantuana,"",hon.-samuel-rantuana
Hon. Ngaka Ngaka,"",hon.-ngaka-ngaka
Hon. Botlogile M. Tshireletso,"",hon.-botlogile-m.-tshireletso
Hon. Slumber Tsogwane,stsogwane@gov.bw,hon.-slumber-tsogwane
Hon. Patrick Ralotsia,"",hon.-patrick-ralotsia
Hon. Polson Majaga,"",hon.-polson-majaga
Hon. Unity Dow,"",hon.-unity-dow
Hon. Dorcus Makgato,"",hon.-dorcus-makgato
Hon. Same Bathobakae,"",hon.-same-bathobakae
Hon. Biggie Butale,"",hon.-biggie-butale
Hon Fedilis M. Molao,"",hon-fedilis-m.-molao
Hon. Honest Billy,"",hon.-honest-billy
Hon. Gladys Kokorwe,"",hon.-gladys-kokorwe
