id,name,source,area,email,image,term
46,"Бганба Валерий Рамшухович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=46,9,,http://www.parlamentra.org/upload/iblock/b85/%D1%80%D0%B0%D0%BC.jpg,5
127,"Гамисония Эмма Алексеевна",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=127,32,gamisonia.e@parlamentra.org,http://www.parlamentra.org/upload/iblock/d1a/gamisonia-e.jpg,5
129,"Косян Вагаршак Арамович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=129,12,kosian.v@parlamentra.org,http://www.parlamentra.org/upload/iblock/e5e/kosian-v.jpg,5
130,"Цвижба Отар Шотович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=130,29,tsvizhba.o@parlamentra.org,http://www.parlamentra.org/upload/iblock/c3b/tsvijba.jpg,5
1294,"Джапуа Алмас Северьянович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=1294,,,http://www.parlamentra.org/upload/iblock/c71/3543764745.jpg,5
211,"Барганджия Гурам Юрьевич",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=211,14,,http://www.parlamentra.org/upload/iblock/939/DSCN3711.JPG,5
140,"Кокоскерия Анзор Херсонович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=140,10,kokoskeria.a@parlamentra.org,http://www.parlamentra.org/upload/iblock/515/no-photo.jpg,5
157,"Чамагуа Леонид Михайлович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=157,16,chamagua.l@parlamentra.org,http://www.parlamentra.org/upload/iblock/244/chamagua-l.jpg,5
213,"Агрба Валерий Владимирович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=213,4,agrba.v@parlamentra.org,http://www.parlamentra.org/upload/iblock/684/agrba_s.jpg,5
212,"Агрба Георгий Резикович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=212,13,agrba.g@parlamentra.org,http://www.parlamentra.org/upload/iblock/f17/agrba_g.jpg,5
207,"Бжания Ахра Юрьевич",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=207,5,bzhania.a@parlamentra.org,http://www.parlamentra.org/upload/iblock/482/akhra.jpg,5
210,"Авидзба Фазилбей Лизберович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=210,19,avidzba.f@parlamentra.org,http://www.parlamentra.org/upload/iblock/09f/avidzba-f.jpg,5
