name,group,wikipedia,wikipedia_title,area,term,source,wikidata,family_name,given_name,image,gender,birth_date
Erion Braçe,Socialist Party,https://en.wikipedia.org/wiki/Erion_Bra%C3%A7e,Erion Braçe,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Ermonela Felaj,Socialist Party,https://en.wikipedia.org/wiki/Ermonela_Felaj,Ermonela Felaj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Fidel Ylli,Socialist Party,https://en.wikipedia.org/wiki/Fidel_Ylli,Fidel Ylli,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Genc Pollo,Democratic Party,https://en.wikipedia.org/wiki/Genc_Pollo,Genc Pollo,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q3299466,,Genc,https://upload.wikimedia.org/wikipedia/commons/5/5e/Genc_Pollo.jpg,male,1963-04-07
Lefter Maliqi,Democratic Party,https://en.wikipedia.org/wiki/Lefter_Maliqi,Lefter Maliqi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q6517017,,,,male,
Marko Bello,Socialist Party,https://en.wikipedia.org/wiki/Marko_Bello,Marko Bello,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Mehmet Xheka,Democratic Party,https://en.wikipedia.org/wiki/Mehmet_Xheka,Mehmet Xheka,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q6809656,,Mehmet,,male,
Nasip Naço,Socialist Movement for Integration,https://en.wikipedia.org/wiki/Nasip_Na%C3%A7o,Nasip Naço,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q6967109,,,,male,1961-04-05
Bedri Hoxha,Democratic Party,https://en.wikipedia.org/wiki/Bedri_Hoxha,Bedri Hoxha,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q4879385,,Bedri,,male,
Jemin Gjana,Democratic Party,https://en.wikipedia.org/wiki/Jemin_Gjana,Jemin Gjana,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q6177187,,,,male,
Qemal Minxhozi,Socialist Party,https://en.wikipedia.org/wiki/Qemal_Minxhozi,Qemal Minxhozi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Sadri Abazi,Socialist Party,https://en.wikipedia.org/wiki/Sadri_Abazi,Sadri Abazi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Selami Xhepa,Democratic Party,https://en.wikipedia.org/wiki/Selami_Xhepa,Selami Xhepa,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q16976102,,,,,
Sherefedin Shehu,Democratic Party,https://en.wikipedia.org/wiki/Sherefedin_Shehu,Sherefedin Shehu,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q7494813,,,,male,
Albana Vokshi,Democratic Party,https://en.wikipedia.org/wiki/Albana_Vokshi,Albana Vokshi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q4709025,,Albana,,female,
Blendi Klosi,Socialist Party,https://en.wikipedia.org/wiki/Blendi_Klosi,Blendi Klosi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Eduard Halimi,Democratic Party,https://en.wikipedia.org/wiki/Eduard_Halimi,Eduard Halimi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5340403,,Eduard,,male,1971-12-08
Ferdinand Xhaferri1,Democratic Party,https://en.wikipedia.org/wiki/Ferdinand_Xhaferri#endnote_1,Ferdinand Xhaferri,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Gazmend Oketa,New Democratic Spirit,https://en.wikipedia.org/wiki/Gazmend_Oketa,Gazmend Oketa,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q531457,,Gazmend,https://upload.wikimedia.org/wikipedia/commons/d/d2/Gazmend_Oketa_080522-D-9880W-017.jpg,male,1968-12-14
Gazmir Bizhga,Socialist Party,https://en.wikipedia.org/wiki/Gazmir_Bizhga,Gazmir Bizhga,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Hazir Gashi,Socialist Party,https://en.wikipedia.org/wiki/Hazir_Gashi,Hazir Gashi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Igli Cara,Democratic Party,https://en.wikipedia.org/wiki/Igli_Cara,Igli Cara,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5992076,,,,male,
Klodiana Spahiu,Socialist Party,https://en.wikipedia.org/wiki/Klodiana_Spahiu,Klodiana Spahiu,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
