id,name,wikipedia__en,group,group_id,term,source,area,area_id,image,name__en,gender,given_name,birth_date,family_name,identifier__freebase,name__nl,name__de,name__nb,name__da,name__nn,name__sv,name__it,name__fr,name__es,wikipedia__es,name__pl,wikipedia__pl,name__ht,wikipedia__ht,name__zh,name__pt,name__ru,name__tr,name__fi,name__gl,name__et,name__id,name__mr,name__el,name__sh,name__ca,name__oc,name__io,wikipedia__ca,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__id,wikipedia__io,wikipedia__mr,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__tr,wikipedia__zh,name__yo,wikipedia__yo,identifier__wikidata
emma-hippolyte,Emma Hippolyte,Emma Hippolyte,SLP,Saint Lucia Labour Party,9,,Gros Islet,ocd-division/country:lc/constituency:gros-islet,http://www.govt.lc/media.govt.lc/www/employees/photos/EmmaHippolyte.jpg,Emma Hippolyte,female,Emma,,,,,Emma Hippolyte,Emma Hippolyte,Emma Hippolyte,Emma Hippolyte,Emma Hippolyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q5372840
alvina-reynolds,Alvina Reynolds,Alvina Reynolds,SLP,Saint Lucia Labour Party,9,,Babonneau,ocd-division/country:lc/constituency:babonneau,http://www.govt.lc/media.govt.lc/www/employees/photos/AlvinaReynolds.jpg,Alvina Reynolds,female,Alvina,,,,,Alvina Reynolds,Alvina Reynolds,Alvina Reynolds,Alvina Reynolds,Alvina Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4738268
stephenson-king,Stephenson King,Stephenson King,UWP,United Workers Party,9,,Castries North,ocd-division/country:lc/constituency:castries-north,http://www.govt.lc/media.govt.lc/www/employees/photos/stephensonking.jpg,Stephenson King,male,,1958-11-13,,/m/02726sb,Stephenson King,Stephenson King,Stephenson King,Stephenson King,Stephenson King,Stephenson King,,Stephenson King,Stephenson King,Stephenson King,Stephenson King,Stephenson King,,,斯蒂芬森·金,,"Кинг, Стивенсон",Stephenson King,,,Stephenson King,Stephenson King,,Στίβενσον Κινγκ,Stephenson King,,,,,,Stephenson King,Στίβενσον Κινγκ,Stephenson King,,Stephenson King,,Stephenson King,,,Stephenson King,,,"Кинг, Стивенсон",Stephenson King,Stephenson King,斯蒂芬森·金,Stephenson King,Stephenson King,Q708289
philip-pierre,Philip Pierre,Philip Pierre,SLP,Saint Lucia Labour Party,9,,Castries East,ocd-division/country:lc/constituency:castries-east,http://www.govt.lc/media.govt.lc/www/employees/photos/PhillipJPierre.jpg,Philip Pierre,male,Philip,,,,Philip Pierre,Philip Pierre,Philip Pierre,Philip Pierre,Philip Pierre,Philip Pierre,Philip Pierre,Philip Pierre,Philip Pierre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7184214
richard-frederick,Richard Frederick,Richard Frederick,UWP,United Workers Party,9,,Castries Central,ocd-division/country:lc/constituency:castries-central,http://www.govt.lc/media.govt.lc/www/employees/photos/richardfrederick.jpg,Richard Frederick,male,Richard,1965-08-06,,,Richard Frederick,Richard Frederick,,,,,,,Richard Frederick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7325780
robert-kennedy-lewis,Robert Kennedy Lewis,Robert Kennedy Lewis,SLP,Saint Lucia Labour Party,9,,Castries South,ocd-division/country:lc/constituency:castries-south,http://www.govt.lc/media.govt.lc/www/employees/photos/RobertLewis.jpg,Robert Kennedy Lewis,male,Robert,,,,,Robert Kennedy Lewis,Robert Kennedy Lewis,Robert Kennedy Lewis,Robert Kennedy Lewis,Robert Kennedy Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7346316
guy-joseph,Guy Joseph,Guy Joseph,UWP,United Workers Party,9,,Castries South East,ocd-division/country:lc/constituency:castries-south-east,http://www.govt.lc/media.govt.lc/www/employees/photos/guyjoseph.jpg,Guy Joseph,male,Guy,1957-01-01,,,,Guy Joseph,,,,,,Guy Joseph,,,,,Guy Joseph,Guy Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q5622382
desmond-long,Desmond Long,"",SLP,Saint Lucia Labour Party,9,,Anse la Raye and Canaries,ocd-division/country:lc/constituency:anse-la-raye-and-canaries,http://www.govt.lc/media.govt.lc/www/employees/photos/desmondlong.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harold-dalson,Harold Dalson,Harold Dalson,SLP,Saint Lucia Labour Party,9,,Soufriere,ocd-division/country:lc/constituency:soufriere,http://www.govt.lc/media.govt.lc/www/employees/photos/HaroldDalson.jpg,Harold Dalson,male,Harold,,,,Harold Dalson,Harold Dalson,,,,,Harold Dalson,Harold Dalson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16206884
lorne-theophilus,Lorne Theophilus,"",SLP,Saint Lucia Labour Party,9,,Choiseul,ocd-division/country:lc/constituency:choiseul,http://www.govt.lc/media.govt.lc/www/employees/photos/LorneTheophilus.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
