id,name__nl,name,wikipedia__nl,name__fr,wikipedia__fr,name__en,wikipedia__en,image,gender,birth_date,given_name,identifier__freebase,website,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__IMDB,identifier__NTA,identifier__Munzinger,family_name,identifier__BNF,death_date,identifier__EuroparlMEP,identifier__parlement,identifier__ISNI,twitter,facebook,identifier__DBNL
Q568259,Ahmed Laaouej,Ahmed Laaouej,Ahmed Laaouej,Ahmed Laaouej,Ahmed Laaouej,,"",https://upload.wikimedia.org/wikipedia/commons/7/71/LaaouejWiki.jpg,male,1969-12-08,Ahmed,,,,,,,,,,,,,,,,,,
Q1663490,Alain Mathot,Alain Mathot,Alain Mathot,Alain Mathot,Alain Mathot,Alain Mathot,"",,male,1972-08-29,Alain,,,,,,,,,,,,,,,,,,
Q5237918,Alain Top,Alain Top,Alain Top,Alain Top,Alain Top,Alain Top,"",,male,1965-12-21,Alain,,,,,,,,,,,,,,,,,,
Q18365721,Aldo Carcaci,Aldo Carcaci,Aldo Carcaci,Aldo Carcaci,Aldo Carcaci,Aldo Carcaci,"",,male,1949-10-30,Aldo,,,,,,,,,,,,,,,,,,
Q476596,Alexander De Croo,Alexander De Croo,Alexander De Croo,Alexander De Croo,Alexander De Croo,Alexander De Croo,Alexander De Croo,https://upload.wikimedia.org/wikipedia/commons/3/33/Alexander_de_croo_675.jpg,male,1975-11-03,Alexander,/m/09k5z0r,,,,,,,,,,,,,,,,,
Q17428073,An Capoen,An Capoen,An Capoen,An Capoen,"",,"",,female,1982-09-20,,,,,,,,,,,,,,,,,,,
Q518520,André Flahaut,André Flahaut,André Flahaut,André Flahaut,André Flahaut,André Flahaut,André Flahaut,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flahaut_010618-D-2987S-093_screen.jpg,male,1955-08-18,André,/m/0krs8t,http://www.flahaut.be/,,,,,,,,,,,,,,,,
Q2847784,André Frédéric,André Frédéric,André Frédéric,André Frédéric,André Frédéric,André Frédéric,"",,male,1958-07-04,André,,,,,,,,,,,,,,,,,,
Q2850424,Ann Vanheste,Ann Vanheste,Ann Vanheste,Ann Vanheste,Ann Vanheste,Ann Vanheste,"",,female,1969-03-05,Ann,,,,,,,,,,,,,,,,,,
Q17428131,Anne Dedry,Anne Dedry,Anne Dedry,Anne Dedry,Anne Dedry,Anne Dedry,"",,female,1956-12-30,Anne,,,,,,,,,,,,,,,,,,
Q454893,Annemie Turtelboom,Annemie Turtelboom,Annemie Turtelboom,Annemie Turtelboom,Annemie Turtelboom,Annemie Turtelboom,Annemie Turtelboom,https://upload.wikimedia.org/wikipedia/commons/3/3f/Annemie-turtelboom-1379350142.jpg,female,1967-11-22,Annemie,/m/0gjc22b,,316748807,,,,,,,,,,,,,,,
Q2884009,Barbara Pas,Barbara Pas,Barbara Pas,Barbara Pas,Barbara Pas,Barbara Pas,"",,female,1981-03-01,Barbara,,,,,,,,,,,,,,,,,,
Q336599,Bart De Wever,Bart De Wever,Bart De Wever,Bart De Wever,Bart De Wever,Bart De Wever,Bart De Wever,https://upload.wikimedia.org/wikipedia/commons/5/5f/BartDeWever.jpg,male,1970-12-21,Bart,/m/03cvxs9,,68311856,1022898671,n2003110408,159187990,nm3391515,244701083,00000029429,,,,,,,,,
Q2896384,Benoit Hellings,Benoit Hellings,Benoit Hellings,Benoit Hellings,Benoit Hellings,Benoit Hellings,"",https://upload.wikimedia.org/wikipedia/commons/8/8b/Benoit_Hellings_à_l'Assemblée_Générale_du_4_mars_2012.jpg,male,1978-07-07,Benoit,,,,,,,,,,,,,,,,,,
Q17428152,Benoît Dispa,Benoît Dispa,Benoît Dispa,Benoît Dispa,Benoît Dispa,Benoît Dispa,"",,male,1963-09-18,Benoît,,,,,,,,,,,,,,,,,,
Q2112675,Benoît Friart,Benoît Friart,Benoît Friart,Benoît Friart,Benoît Friart,Benoît Friart,"",https://upload.wikimedia.org/wikipedia/commons/9/95/FRIART_BENOIT_001.jpg,male,1951-01-01,Benoît,,,,,,,,,,,,,,,,,,
Q704126,Benoît Lutgen,Benoît Lutgen,Benoît Lutgen,Benoît Lutgen,Benoît Lutgen,Benoît Lutgen,Benoît Lutgen,,male,1970-03-10,Benoît,/m/0j431m6,,,,,,,,,,,,,,,,,
Q2417142,Bert Wollants,Bert Wollants,Bert Wollants,Bert Wollants,Bert Wollants,Bert Wollants,Bert Wollants,,male,1979-08-30,Bert,,,,,,,,,,,,,,,,,,
Q17048132,Brecht Vermeulen,Brecht Vermeulen,Brecht Vermeulen,Brecht Vermeulen,"",Brecht Vermeulen,"",,male,1969-06-17,Brecht,,,,,,,,,,Vermeulen,,,,,,,,
Q2938795,Carina Van Tittelboom-Van Cauter,Carina Van Tittelboom-Van Cauter,Carina Van Cauter,Carina Van Cauter,Carina Van Cauter,,"",https://upload.wikimedia.org/wikipedia/commons/f/fe/Carina-van-tittelboom-van-cauter-1359732140.jpg,female,1962-06-27,Carina,,,,,,,,,,,,,,,,,,
