id,name__en,name,wikipedia__en,gender,birth_date,given_name,image,identifier__freebase
Q4646813,A'eau Peniamina,A'eau Peniamina,A'eau Peniamina,male,,,,
Q4827954,Aveau Niko Palamo,Aveau Niko Palamo,Aveau Niko Palamo,male,,,,
Q16107028,Faumuina Tiatia Liuga,Faumuina Tiatia Liuga,Faumuina Tiatia Liuga,male,1945-09-19,,,
Q5446290,Fiame Naomi Mata'afa,Fiame Naomi Mata'afa,Fiame Naomi Mata'afa,female,,Naomi,,
Q5527465,Gatoloaifaana Amataga Alesana-Gidlow,Gatoloaifaana Amataga Alesana-Gidlow,Gatoloaifaana Amataga Alesana-Gidlow,female,,,,
Q16734600,Laauli Leuatea Polataivao,Laauli Leuatea Polataivao,Laauli Leuatea Polataivao,male,,,,
Q16875144,Le Mamea Ropati,Le Mamea Ropati,Le Mamea Ropati,male,,,,
Q6509359,Lealailepule Rimoni Aiafi,Lealailepule Rimoni Aiafi,Lealailepule Rimoni Aiafi,male,,,,
Q16731362,Lefau Harry Schuster,Lefau Harry Schuster,Lefau Harry Schuster,male,,,,
Q6930668,Muagututagata Peter Ah Him,Muagututagata Peter Ah Him,Muagututagata Peter Ah Him,male,,,,
Q11041329,Niko Lee Hang,Niko Lee Hang,Niko Lee Hang,male,,Niko,,
Q7128848,Palusalue Fa’apo II,Palusalue Fa’apo II,Palusalue Fa’apo II,male,,,,
Q7814479,Tolofuaivalelei Falemoe Lei’ataua,Tolofuaivalelei Falemoe Lei’ataua,Tolofuaivalelei Falemoe Lei’ataua,male,,,,
Q57723,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,male,1945-04-14,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Tuilaepa_Sailele_Malielegaoi.jpg,/m/08jzgq
Q16886220,Tuitama Talalelei Tuitama,Tuitama Talalelei Tuitama,Tuitama Talalelei Tuitama,male,,,,
Q7857077,Tuu'u Anasi'i Leota,Tuu'u Anasi'i Leota,Tuu'u Anasi'i Leota,male,,,,
Q7907779,Va'ai Papu Vailupe,Va'ai Papu Vailupe,Va'ai Papu Vailupe,male,,,,
