name,area,image,term,source,wikiname,group,id,name__en,wikipedia__en,gender,birth_date,given_name,family_name,twitter,name__de,name__es,name__nl,name__fr,name__fa,name__nb,name__da,name__nn,name__sv,wikipedia__fr,name__tr,name__it,name__el,name__en_ca,name__en_gb,name__pl,wikipedia__el,wikipedia__pl,wikipedia__tr
Dr. Rufus Washington Ewing,All Island District,https://lh6.googleusercontent.com/--SCaVgExEkA/VE_tnGEk6bI/AAAAAAAAAN4/eJTSCXVfF_g/w721-h577-no/dr-rufus-ewing.JPG,2012,http://www.gov.tc/index.php/hon-dr-rufus-washington-ewing,Rufus Ewing,PNP,Q7378029,Rufus Ewing,Rufus Ewing,male,1972-01-01,Rufus,,docrewing,Rufus Ewing,Rufus Ewing,Rufus Ewing,Rufus Ewing,,,,,,,Rufus Ewing,Rufus Ewing,Ρούφους Γιούινγκ,Rufus Ewing,Rufus Ewing,Rufus Ewing,Ρούφους Γιούινγκ,Rufus Ewing,Rufus Ewing
Akierra Mary Deanne Missick,Leeward,https://lh5.googleusercontent.com/-j8C1vgFGa-Q/VE_todgs8gI/AAAAAAAAAOo/hDlNlutEmSQ/w721-h577-no/hon-akierra-missick.png,2012,http://www.gov.tc/index.php/hon-akierra-mary-deanne-missick,Akierra Missick,PNP,Q4700892,Akierra Missick,Akierra Missick,female,1983-01-01,,,,Akierra Missick,,,,,,,,,,,,,,,,,,
Charles Washington Misick,All Island District,https://lh5.googleusercontent.com/-2_WkSa0gBxQ/VE_tt2Y2GNI/AAAAAAAAAQk/vmjFDo-2NMU/w721-h577-no/hon-washington-misick.JPG,2012,http://www.gov.tc/index.php/hon-charles-washington-misick,Washington Misick,PNP,Q7972058,Washington Misick,Washington Misick,male,1950-01-01,Washington,,,Washington Misick,Washington Misick,,Washington Misick,,,,,,,,,,,,,,,
George Alexander Lightbourne,Grand Turk North,https://lh4.googleusercontent.com/-mH5dgfvpBSQ/VE_tpwDjnnI/AAAAAAAAAO8/HDTcLcdIiH0/w721-h577-no/hon-george-lightbourne.JPG,2012,http://www.gov.tc/index.php/hon-george-alexander-lightbourne,"",PNP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Don-Hue Gardiner,North and Middle Caicos,https://lh6.googleusercontent.com/-Obv6dn5OE5s/VE_tr2MJ8sI/AAAAAAAAAPw/tx-dFCrpWBA/w721-h577-no/hon-ricardo-don-hue-gardiner.JPG,2012,http://www.gov.tc/index.php/hon-ricardo-don-hue-gardiner,"",PNP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsha Monique Stubbs-Smith,The Bight,https://lh3.googleusercontent.com/-8Bwmp2S-Zfg/VE_tran2tWI/AAAAAAAAAPs/gU4ajC-hMsk/w721-h577-no/hon-porsha-stubbs-smith.JPG,2012,http://www.gov.tc/index.php/hon-porsha-stubbs-smith,"",PNP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Missick,Cheshire Hall and Richmond Hill,https://lh3.googleusercontent.com/-25MXEVeNxU0/VE_too2B1JI/AAAAAAAAAOY/VKD4gUOR-Vs/w721-h577-no/hon-amanda-misick.JPG,2012,http://www.gov.tc/index.php/hon-amanda-misick,"",PNP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norman Benjamin Saunders,South Caicos,https://lh3.googleusercontent.com/-0RxfNPyCYCo/VE_trBrFuhI/AAAAAAAAAPc/cLbhuQXwqfI/w721-h577-no/hon-norman-saunders.JPG,2012,http://www.gov.tc/index.php/government/house-of-assembly,Norman Saunders (politician),PNP,Q3343818,Norman Saunders,Norman Saunders (politician),male,1943-01-01,Norman,Saunders,,Norman Saunders,Norman Saunders,Norman Saunders,Norman Saunders,,Norman Saunders,Norman Saunders,Norman Saunders,Norman Saunders,Norman Saunders (homme politique),,,,,,,,,
Sharlene Linette Catrwright-Robinson,All Island District,https://lh3.googleusercontent.com/-PhisVKBnhGU/VE_tt4TmZFI/AAAAAAAAAQ0/HPXv54geCmU/w721-h577-no/hon-sharlene-cartwright-robinson.png,2012,http://www.gov.tc/index.php/government/house-of-assembly,Sharlene Cartwright-Robinson,PDM,Q7489886,Sharlene Cartwright-Robinson,Sharlene Cartwright-Robinson,female,1971-01-01,,,,,,Sharlene Cartwright-Robinson,,,,,,,,,,,,,,,,
Derek Taylor,All Island District,https://lh5.googleusercontent.com/-yP39HgAAXYg/VE_tp_TosjI/AAAAAAAAAQU/XF0qxoQLmx4/w721-h577-no/hon-derek-taylor.png,2012,http://www.gov.tc/index.php/government/house-of-assembly,Derek Hugh Taylor,PDM,Q5262064,Derek Hugh Taylor,Derek Hugh Taylor,male,1951-10-01,Derek,,,Derek Hugh Taylor,Derek Hugh Taylor,Derek Hugh Taylor,Derek Hugh Taylor,درک هیو تیلور,,,,,,,,,,,,,,
