party,name,wikipedia,wikipedia_title,constituency,votes,term,source,wikidata,family_name,given_name,image,gender,birth_date
CIP,Teariki Heather,https://en.wikipedia.org/wiki/Teariki_Heather,Teariki Heather,Akaoa,201,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q3391017,,,,male,1959-07-30
CIP,Toanui Isamaela,https://en.wikipedia.org/wiki/Toanui_Isamaela,Toanui Isamaela,Amuri-Ureia,203,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q7811397,,,,male,
OCI,Teina Bishop,https://en.wikipedia.org/wiki/Teina_Bishop,Teina Bishop,Arutanga-Reureu-Nikaupara,204,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q3391383,,,,male,1959-04-11
DP,Albert Taaviri Kaitara Nicholas,"","",Avatiu-Ruatonga-Palmerston,292,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",,,,,,
DP,Jim Marurai,https://en.wikipedia.org/wiki/Jim_Marurai,Jim Marurai,Ivirua,0,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q381810,,Jim,,male,1947-07-09
CIP,Henry Puna,https://en.wikipedia.org/wiki/Henry_Puna,Henry Puna,Manihiki,78,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q2569345,,Henry,https://upload.wikimedia.org/wikipedia/commons/7/7a/HenryPuna.jpg,male,1949-07-29
CIP,Kiriau Turepu,https://en.wikipedia.org/wiki/Kiriau_Turepu,Kiriau Turepu,Matavera,288,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q6415093,,,,male,
CIP,Tai Tura,https://en.wikipedia.org/wiki/Tai_Tura,Tai Tura,Mauke,82,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q7675846,,,,male,1949-01-01
DP,Tangata Vavia,https://en.wikipedia.org/wiki/Tangata_Vavia,Tangata Vavia,Mitiaro,50,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q3391011,,,,male,1949-09-08
DP,James Beer,"","",Murienua,225,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",,,,,,
DP,Tamaiva Tuavera,"","",Ngatangiia,257,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",,,,,,
DP,Ngamau Munokoa,https://en.wikipedia.org/wiki/Ngamau_Munokoa,Ngamau Munokoa,Nikao-Panama,417,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q3339268,,,,female,1944-08-13
DP,Kareroa Wesley,"","",Oneroa,117,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",,,,,,
CIP,Willie John,"","",Penrhyn,78,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",,,,,,
CIP,Tekii Lazaro,https://en.wikipedia.org/wiki/Tekii_Lazaro,Tekii Lazaro,Pukapuka-Nassau,128,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q7695346,,,,male,
CIP,Toka Hagai,"","",Rakahanga,39,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",,,,,,
DP,William William Heather,"","",Ruaau,386,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",,,,,,
CIP,Mark Brown,https://en.wikipedia.org/wiki/Mark_Brown_(Cook_Islands),Mark Brown (Cook Islands),Takuvaine-Tutakimoa,313,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q6766871,Brown,Mark,,male,
CIP,Tokorua Pareina,"","",Tamarua,28,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",,,,,,
CIP,Vainetutai Rose Toki-Brown,"","",Teenui-Mapumai,71,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",,,,,,
CIP,Nandi Glassie,https://en.wikipedia.org/wiki/Nandi_Glassie,Nandi Glassie,Tengatangi-Areora-Ngatiarua,88,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q3335628,,Nandi,,male,1951-05-21
DP,Selina Napa,"","",Titikaveka,337,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",,,,,,
OCI,George Angene,https://en.wikipedia.org/wiki/George_Angene,George Angene,Tupapa-Maraerenga,498,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q5536264,,George,,male,
CIP,Moana Ioane,https://en.wikipedia.org/wiki/Moana_Ioane,Moana Ioane,Vaipae-Tautu,178,14,"https://en.m.wikipedia.org/wiki/Cook_Islands_general_election,_2014",Q6886399,,Moana,,male,1961-06-20
CIP,Teariki Heather,https://en.wikipedia.org/wiki/Teariki_Heather,Teariki Heather,Akaoa,186,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q3391017,,,,male,1959-07-30
CIP,Toanui Isamaela,https://en.wikipedia.org/wiki/Toanui_Isamaela,Toanui Isamaela,Amuri-Ureia,140,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q7811397,,,,male,
CIP,Teina Bishop,https://en.wikipedia.org/wiki/Teina_Bishop,Teina Bishop,Arutanga-Reureu-Nikaupara,168,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q3391383,,,,male,1959-04-11
CIP,John Henry,https://en.wikipedia.org/wiki/John_Henry_(Cook_Islands),John Henry (Cook Islands),Avatiu-Ruatonga-Palmerston,237,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q6238703,,John,,male,
DP,Jim Marurai,https://en.wikipedia.org/wiki/Jim_Marurai,Jim Marurai,Ivirua,60,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q381810,,Jim,,male,1947-07-09
CIP,Henry Puna,https://en.wikipedia.org/wiki/Henry_Puna,Henry Puna,Manihiki,83,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q2569345,,Henry,https://upload.wikimedia.org/wikipedia/commons/7/7a/HenryPuna.jpg,male,1949-07-29
CIP,Kiriau Turepu,https://en.wikipedia.org/wiki/Kiriau_Turepu,Kiriau Turepu,Matavera,294,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q6415093,,,,male,
CIP,Tai Tura,https://en.wikipedia.org/wiki/Tai_Tura,Tai Tura,Mauke,110,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q7675846,,,,male,1949-01-01
DP,Tangata Vavia,https://en.wikipedia.org/wiki/Tangata_Vavia,Tangata Vavia,Mitiaro,54,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q3391011,,,,male,1949-09-08
CIP,Tom Marsters,https://en.wikipedia.org/wiki/Tom_Marsters,Tom Marsters,Murienua,171,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q3391025,,Tom,,male,1945-08-04
CIP,Atatoa Herman,https://en.wikipedia.org/wiki/Atatoa_Herman,Atatoa Herman,Ngatangiia,204,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q4812881,,,,male,1959-12-02
DP,Ngamau Munokoa,https://en.wikipedia.org/wiki/Ngamau_Munokoa,Ngamau Munokoa,Nikao-Panama,239,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q3339268,,,,female,1944-08-13
DP,Winton Pickering,https://en.wikipedia.org/wiki/Winton_Pickering,Winton Pickering,Oneroa,113,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q3390985,,,,male,1962-12-08
DP,Wilkie Rasmussen,https://en.wikipedia.org/wiki/Wilkie_Rasmussen,Wilkie Rasmussen,Penrhyn,54,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q3391007,,,,male,1958-03-21
CIP,Tekii Lazaro,https://en.wikipedia.org/wiki/Tekii_Lazaro,Tekii Lazaro,Pukapuka-Nassau,73,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q7695346,,,,male,
DP,Taunga Toka,https://en.wikipedia.org/wiki/Taunga_Toka,Taunga Toka,Rakahanga,27,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q7688729,,,,male,
DP,William (Smiley) Heather,https://en.wikipedia.org/wiki/William_(Smiley)_Heather,William (Smiley) Heather,Ruaau,348,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q3391029,,William,,male,1958-07-07
CIP,Mark Brown,https://en.wikipedia.org/wiki/Mark_Brown_(Cook_Islands),Mark Brown (Cook Islands),Takuvaine-Tutakimoa,304,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q6766871,Brown,Mark,,male,
CIP,Pukeiti Pukeiti,https://en.wikipedia.org/wiki/Pukeiti_Pukeiti,Pukeiti Pukeiti,Tamarua,31,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q7259108,,,,male,
CIP,Norman George,https://en.wikipedia.org/wiki/Norman_George,Norman George,Teenui-Mapumai,75,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010",Q3343780,,Norman,,male,1946-07-02
