id,name__tr,name,wikipedia__tr,name__en,wikipedia__en,gender,birth_date,given_name,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__freebase,identifier__Munzinger,identifier__BNF,identifier__IMDB,identifier__EuroparlMEP,identifier__MusicBrainz,identifier__NTA,identifier__BAV,identifier__NUKAT,identifier__FIFA,death_date,family_name,website,identifier__PACE,identifier__NKC,identifier__NNDB,identifier__parlement,identifier__discogs,twitter,identifier__GTAA,birth_name,identifier__NPG,identifier__NLI,identifier__CANTIC,identifier__NLA,identifier__SELIBR,identifier__BNE,identifier__PTBNP,identifier__ULAN,name__hu,name__de,wikipedia__de,name__es,name__fr,name__nb,name__da,name__nn,name__sv,name__yo,name__nl,name__fa,wikipedia__fa,wikipedia__fr,wikipedia__simple,wikipedia__yo,name__mg,wikipedia__mg,name__ru,wikipedia__ru,name__az,name__ca,name__diq,name__el,name__ja,wikipedia__az,wikipedia__ca,wikipedia__diq,wikipedia__el,wikipedia__ja,name__it,name__pl,name__ko,name__he,name__mk,name__uk,name__os,name__zh_hans,name__zh,wikipedia__commons,wikipedia__es,wikipedia__he,wikipedia__it,wikipedia__ko,wikipedia__mk,wikipedia__nl,wikipedia__no,wikipedia__os,wikipedia__pl,wikipedia__trwikiquote,wikipedia__uk,wikipedia__zh,wikipedia__plwikiquote,name__sw,wikipedia__sw,wikipedia__hu,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,name__ar,wikipedia__ar,name__bg,name__mdf,name__ro,name__cs,name__de_ch,name__en_ca,name__en_gb,name__fi,name__ka,wikipedia__bg,wikipedia__cswikiquote,wikipedia__da,wikipedia__fi,wikipedia__ka,wikipedia__mdf,wikipedia__ro,identifier__SBN_it,identifier__AlloCine,name__tyv,wikipedia__tyv,name__crh_latn,wikipedia__crh,name__ur,name__pnb,name__hy,wikipedia__hy,wikipedia__pnb,wikipedia__ur,name__lt,wikipedia__lt,name__pt,name__id,name__io,name__oc,wikipedia__id,wikipedia__io,wikipedia__oc,wikipedia__pt,wikipedia__sv,name__kk_arab,name__kk_cyrl,name__kk_latn,name__kk,wikipedia__kk,name__eo,wikipedia__eo,name__sah,name__tt,wikipedia__sah,wikipedia__tt,name__udm,name__lbe,name__et,wikipedia__et,wikipedia__lbe,wikipedia__udm
Q6031189,Ahmet Aydın (Adıyamanlı),Ahmet Aydın (Adıyamanlı),Ahmet Aydın (Adıyamanlı),Ahmet Aydın,Ahmet Aydın,male,1971-03-01,Ahmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6059392,Ahmet İyimaya,Ahmet İyimaya,Ahmet İyimaya,Ahmet İyimaya,"",male,,Ahmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q124586,Ali Atalan,Ali Atalan,Ali Atalan,Ali Atalan,Ali Atalan,male,1968-01-05,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20476206,Ali Aydınlıoğlu,Ali Aydınlıoğlu,Ali Aydınlıoğlu,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6086701,Ali Uzunırmak,Ali Uzunırmak,Ali Uzunırmak,Ali Uzunırmak,"",,,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4831417,Aylin Nazlıaka,Aylin Nazlıaka,Aylin Nazlıaka,Aylin Nazlıaka,Aylin Nazlıaka,female,1968-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6061291,Ayşe Gülsün Bilgehan,Ayşe Gülsün Bilgehan,Ayşe Gülsün Bilgehan,Ayşe Gülsün Bilgehan,"",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6040892,Bülent Kuşoğlu,Bülent Kuşoğlu,Bülent Kuşoğlu,,"",male,,Bülent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12808986,Bülent Tezcan,Bülent Tezcan,Bülent Tezcan,Bülent Tezcan,"",male,,Bülent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q381297,Deniz Baykal,Deniz Baykal,Deniz Baykal,Deniz Baykal,Deniz Baykal,male,1938-07-20,Deniz,https://upload.wikimedia.org/wikipedia/commons/6/67/Deniz_Baykal_TBMM_(cropped).jpg,0000 0000 7860 0330,37717323,119011999,n92060762,088688518,/m/06170c,00000014044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
