name,wikiname,group,area,term,source,id,name__tr,wikipedia__tr,name__en,wikipedia__en,gender,birth_date,given_name,identifier__freebase,image,name__el,name__de,name__fr,name__pl,name__ru,name__az,name__ar,name__it,name__nl,name__es,name__nb,name__hu,wikipedia__ar,wikipedia__az,wikipedia__de,wikipedia__el,wikipedia__fr,wikipedia__it,wikipedia__no,wikipedia__pl,wikipedia__ru,name__ja,name__ca,name__oc,wikipedia__ja,name__af,name__an,name__ast,name__bar,name__br,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__fi,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nn,name__nrm,name__pcd,name__pms,name__pt,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sv,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,name__zh,wikipedia__zh,wikipedia__vi,identifier__wikidata
Sibel Siber,Sibel Siber,Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q14330482,Sibel Siber,Sibel Siber,Sibel Siber,Sibel Siber,female,1960-01-01,Sibel,/m/0wfz7wy,https://upload.wikimedia.org/wikipedia/commons/4/42/Sibel_Siber_(cropped).jpg,,Sibel Siber,Sibel Siber,Sibel Siber,,,,,Sibel Siber,Sibel Siber,,Sibel Siber,,,Sibel Siber,,Sibel Siber,,,Sibel Siber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q14330482
Tufan Erhürman,"",Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Özdil Nami,"",Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q6065323,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,male,1954-01-01,,,,,Özkan Yorgancıoğlu,,Özkan Yorgancıoğlu,"Йорганджиоглу, Озкан",,,,,,,Özkan Yorgancıoğlu,,,Özkan Yorgancıoğlu,,,,,Özkan Yorgancıoğlu,"Йорганджиоглу, Озкан",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Özkan Yorgancıoğlu,,,,,,,,Özkan Yorgancıoğlu,Q6065323
Ahmet Gülle,"",Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birikim Özgür,"",Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doğuş Derya,Doğuş Derya,Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q20090577,,,Doğuş Derya,Doğuş Derya,female,1978-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q20090577
Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,National Unity Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q2388336,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,male,1953-01-01,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Tahsin_Ertuğruloğlu.jpg,,Tahsin Ertuğruloğlu,,,,,,,,,,Tahsin Ertuğruloğlu,,,Tahsin Ertuğruloğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2388336
Faiz Sucuoğlu,"",National Unity Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ersin Tatar,"",National Unity Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hüseyin Özgürgün,Hüseyin Özgürgün,National Unity Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q58174,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,male,1965-01-01,Hüseyin,/m/0bs8f6q,,,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,"Озгюргюн, Хусейн",,,,Hüseyin Özgürgün,Hüseyin Özgürgün,,Hüseyin Özgürgün,,,Hüseyin Özgürgün,,,,,Hüseyin Özgürgün,"Озгюргюн, Хусейн",フセイン・オズグルグン,Hüseyin Özgürgün,Hüseyin Özgürgün,フセイン・オズグルグン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q58174
Serdar Denktaş,Serdar Denktaş,Democratic Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q2272256,Serdar Denktaş,Serdar Denktaş,Serdar Denktaş,Serdar Denktaş,male,1959-01-01,Serdar,,,,Serdar Denktaş,Serdar Denktaş,,,,,,Serdar Denktaş,Serdar Denktaş,,Serdar Denktaş,,,Serdar Denktaş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2272256
Mustafa Arabacıoğlu,"",Democratic Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hasan Taçoy,"",Democratic Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zorlu Töre,"",Democratic Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehmet Çakıcı,Mehmet Çakıcı,Communal Democracy Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q6058134,Mehmet Çakıcı,Mehmet Çakıcı,Mehmet Çakıcı,Mehmet Çakıcı,male,1966-09-13,Mehmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6058134
Teberrüken Uluçay,"",Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asım Akansoy,"",Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferdi Sabit Soyer,Ferdi Sabit Soyer,Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q730602,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,male,1951-03-05,,/m/05xsks,,Φερντί Σαμπίτ Σογιέρ,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,"Сойер, Ферди Сабит",Ferdi Sabit Soyer,فيردي ثابت سوير,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,فيردي ثابت سوير,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Φερντί Σαμπίτ Σογιέρ,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,"Сойер, Ферди Сабит",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q730602
Erkut Şahali,"",Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arif Albayrak,"",Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunat Atun,"",National Unity Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ersan Saner,"",National Unity Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erdal Özcenk,"",National Unity Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
