id,name,group,email,image,term,source,name__en,name__mt,name__nl,name__pl,name__de,name__it,wikipedia__en,wikipedia__it,wikipedia__mt,wikipedia__pl,gender,birth_date,given_name,name__fr,name__es,wikipedia__de,wikipedia__fr,identifier__freebase,name__pt,name__sv,wikipedia__nl,wikipedia__pt,wikipedia__sv,identifier__viaf,identifier__gnd,identifier__imdb,name__da,wikipedia__da,identifier__lcauth,website,identifier__europarlmep,name__la,wikipedia__la,name__az,wikipedia__az,name__ga,name__ro,name__ru,name__hu,name__pt_br,name__tr,name__eo,name__lb,name__cs,name__et,name__de_ch,name__el,name__en_ca,name__en_gb,name__nb,name__lmo,name__uk,name__zh,name__io,name__fi,name__lt,name__fa,name__nn,name__id,name__ja,name__be,name__ko,wikipedia__be,wikipedia__cs,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__ga,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__ko,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__no,wikipedia__ro,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__zh,identifier__parlement,name__ka,wikipedia__ka,wikipedia__commons
abela-carmelo,Carmelo Abela,Partit Laburista,carmelo.abela@parlament.mt,http://www.parlament.mt/file.aspx?f=31746,12,http://www.parlament.mt/abela-carmelo,Carmelo Abela,,Carmelo Abela,,Carmelo Abela,Carmelo Abela,Carmelo Abela,,,,male,1972-02-10,Carmelo,Carmelo Abela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agius-david,David Agius,Partit Nazzjonlista,david.agius@parlament.mt,http://www.parlament.mt/file.aspx?f=31854,12,http://www.parlament.mt/agius-david,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agius-chris,Chris Agius,Partit Laburista,chris.agius@parlament.mt,http://www.parlament.mt/file.aspx?f=33313,12,http://www.parlament.mt/agius-chris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrigo-robert,Robert Arrigo,Partit Nazzjonlista,robert.arrigo@parlament.mt,http://www.parlament.mt/file.aspx?f=31881,12,http://www.parlament.mt/arrigo-robert,Robert Arrigo,,Robert Arrigo,,Robert Arrigo,Robert Arrigo,Robert Arrigo,,,,male,1954-12-04,Robert,Robert Arrigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agiusdecelis-anthony,Anthony Agius Decelis,Partit Laburista,anthony.agius-decelis@gov.mt,http://www.parlament.mt/file.aspx?f=31748,12,http://www.parlament.mt/agiusdecelis-anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azzopardi-frederick,Frederick Azzopardi,Partit Nazzjonlista,azzopardi.frederick@parlament.mt,http://www.parlament.mt/file.aspx?f=32673,12,http://www.parlament.mt/azzopardi-frederick,Frederick Azzopardi,,Frederick Azzopardi,,Frederick Azzopardi,,Frederick Azzopardi,,,,male,1949-09-15,Frederick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bartolo-evarist,Evarist Bartolo,Partit Laburista,evarist.bartolo@gov.mt,http://www.parlament.mt/file.aspx?f=31738,12,http://www.parlament.mt/bartolo-evarist,Evarist Bartolo,Evarist Bartolo,Evarist Bartolo,,Evarist Bartolo,Evarist Bartolo,Evarist Bartolo,,Evarist Bartolo,,male,1952-10-14,Evarist,Evarist Bartolo,Evarist Bartolo,,Evarist Bartolo,,,,,,,66687625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azzopardi-jason,Jason Azzopardi,Partit Nazzjonlista,jason.azzopardi@parlament.mt,http://www.parlament.mt/file.aspx?f=32203,12,http://www.parlament.mt/azzopardi-jason,Jason Azzopardi,,Jason Azzopardi,Jason Azzopardi,Jason Azzopardi,,Jason Azzopardi,,,Jason Azzopardi,male,1971-03-16,Jason,Jason Azzopardi,,Jason Azzopardi,Jason Azzopardi,,,,,,,,,,,,,,26818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnici-owen,Owen Bonnici,Partit Laburista,owen.bonnici@gov.mt,http://www.parlament.mt/file.aspx?f=31721,12,http://www.parlament.mt/bonnici-owen,Owen Bonnici,Owen Bonnici,Owen Bonnici,,Owen Bonnici,Owen Bonnici,Owen Bonnici,,Owen Bonnici,,male,1980-05-24,Owen,Owen Bonnici,,,Owen Bonnici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bezzina-anthony,Anthony Bezzina,Partit Nazzjonlista,perit.toni.bezzina@gmail.com,http://www.parlament.mt/file.aspx?f=32204,12,http://www.parlament.mt/bezzina-anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borg-ian,Ian Borg,Partit Laburista,ian.borg@gov.mt,http://www.parlament.mt/file.aspx?f=31734,12,http://www.parlament.mt/borg-ian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonnici-charlo,Charlo Bonnici,Partit Nazzjonlista,,http://www.parlament.mt/file.aspx?f=32684,12,http://www.parlament.mt/bonnici-charlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brincat-leo,Leo Brincat,Partit Laburista,leo.brincat@parlament.mt,http://www.parlament.mt/file.aspx?f=31727,12,http://www.parlament.mt/brincat-leo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borg-antoine,Antoine Borg,Partit Nazzjonlista,antoine@antoineborg.com,http://www.parlament.mt/file.aspx?f=43333,12,http://www.parlament.mt/borg-antoine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buhagiar-charles,Charles Buhagiar,Partit Laburista,peritcb@gmail.com,http://www.parlament.mt/file.aspx?f=31745,12,http://www.parlament.mt/buhagiar-charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
