id,name__en,name,image,gender,birth_date,given_name,identifier__VIAF,family_name,identifier__LCAuth,identifier__SUDOC,website,identifier__ISNI,identifier__NTA,identifier__freebase,identifier__hansard,wikipedia__en
Q117720,Gwenda Thomas,Gwenda Thomas,https://upload.wikimedia.org/wikipedia/commons/e/ed/Gwenda_Thomas.jpg,female,1942-01-22,,,,,,,,,,,Gwenda Thomas
Q6308404,Julie Morgan,Julie Morgan,https://upload.wikimedia.org/wikipedia/commons/c/c2/Julie_Morgan.jpg,female,1944-11-02,Julie,,,,,,,,,,Julie Morgan
Q3405148,Simon Thomas,Simon Thomas,https://upload.wikimedia.org/wikipedia/commons/2/2d/Simon_Thomas_(politician).jpg,male,1963-12-28,Simon,,,,,,,,,,Simon Thomas (politician)
Q3396810,Ieuan Wyn Jones,Ieuan Wyn Jones,https://upload.wikimedia.org/wikipedia/commons/8/8a/Ieuan_Wyn_Jones_2011.jpg,male,1949-05-22,Ieuan,38651680,Jones,,,,,,,,Ieuan Wyn Jones
Q4766480,Ann Jones,Ann Jones,https://upload.wikimedia.org/wikipedia/commons/b/b1/Ann_Jones.jpg,female,1953-11-04,Ann,,Jones,,,,,,,,Ann Jones (politician)
Q333841,Dafydd Elis-Thomas,Dafydd Elis-Thomas,https://upload.wikimedia.org/wikipedia/commons/e/e5/Dafydd_Elis-Thomas_2011.jpg,male,1946-10-18,Dafydd,66212742,,no2005099844,137547625,,,,,mr-dafydd-elis-thomas,Dafydd Elis-Thomas
Q6152404,Jane Hutt,Jane Hutt,https://upload.wikimedia.org/wikipedia/commons/d/d7/Jane_Hutt.jpg,female,1949-12-15,Jane,,,,,,,,,,Jane Hutt
Q7321239,Rhodri Glyn Thomas,Rhodri Glyn Thomas,,male,1953-04-11,,,,,,,,,,,Rhodri Glyn Thomas
Q5660402,Kirsty Williams,Kirsty Williams,https://upload.wikimedia.org/wikipedia/commons/4/42/Kirsty_Williams_2011.jpg,female,1971-03-19,Kirsty,90505796,Williams,,,http://www.kirstywilliams.org.uk/,,,,,Kirsty Williams
Q7172838,Peter Black,Peter Black,,male,1960-01-30,Peter,29672987,,,035358904,,0000 0001 1440 6093,291414435,,,Peter Black (Welsh politician)
Q6768190,Mark Isherwood,Mark Isherwood,https://upload.wikimedia.org/wikipedia/commons/9/9d/Mark_Isherwood.jpg,male,1959-01-21,Mark,,,,,,,,,,Mark Isherwood (politician)
Q111840,Carwyn Jones,Carwyn Jones,https://upload.wikimedia.org/wikipedia/commons/d/d7/Carwyn_Jones_2011.jpg,male,1967-03-21,Carwyn,256290018,Jones,no2009057457,,,,,/m/09bptc,,Carwyn Jones
Q6207115,Jocelyn Davies,Jocelyn Davies,,female,1959-06-18,Jocelyn,,Davies,,,,,,,,Jocelyn Davies
Q5346948,Edwina Hart,Edwina Hart,https://upload.wikimedia.org/wikipedia/commons/8/82/Edwina_Hart.jpg,female,1957-04-26,Edwina,63834552,,,,,,,,,Edwina Hart
Q5361084,Elin Jones,Elin Jones,https://upload.wikimedia.org/wikipedia/commons/8/86/Elin_Jones_2011.jpg,female,1966-09-01,Elin,21912192,Jones,,,,,,,,Elin Jones
Q5951262,Huw Lewis,Huw Lewis,,male,1964-01-17,Huw,19503394,,,,,,,,,Huw Lewis
Q4897688,Bethan Jenkins,Bethan Jenkins,https://upload.wikimedia.org/wikipedia/commons/f/fd/Bethan_Jenkins_2011.jpg,female,1981-12-09,,,,,,,,,,,Bethan Jenkins
Q3405595,Alun Ffred Jones,Alun Ffred Jones,https://upload.wikimedia.org/wikipedia/commons/2/2b/Alun_Ffred_Jones.jpg,male,1949-10-29,Alun,83647293,Jones,,,,0000 0000 5798 6895,,,,Alun Ffred Jones
Q6519732,Leighton Andrews,Leighton Andrews,,male,1957-08-11,Leighton,44222793,,,122624351,,,,,,Leighton Andrews
Q8010078,William Graham,William Graham,,male,1949-11-18,William,,Graham,,,,,,,,William Graham (Welsh politician)
Q10694,Leanne Wood,Leanne Wood,https://upload.wikimedia.org/wikipedia/commons/1/14/Leanne_Wood.jpg,female,1971-12-13,,,,,,,,,/m/02phppl,,Leanne Wood
Q5237493,David Melding,David Melding,https://upload.wikimedia.org/wikipedia/commons/f/f0/David_Melding_AM.jpg,male,1962-08-28,David,41551991,,,,,,,,,David Melding
Q7027777,Nick Ramsay,Nick Ramsay,,male,1975-06-10,Nick,,,,,,,,,,Nick Ramsay
Q5225067,Darren Millar,Darren Millar,,male,1976-01-01,Darren,,,,,,,,,,Darren Millar
Q5040766,Carl Sargeant,Carl Sargeant,,male,1968-01-01,Carl,,,,,,,,,,Carl Sargeant
Q3404581,Mohammad Asghar,Mohammad Asghar,,male,1945-09-30,Mohammad,,,,,,,,,,Mohammad Asghar
Q4762396,Angela Burns,Angela Burns,https://upload.wikimedia.org/wikipedia/commons/3/31/Angela_Burns.jpg,female,,Angela,,,,,,,,,,Angela Burns
Q7368324,Rosemary Butler,Rosemary Butler,https://upload.wikimedia.org/wikipedia/commons/9/9e/Rosemary_Butler_-_National_Assembly_for_Wales.jpg,female,1943-01-21,Rosemary,,,,,,,,,,Rosemary Butler (politician)
Q5110965,Christine Chapman,Christine Chapman,,female,1956-04-07,Christine,12100366,,,,,,,,,Christine Chapman
Q6175921,Jeffrey Cuthbert,Jeffrey Cuthbert,,male,1948-06-04,Jeffrey,,,,,,,,,,Jeffrey Cuthbert
Q4737493,Alun Davies,Alun Davies,,male,1964-02-12,Alun,,Davies,,,,,,,,Alun Davies (politician)
Q4758350,Andrew R. T. Davies,Andrew R. T. Davies,,male,1968-01-01,Andrew,,Davies,,,,,,,,Andrew R. T. Davies
Q7150146,Paul Davies,Paul Davies,,male,1969-01-01,Paul,,Davies,,,,,,,,Paul Davies (politician)
Q7417378,Sandy Mewies,Sandy Mewies,,female,1950-02-19,Sandy,,,,,,,,,,Sandy Mewies
Q6236400,John Griffiths,John Griffiths,https://upload.wikimedia.org/wikipedia/commons/b/b9/John_Griffiths.jpg,male,1956-12-19,John,,,,,,,,,,John Griffiths (Welsh politician)
Q6154241,Janice Gregory,Janice Gregory,,female,1955-01-10,Janice,,,,,,,,,,Janice Gregory
Q6530486,Lesley Griffiths,Lesley Griffiths,,female,1960-01-01,Lesley,,,,,,,,,,Lesley Griffiths
Q6297656,Joyce Watson,Joyce Watson,,female,1955-01-01,Joyce,,,,,,,,,,Joyce Watson
Q6709399,Lynne Neagle,Lynne Neagle,,female,1968-01-18,Lynne,,,,,,,,,,Lynne Neagle
Q7651414,Suzy Davies,Suzy Davies,https://upload.wikimedia.org/wikipedia/commons/e/ea/Suzy_Davies.jpg,female,,Suzy,,Davies,,,,,,,,Suzy Davies
Q6153343,Janet Finch-Saunders,Janet Finch-Saunders,,female,,Janet,,,,,,,,,,Janet Finch-Saunders
Q7381514,Russell George,Russell George,,male,1974-01-01,Russell,,,,,,,,,,Russell George
Q4775602,Antoinette Sandbach,Antoinette Sandbach,,female,,Antoinette,,,,,,,,,,Antoinette Sandbach
Q5004338,Byron Davies,Byron Davies,,male,,Byron,,Davies,,,,,,,,Byron Davies
Q6838044,Mick Antoniw,Mick Antoniw,,male,1954-01-01,Mick,,,,,,,,,,Mick Antoniw
Q7917285,Vaughan Gething,Vaughan Gething,https://upload.wikimedia.org/wikipedia/commons/1/1a/Vaughan_Gething.jpg,male,1974-01-01,,,,,,,,,,,Vaughan Gething
Q6552839,Lindsay Whittle,Lindsay Whittle,,male,,Lindsay,,,,,,,,,,Lindsay Whittle
Q6662955,Llyr Huws Gruffydd,Llyr Huws Gruffydd,https://upload.wikimedia.org/wikipedia/commons/d/da/Llyr_Huws_Gruffydd_2011.jpg,male,1970-09-25,,,,,,,,,,,Llyr Huws Gruffydd
Q8017036,William Powell,William Powell,,male,,William,,,,,,,,,,William Powell (Welsh politician)
Q5367919,Eluned Parrott,Eluned Parrott,,female,1974-01-01,,,,,,,,,,,Eluned Parrott
Q6847187,Mike Hedges,Mike Hedges,,male,1956-07-08,Mike,,,,,,,,,,Mike Hedges (politician)
Q6767407,Mark Drakeford,Mark Drakeford,,male,1954-09-19,Mark,,,,,,,,,,Mark Drakeford
Q16191105,Jenny Rathbone,Jenny Rathbone,,female,,Jenny,,,,,,,,,,Jenny Rathbone
Q6388501,Ken Skates,Ken Skates,https://upload.wikimedia.org/wikipedia/commons/9/9c/Ken_Skates_-_National_Assembly_for_Wales.jpg,male,1976-01-01,Ken,,,,,,,,,,Ken Skates
Q6308284,Julie James,Julie James,,female,,Julie,,James,,,,,,,,Julie James
Q6384255,Keith Davies,Keith Davies,,male,,Keith,,Davies,,,,,,,,Keith Davies
Q7301733,Rebecca Evans,Rebecca Evans,,female,1976-08-02,Rebecca,,,,,,,,,,Rebecca Evans (politician)
Q14420732,Rhun ap Iorwerth,Rhun ap Iorwerth,,male,1972-01-01,,,,,,http://www.rhunapiorwerth.com/,,,,,Rhun ap Iorwerth
Q16191114,David Rees,David Rees,,male,,David,,,,,,,,,,David Rees (politician)
Q16734718,Gwyn R Price,Gwyn R Price,,male,,Gwyn,,,,,,,,,,Gwyn R Price
Q16735288,Aled Roberts,Aled Roberts,,male,,Aled,,,,,,,,,,Aled Roberts
Q19958045,Janet Haworth,Janet Haworth,,female,,Janet,,,,,,,,,,Janet Haworth
Q20065239,Altaf Hussain,Altaf Hussain,,male,,,,,,,,,,,,Altaf Hussain (politician)
