name,wikiname,group,parish,area,area_id,term,source,id,name__en,wikipedia__en,gender,birth_date,identifier__freebase,given_name,identifier__viaf,identifier__lcauth,image,identifier__imdb,family_name,identifier__gnd,death_date,name__el,name__fr,name__zh,name__es,name__ru,name__et,name__de,name__pl,name__nl,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fr,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__zh,name__it,name__pt,name__vi,name__fi,name__fa,wikipedia__fa,wikipedia__fi,wikipedia__it,wikipedia__pt,wikipedia__vi,name__ko,name__oc,name__yo,name__ms,name__id,name__ja,name__sh,name__tr,name__ca,name__ilo,name__cy,name__io,name__mr,name__ka,name__ml,name__kk,name__nds,name__vmf,name__en_ca,name__en_gb,name__he,name__pt_br,name__uk,wikipedia__ca,wikipedia__cy,wikipedia__da,wikipedia__he,wikipedia__id,wikipedia__ilo,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__sh,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo
Michael Henry,Michael Henry (Jamaican politician),Jamaica Labour Party,Clarendon,Clarendon Central,ocd-division/country:ja/parish:clarendon/constituency:clarendon_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q1927789,Michael Henry,Michael Henry (Jamaican politician),male,1935-06-01,,Michael,,,,,,,,,Michael Henry,,Michael Henry,,,Michael Henry,,Michael Henry,Michael Henry,Michael Henry,Michael Henry,Michael Henry,Michael Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horace Dalley,"",People's National Party,Clarendon,Clarendon North,ocd-division/country:ja/parish:clarendon/constituency:clarendon_north,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearnel Charles,Pearnel Charles,Jamaica Labour Party,Clarendon,Clarendon North Central,ocd-division/country:ja/parish:clarendon/constituency:clarendon_north_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q2065916,Pearnel Charles,Pearnel Charles,male,1936-01-01,,,91605322,n79150720,,,,,,,Pearnel Charles,,Pearnel Charles,,,Pearnel Charles,,Pearnel Charles,Pearnel Charles,Pearnel Charles,Pearnel Charles,Pearnel Charles,Pearnel Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Azan,"",People's National Party,Clarendon,Clarendon North West,ocd-division/country:ja/parish:clarendon/constituency:clarendon_north_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudyard Spencer,Rudyard Spencer,Jamaica Labour Party,Clarendon,Clarendon South East,ocd-division/country:ja/parish:clarendon/constituency:clarendon_south_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q2174584,Rudyard Spencer,Rudyard Spencer,male,1944-02-03,,Rudyard,,,,,,,,,Rudyard Spencer,,Rudyard Spencer,,,Rudyard Spencer,,Rudyard Spencer,Rudyard Spencer,Rudyard Spencer,Rudyard Spencer,Rudyard Spencer,Rudyard Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noel Arscott,"",People's National Party,Clarendon,Clarendon South West,ocd-division/country:ja/parish:clarendon/constituency:clarendon_south_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Donald K. ""D.K."" Duncan","",People's National Party,Hanover,Hanover East,ocd-division/country:ja/parish:hanover/constituency:hanover_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Hayles,Ian Hayles,People's National Party,Hanover,Hanover West,ocd-division/country:ja/parish:hanover/constituency:hanover_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q5981773,Ian Hayles,Ian Hayles,male,1972-01-01,,Ian,,,,,,,,,Ian Hayles,,,,,Ian Hayles,,Ian Hayles,Ian Hayles,Ian Hayles,Ian Hayles,Ian Hayles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Thwaites,"",People's National Party,Kingston,Kingston Central,ocd-division/country:ja/parish:kingston/constituency:kingston_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Paulwell,Phillip Paulwell,People's National Party,Kingston,Kingston East & Port Royal,ocd-division/country:ja/parish:kingston/constituency:kingston_east_&_port_royal,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q17110975,Phillip Paulwell,Phillip Paulwell,male,1962-01-14,,Phillip,,,,,,,,,Phillip Paulwell,,,,,Phillip Paulwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond McKenzie,Desmond McKenzie,Jamaica Labour Party,Kingston,Kingston West,ocd-division/country:ja/parish:kingston/constituency:kingston_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q5264765,Desmond McKenzie,Desmond McKenzie,male,1952-12-01,,Desmond,,,,,,,,,Desmond McKenzie,,Desmond McKenzie,,,Desmond McKenzie,,,Desmond McKenzie,Desmond McKenzie,Desmond McKenzie,Desmond McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Bunting,"",People's National Party,Manchester,Manchester Centraldisambiguation needed,ocd-division/country:ja/parish:manchester/constituency:manchester_centraldisambiguation_needed,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audley Shaw,Audley Shaw,Jamaica Labour Party,Manchester,Manchester North East,ocd-division/country:ja/parish:manchester/constituency:manchester_north_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q758950,Audley Shaw,Audley Shaw,male,1952-06-13,,,,,,,,,,,Audley Shaw,,Audley Shaw,,,Audley Shaw,,Audley Shaw,Audley Shaw,Audley Shaw,Audley Shaw,Audley Shaw,Audley Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikael Phillips,"",People's National Party,Manchester,Manchester North West,ocd-division/country:ja/parish:manchester/constituency:manchester_north_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Peart,Michael Peart,People's National Party,Manchester,Manchester South,ocd-division/country:ja/parish:manchester/constituency:manchester_south,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q17325174,Michael Peart,Michael Peart,male,1948-01-01,,Michael,,,,,,,,,Michael Peart,,,,,Michael Peart,,,,,,,Michael Peart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynvale Bloomfield,"",People's National Party,Portland,Portland East,ocd-division/country:ja/parish:portland/constituency:portland_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Vaz,Daryl Vaz,Jamaica Labour Party,Portland,Portland West,ocd-division/country:ja/parish:portland/constituency:portland_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q1167006,Daryl Vaz,Daryl Vaz,male,1963-12-15,,Daryl,,,,,,,,,Daryl Vaz,,Daryl Vaz,,,Daryl Vaz,,Daryl Vaz,Daryl Vaz,Daryl Vaz,Daryl Vaz,Daryl Vaz,Daryl Vaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Hylton,"",People's National Party,St. Andrew,St. Andrew East,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Phillips,Peter Phillips (Jamaican politician),People's National Party,St. Andrew,St. Andrew East Central,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_east_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q7176380,Peter Phillips,Peter Phillips (Jamaican politician),male,,,Peter,,,,,,,,,,,,,,Peter Phillips,,,Peter Phillips,Peter Phillips,Peter Phillips,Peter Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damion Crawford,"",People's National Party,St. Andrew,St. Andrew East Rural,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_east_rural,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karl Samuda,Karl Samuda,Jamaica Labour Party,St. Andrew,St. Andrew North Central,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_north_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q1732780,Karl Samuda,Karl Samuda,male,1942-02-08,,Karl,,,,,,,,,Karl Samuda,,Karl Samuda,,,Karl Samuda,,Karl Samuda,Karl Samuda,Karl Samuda,Karl Samuda,Karl Samuda,Karl Samuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delroy Chuck,Delroy Chuck,Jamaica Labour Party,St. Andrew,St. Andrew North East,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_north_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q1184742,Delroy Chuck,Delroy Chuck,male,1950-12-02,,,21204298,n87853400,,,,,,,Delroy Chuck,,Delroy Chuck,,,Delroy Chuck,,Delroy Chuck,Delroy Chuck,Delroy Chuck,Delroy Chuck,Delroy Chuck,Delroy Chuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick C. Smith,"",Jamaica Labour Party,St. Andrew,St. Andrew North West,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_north_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Davies,Omar Davies,People's National Party,St. Andrew,St. Andrew South,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_south,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q2023064,Omar Davies,Omar Davies,male,1947-05-28,/m/0279n6y,Omar,1315218,n80098947,,,Davies,170430669,,,Omar Davies,,Omar Davies,,,Omar Davies,,Omar Davies,Omar Davies,Omar Davies,Omar Davies,Omar Davies,Omar Davies,,Omar Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Robinson,"",People's National Party,St. Andrew,St. Andrew South East,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_south_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
