executive,en_party_name,website,id,en_title,image,email,en_constituency_name,name,group,area,twitter,en_region_name,other_name,area_id,term,name__en,gender,birth_date,given_name,identifier__viaf,family_name,identifier__lcauth,identifier__sudoc,identifier__isni,identifier__nta,identifier__freebase,identifier__hansard,wikipedia__en,identifier__parliamentdotuk,name__cy,name__es,name__nl,name__fr,name__de,name__gl,wikipedia__cy,wikipedia__gl,name__fa,name__ca,wikipedia__ca,name__eu,name__br,wikipedia__br,wikipedia__eu,wikipedia__fr,wikipedia__de,name__nb,name__da,name__nn,name__sv,name__en_ca,name__en_gb,name__pl,name__gd,name__ko,name__ru,name__tr,name__hu,name__sco,name__scn,name__oc,name__ie,name__el,name__uk,name__cs,name__sk,wikipedia__commons,wikipedia__cs,wikipedia__el,wikipedia__es,wikipedia__gd,wikipedia__hu,wikipedia__ie,wikipedia__ko,wikipedia__pl,wikipedia__ru,wikipedia__scn,wikipedia__sco,wikipedia__simple,wikipedia__tr,wikipedia__uk,name__nds,wikipedia__nds,name__it,name__la,name__az,name__zh,wikipedia__az,wikipedia__la,wikipedia__oc,wikipedia__zh,name__vmf
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=157,157,,http://senedd.assembly.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Mark.Isherwood@assembly.wales,,Mark Isherwood,Welsh Conservative Party,North Wales,http://twitter.com/MarkIsherwoodAM/,North Wales,,ocd-division/country:gb-wls/region:north_wales,4,Mark Isherwood,male,1959-01-21,Mark,,,,,,,,,Mark Isherwood (politician),,Mark Isherwood,Mark Isherwood,,Mark Isherwood,Mark Isherwood,,Mark Isherwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=4087,4087,,http://senedd.assembly.wales/UserData/7/8/0/Info00004087/bigpic.jpg,Janet.Haworth@Assembly.Wales,,Janet Haworth,Welsh Conservative Party,North Wales,,North Wales,,ocd-division/country:gb-wls/region:north_wales,4,Janet Haworth,female,,Janet,,,,,,,,,Janet Haworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plaid Cymru,http://senedd.assembly.wales/mgUserInfo.aspx?UID=425,425,,http://senedd.assembly.wales/UserData/5/2/4/Info00000425/bigpic.jpg,llyr.gruffydd@assembly.wales,,Llyr Gruffydd,Plaid Cymru,North Wales,http://twitter.com/LlyrGruffydd,North Wales,,ocd-division/country:gb-wls/region:north_wales,4,Llyr Huws Gruffydd,male,1970-09-25,,,,,,,,,,Llyr Huws Gruffydd,,Llyr Huws Gruffydd,,Llyr Huws Gruffydd,Llyr Huws Gruffydd,Llyr Huws Gruffydd,,Llyr Huws Gruffydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Minister for Natural Resources,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=178,178,The Minister for Natural Resources,http://senedd.assembly.wales/UserData/8/7/1/Info00000178/bigpic.jpg,Carl.Sargeant@assembly.wales,Alyn and Deeside,Carl Sargeant,Welsh Labour,Alyn and Deeside,,,,ocd-division/country:gb-wls/region:north_wales/constituency:alyn_and_deeside,4,Carl Sargeant,male,1968-01-01,Carl,,,,,,,,,Carl Sargeant,,Carl Sargeant,,,Carl Sargeant,Carl Sargeant,,Carl Sargeant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plaid Cymru,http://senedd.assembly.wales/mgUserInfo.aspx?UID=160,160,,http://senedd.assembly.wales/UserData/0/6/1/Info00000160/bigpic.jpg,AlunFfred.Jones@assembly.wales,Arfon,Alun Ffred Jones,Plaid Cymru,Arfon,http://twitter.com/AlunFfredPlaid,,,ocd-division/country:gb-wls/region:north_wales/constituency:arfon,4,Alun Ffred Jones,male,1949-10-29,Alun,83647293,Jones,,,0000 0000 5798 6895,,,,Alun Ffred Jones,,Alun Ffred Jones,Alun Ffred Jones,,Alun Ffred Jones,Alun Ffred Jones,,Alun Ffred Jones,,,,,,,,,,,,,,,,,Alun Ffred Jones,,,,,,,,,,,,Alun Ffred Jones,,,Alun Ffred Jones,,,,,,,,,,,,,,Alun Ffred Jones,Alun Ffred Jones,,,,,,,,,
"The Deputy Minister for Culture, Sport and Tourism",Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=267,267,"The Deputy Minister for Culture, Sport and Tourism",http://senedd.assembly.wales/UserData/7/6/2/Info00000267/bigpic.jpg,Ken.Skates@assembly.wales,Clwyd South,Ken Skates,Welsh Labour,Clwyd South,http://twitter.com/KenSkatesAM,,,ocd-division/country:gb-wls/region:north_wales/constituency:clwyd_south,4,Ken Skates,male,1976-01-01,Ken,,,,,,,,,Ken Skates,,Ken Skates,Ken Skates,,Ken Skates,Ken Skates,,Ken Skates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=171,171,,http://senedd.assembly.wales/UserData/1/7/1/Info00000171/bigpic.jpg,Darren.Millar@assembly.wales,Clwyd West,Darren Millar,Welsh Conservative Party,Clwyd West,http://twitter.com/DarrenMillarAM,,,ocd-division/country:gb-wls/region:north_wales/constituency:clwyd_west,4,Darren Millar,male,1976-01-01,Darren,,,,,,,,,Darren Millar,,Darren Millar,,,Darren Millar,Darren Millar,,Darren Millar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=212,212,,http://senedd.assembly.wales/UserData/2/1/2/Info00000212/bigpic.jpg,Janet.Finch-Saunders@Assembly.Wales,Aberconwy,Janet Finch-Saunders,Welsh Conservative Party,Aberconwy,http://twitter.com/JFinchSaunders,,,ocd-division/country:gb-wls/region:north_wales/constituency:aberconwy,4,Janet Finch-Saunders,female,,Janet,,,,,,,,,Janet Finch-Saunders,,Janet Finch-Saunders,Janet Finch-Saunders,Janet Finch-Saunders,,,,Janet Finch-Saunders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioner-Welsh Labour,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=170,170,Commissioner,http://senedd.assembly.wales/UserData/0/7/1/Info00000170/bigpic.jpg,Sandy.Mewies@assembly.wales,Delyn,Sandy Mewies,Welsh Labour,Delyn,http://twitter.com/SandyMewiesAM,,,ocd-division/country:gb-wls/region:north_wales/constituency:delyn,4,Sandy Mewies,female,1950-02-19,Sandy,,,,,,,,,Sandy Mewies,,Sandy Mewies,Sandy Mewies,,Sandy Mewies,Sandy Mewies,,Sandy Mewies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=161,161,,http://senedd.assembly.wales/UserData/1/6/1/Info00000161/bigpic.jpg,Ann.Jones@assembly.wales,Vale of Clwyd,Ann Jones,Welsh Labour,Vale of Clwyd,http://twitter.com/ann_jonesam,,,ocd-division/country:gb-wls/region:north_wales/constituency:vale_of_clwyd,4,Ann Jones,female,1953-11-04,Ann,,Jones,,,,,,,Ann Jones (politician),,Ann Jones,Ann Jones,Ann Jones,Ann Jones,Ann Jones,,Ann Jones,,آن جونز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
