name,wikiname,party,state,district,area,term,source,start_date,end_date,id
Arnold Viersen,Arnold Viersen,Conservative,Alberta,Peace River—Westlock,Alberta (Peace River—Westlock),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,arnold-viersen
Blaine Calkins,Blaine Calkins,Conservative,Alberta,Red Deer—Lacombe,Alberta (Red Deer—Lacombe),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,blaine-calkins
Earl Dreeshen,Earl Dreeshen,Conservative,Alberta,Red Deer—Mountain View,Alberta (Red Deer—Mountain View),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,earl-dreeshen
Garnett Genuis,Garnett Genuis,Conservative,Alberta,Sherwood Park—Fort Saskatchewan,Alberta (Sherwood Park—Fort Saskatchewan),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,garnett-genuis
Michael Cooper,Michael Cooper (politician),Conservative,Alberta,St. Albert—Edmonton,Alberta (St. Albert—Edmonton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,michael-cooper
Rona Ambrose,Rona Ambrose,Conservative,Alberta,Sturgeon River—Parkland,Alberta (Sturgeon River—Parkland),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,rona-ambrose
Jim Eglinski,Jim Eglinski,Conservative,Alberta,Yellowhead,Alberta (Yellowhead),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jim-eglinski
Ed Fast,Ed Fast,Conservative,British Columbia,Abbotsford,British Columbia (Abbotsford),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ed-fast
Terry Beech,Terry Beech,Liberal,British Columbia,Burnaby North—Seymour,British Columbia (Burnaby North—Seymour),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,terry-beech
Kennedy Stewart,Kennedy Stewart (Canadian politician),NDP,British Columbia,Burnaby South,British Columbia (Burnaby South),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,kennedy-stewart
Todd Doherty,Todd Doherty,Conservative,British Columbia,Cariboo—Prince George,British Columbia (Cariboo—Prince George),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,todd-doherty
Dan Albas,Dan Albas,Conservative,British Columbia,Central Okanagan—Similkameen—Nicola,British Columbia (Central Okanagan—Similkameen—Nicola),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,dan-albas
Mark Strahl,Mark Strahl,Conservative,British Columbia,Chilliwack—Hope,British Columbia (Chilliwack—Hope),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,mark-strahl
John Aldag,John Aldag,Liberal,British Columbia,Cloverdale—Langley City,British Columbia (Cloverdale—Langley City),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,john-aldag
Ron McKinnon,Ron McKinnon (politician),Liberal,British Columbia,Coquitlam—Port Coquitlam,British Columbia (Coquitlam—Port Coquitlam),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ron-mckinnon
Gord Johns,Gord Johns,NDP,British Columbia,Courtenay—Alberni,British Columbia (Courtenay—Alberni),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,gord-johns
Alistair MacGregor,Alistair MacGregor,NDP,British Columbia,Cowichan—Malahat—Langford,British Columbia (Cowichan—Malahat—Langford),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,alistair-macgregor
Carla Qualtrough,Carla Qualtrough,Liberal,British Columbia,Delta,British Columbia (Delta),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,carla-qualtrough
Randall Garrison,Randall Garrison,NDP,British Columbia,Esquimalt—Saanich—Sooke,British Columbia (Esquimalt—Saanich—Sooke),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,randall-garrison
Ken Hardie,Ken Hardie,Liberal,British Columbia,Fleetwood—Port Kells,British Columbia (Fleetwood—Port Kells),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ken-hardie
Cathy McLeod,Cathy McLeod,Conservative,British Columbia,Kamloops—Thompson—Cariboo,British Columbia (Kamloops—Thompson—Cariboo),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,cathy-mcleod
Stephen Fuhr,Stephen Fuhr,Liberal,British Columbia,Kelowna—Lake Country,British Columbia (Kelowna—Lake Country),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,stephen-fuhr
Wayne Stetski,Wayne Stetski,NDP,British Columbia,Kootenay—Columbia,British Columbia (Kootenay—Columbia),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,wayne-stetski
Mark Warawa,Mark Warawa,Conservative,British Columbia,Langley—Aldergrove,British Columbia (Langley—Aldergrove),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,mark-warawa
Jati Sidhu,Jati Sidhu,Liberal,British Columbia,Mission—Matsqui—Fraser Canyon,British Columbia (Mission—Matsqui—Fraser Canyon),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jati-sidhu
Sheila Malcolmson,Sheila Malcolmson,NDP,British Columbia,Nanaimo—Ladysmith,British Columbia (Nanaimo—Ladysmith),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,sheila-malcolmson
Peter Julian,Peter Julian,NDP,British Columbia,New Westminster—Burnaby,British Columbia (New Westminster—Burnaby),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,peter-julian
Rachel Blaney,Rachel Blaney,NDP,British Columbia,North Island—Powell River,British Columbia (North Island—Powell River),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,rachel-blaney
Mel Arnold,Mel Arnold,Conservative,British Columbia,North Okanagan—Shuswap,British Columbia (North Okanagan—Shuswap),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,mel-arnold
Jonathan Wilkinson,Jonathan Wilkinson (politician),Liberal,British Columbia,North Vancouver,British Columbia (North Vancouver),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jonathan-wilkinson
Dan Ruimy,Dan Ruimy,Liberal,British Columbia,Pitt Meadows—Maple Ridge,British Columbia (Pitt Meadows—Maple Ridge),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,dan-ruimy
Fin Donnelly,Fin Donnelly,NDP,British Columbia,Port Moody—Coquitlam,British Columbia (Port Moody—Coquitlam),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,fin-donnelly
Bob Zimmer,Bob Zimmer,Conservative,British Columbia,Prince George—Peace River—Northern Rockies,British Columbia (Prince George—Peace River—Northern Rockies),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bob-zimmer
Alice Wong,Alice Wong,Conservative,British Columbia,Richmond Centre,British Columbia (Richmond Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,alice-wong
Elizabeth May,Elizabeth May,Green,British Columbia,Saanich—Gulf Islands,British Columbia (Saanich—Gulf Islands),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,elizabeth-may
Nathan Cullen,Nathan Cullen,NDP,British Columbia,Skeena—Bulkley Valley,British Columbia (Skeena—Bulkley Valley),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,nathan-cullen
Richard Cannings,Richard Cannings (British Columbia politician),NDP,British Columbia,South Okanagan—West Kootenay,British Columbia (South Okanagan—West Kootenay),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,richard-cannings
Dianne Watts,Dianne Watts,Conservative,British Columbia,South Surrey—White Rock,British Columbia (South Surrey—White Rock),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,dianne-watts
Joe Peschisolido,Joe Peschisolido,Liberal,British Columbia,Steveston—Richmond East,British Columbia (Steveston—Richmond East),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,joe-peschisolido
Randeep Sarai,Randeep Sarai,Liberal,British Columbia,Surrey Centre,British Columbia (Surrey Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,randeep-sarai
Sukh Dhaliwal,Sukh Dhaliwal,Liberal,British Columbia,Surrey—Newton,British Columbia (Surrey—Newton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,sukh-dhaliwal
Hedy Fry,Hedy Fry,Liberal,British Columbia,Vancouver Centre,British Columbia (Vancouver Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,hedy-fry
Jenny Kwan,Jenny Kwan,NDP,British Columbia,Vancouver East,British Columbia (Vancouver East),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jenny-kwan
Jody Wilson-Raybould,Jody Wilson-Raybould,Liberal,British Columbia,Vancouver Granville,British Columbia (Vancouver Granville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jody-wilson-raybould
Don Davies,Don Davies,NDP,British Columbia,Vancouver Kingsway,British Columbia (Vancouver Kingsway),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,don-davies
Joyce Murray,Joyce Murray,Liberal,British Columbia,Vancouver Quadra,British Columbia (Vancouver Quadra),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,joyce-murray
Harjit Sajjan,Harjit Sajjan,Liberal,British Columbia,Vancouver South,British Columbia (Vancouver South),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,harjit-sajjan
Murray Rankin,Murray Rankin,NDP,British Columbia,Victoria,British Columbia (Victoria),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,murray-rankin
Pamela Goldsmith-Jones,Pamela Goldsmith-Jones,Liberal,British Columbia,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia (West Vancouver—Sunshine Coast—Sea to Sky Country),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,pamela-goldsmith-jones
Larry Maguire,Larry Maguire,Conservative,Manitoba,Brandon—Souris,Manitoba (Brandon—Souris),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,larry-maguire
Doug Eyolfson,Doug Eyolfson,Liberal,Manitoba,Charleswood—St. James—Assiniboia—Headingley,Manitoba (Charleswood—St. James—Assiniboia—Headingley),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,doug-eyolfson
Niki Ashton,Niki Ashton,NDP,Manitoba,Churchill—Keewatinook Aski,Manitoba (Churchill—Keewatinook Aski),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,niki-ashton
Robert Sopuck,Robert Sopuck,Conservative,Manitoba,Dauphin—Swan River—Neepawa,Manitoba (Dauphin—Swan River—Neepawa),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,robert-sopuck
Daniel Blaikie,Daniel Blaikie,NDP,Manitoba,Elmwood—Transcona,Manitoba (Elmwood—Transcona),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,daniel-blaikie
MaryAnn Mihychuk,MaryAnn Mihychuk,Liberal,Manitoba,Kildonan—St. Paul,Manitoba (Kildonan—St. Paul),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,maryann-mihychuk
Candice Bergen,Candice Bergen (politician),Conservative,Manitoba,Portage—Lisgar,Manitoba (Portage—Lisgar),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,candice-bergen
Ted Falk,Ted Falk,Conservative,Manitoba,Provencher,Manitoba (Provencher),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ted-falk
Dan Vandal,Dan Vandal,Liberal,Manitoba,Saint Boniface—Saint Vital,Manitoba (Saint Boniface—Saint Vital),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,dan-vandal
James Bezan,James Bezan,Conservative,Manitoba,Selkirk—Interlake—Eastman,Manitoba (Selkirk—Interlake—Eastman),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,james-bezan
Robert-Falcon Ouellette,Robert-Falcon Ouellette,Liberal,Manitoba,Winnipeg Centre,Manitoba (Winnipeg Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,robert-falcon-ouellette
Kevin Lamoureux,Kevin Lamoureux,Liberal,Manitoba,Winnipeg North,Manitoba (Winnipeg North),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,kevin-lamoureux
Terry Duguid,Terry Duguid,Liberal,Manitoba,Winnipeg South,Manitoba (Winnipeg South),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,terry-duguid
Jim Carr,Jim Carr,Liberal,Manitoba,Winnipeg South Centre,Manitoba (Winnipeg South Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jim-carr
Serge Cormier,Serge Cormier,Liberal,New Brunswick,Acadie—Bathurst,New Brunswick (Acadie—Bathurst),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,serge-cormier
Dominic LeBlanc,Dominic LeBlanc,Liberal,New Brunswick,Beauséjour,New Brunswick (Beauséjour),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,dominic-leblanc
Matt DeCourcey,Matt DeCourcey,Liberal,New Brunswick,Fredericton,New Brunswick (Fredericton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,matt-decourcey
Alaina Lockhart,Alaina Lockhart,Liberal,New Brunswick,Fundy Royal,New Brunswick (Fundy Royal),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,alaina-lockhart
René Arseneault,René Arseneault,Liberal,New Brunswick,Madawaska—Restigouche,New Brunswick (Madawaska—Restigouche),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,rené-arseneault
Pat Finnigan,Pat Finnigan,Liberal,New Brunswick,Miramichi—Grand Lake,New Brunswick (Miramichi—Grand Lake),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,pat-finnigan
Ginette Petitpas Taylor,Ginette Petitpas Taylor,Liberal,New Brunswick,Moncton—Riverview—Dieppe,New Brunswick (Moncton—Riverview—Dieppe),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ginette-petitpas-taylor
Karen Ludwig,Karen Ludwig,Liberal,New Brunswick,New Brunswick Southwest,New Brunswick (New Brunswick Southwest),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,karen-ludwig
Wayne Long,Wayne Long,Liberal,New Brunswick,Saint John—Rothesay,New Brunswick (Saint John—Rothesay),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,wayne-long
T. J. Harvey,T. J. Harvey,Liberal,New Brunswick,Tobique—Mactaquac,New Brunswick (Tobique—Mactaquac),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,t.-j.-harvey
Ken McDonald,Ken McDonald (politician),Liberal,Newfoundland and Labrador,Avalon,Newfoundland and Labrador (Avalon),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ken-mcdonald
Judy Foote,Judy Foote,Liberal,Newfoundland and Labrador,Bonavista—Burin—Trinity,Newfoundland and Labrador (Bonavista—Burin—Trinity),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,judy-foote
Scott Simms,Scott Simms,Liberal,Newfoundland and Labrador,Coast of Bays—Central—Notre Dame,Newfoundland and Labrador (Coast of Bays—Central—Notre Dame),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,scott-simms
Yvonne Jones,Yvonne Jones,Liberal,Newfoundland and Labrador,Labrador,Newfoundland and Labrador (Labrador),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,yvonne-jones
Gudie Hutchings,Gudie Hutchings,Liberal,Newfoundland and Labrador,Long Range Mountains,Newfoundland and Labrador (Long Range Mountains),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,gudie-hutchings
Nick Whalen,Nick Whalen,Liberal,Newfoundland and Labrador,St. John's East,Newfoundland and Labrador (St. John's East),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,nick-whalen
Seamus O'Regan,Seamus O'Regan,Liberal,Newfoundland and Labrador,St. John's South—Mount Pearl,Newfoundland and Labrador (St. John's South—Mount Pearl),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,seamus-o'regan
Rodger Cuzner,Rodger Cuzner,Liberal,Nova Scotia,Cape Breton—Canso,Nova Scotia (Cape Breton—Canso),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,rodger-cuzner
Sean Fraser,Sean Fraser (politician),Liberal,Nova Scotia,Central Nova,Nova Scotia (Central Nova),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,sean-fraser
Bill Casey,Bill Casey,Liberal,Nova Scotia,Cumberland—Colchester,Nova Scotia (Cumberland—Colchester),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bill-casey
Darren Fisher,Darren Fisher,Liberal,Nova Scotia,Dartmouth—Cole Harbour,Nova Scotia (Dartmouth—Cole Harbour),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,darren-fisher
Andy Fillmore,Andy Fillmore,Liberal,Nova Scotia,Halifax,Nova Scotia (Halifax),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,andy-fillmore
Geoff Regan,Geoff Regan,Liberal,Nova Scotia,Halifax West,Nova Scotia (Halifax West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,geoff-regan
Scott Brison,Scott Brison,Liberal,Nova Scotia,Kings—Hants,Nova Scotia (Kings—Hants),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,scott-brison
Darrell Samson,Darrell Samson,Liberal,Nova Scotia,Sackville—Preston—Chezzetcook,Nova Scotia (Sackville—Preston—Chezzetcook),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,darrell-samson
Bernadette Jordan,Bernadette Jordan,Liberal,Nova Scotia,South Shore—St. Margaret's,Nova Scotia (South Shore—St. Margaret's),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bernadette-jordan
Mark Eyking,Mark Eyking,Liberal,Nova Scotia,Sydney—Victoria,Nova Scotia (Sydney—Victoria),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,mark-eyking
Colin Fraser,Colin Fraser (Canadian politician),Liberal,Nova Scotia,West Nova,Nova Scotia (West Nova),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,colin-fraser
Mark Holland,Mark Holland,Liberal,Ontario,Ajax,Ontario (Ajax),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,mark-holland
Carol Hughes,Carol Hughes,NDP,Ontario,Algoma—Manitoulin—Kapuskasing,Ontario (Algoma—Manitoulin—Kapuskasing),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,carol-hughes
Leona Alleslev,Leona Alleslev,Liberal,Ontario,Aurora—Oak Ridges—Richmond Hill,Ontario (Aurora—Oak Ridges—Richmond Hill),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,leona-alleslev
