id,name,party,district,website,email,twitter,party_id,image,identifier__represent,term
30979,Patrick Brown,Conservative,Barrie,http://www.servingbarrie.com,patrick.brown@parl.gc.ca,https://twitter.com/brownbarrie,,,30979,41
35539,Phil McColeman,Conservative,Brant,http://www.philmccolemanmp.ca,phil.mccoleman@parl.gc.ca,https://twitter.com/Phil4Brant,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/McColemanPhil_CPC.jpg,35539,41
1287,Deepak Obhrai,Conservative,Calgary East,http://www.deepakobhrai.com,deepak.obhrai@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ObhraiDeepak_CPC.jpg,1287,41
30552,Kevin Lamoureux,Liberal,Winnipeg North,http://www.mpkevin.ca,kevin.lamoureux@parl.gc.ca,https://twitter.com/Kevin_Lamoureux,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LamoureuxKevin_Lib.jpg,30552,41
71434,Hélène Laverdière,NDP,Laurier—Sainte-Marie,,Helene.Laverdiere@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LaverdièreHélène_NDP.jpg,71434,41
35701,Patricia Davidson,Conservative,Sarnia—Lambton,http://www.patdavidson.com,pat.davidson@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DavidsonPatricia_CPC.jpg,35701,41
1838,Lynne Yelich,Conservative,Blackstrap,http://www.lynneyelich.ca,lynne.yelich@parl.gc.ca,https://twitter.com/Lynne_Yelich,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/YelichLynne_CPC.jpg,1838,41
35351,François Choquette,NDP,Drummond,,Francois.Choquette@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ChoquetteFrancois_NDP.jpg,35351,41
9486,David McGuinty,Liberal,Ottawa South,http://davidmcguinty.ca,david.mcguinty@parl.gc.ca,https://twitter.com/DavidMcGuinty,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/McGuintyDavidJ_Lib.jpg,9486,41
71350,Anne Minh-Thu Quach,NDP,Beauharnois—Salaberry,,AnneMinh-Thu.Quach@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/QuachAnneMinhThu_NDP.jpg,71350,41
25516,Guy Lauzon,Conservative,Stormont—Dundas—South Glengarry,http://www.guylauzon.ca,guy.lauzon@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LauzonGuy_CPC.jpg,25516,41
71407,Tyrone Benskin,NDP,Jeanne-Le Ber,,Tyrone.Benskin@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BenskinTyrone_NDP.jpg,71407,41
71395,Marjolaine Boutin-Sweet,NDP,Hochelaga,,Marjolaine.Boutin-Sweet@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BoutinSweetMarjolaine_NDP.jpg,71395,41
25448,Joe Preston,Conservative,Elgin—Middlesex—London,http://www.joeprestonmp.ca,joe.preston@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/PrestonJoe_CPC.jpg,25448,41
9137,Brian Masse,NDP,Windsor West,http://www.brianmasse.ca,brian.masse@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MasseBrian_NDP.jpg,9137,41
58661,Francine Raynault,NDP,Joliette,,Francine.Raynault@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RaynaultFrancine_NDP.jpg,58661,41
59287,Andrew Saxton,Conservative,North Vancouver,http://www.andrewsaxton.ca,andrew.saxton@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/SaxtonAndrew_CPC.jpg,59287,41
35767,Parm Gill,Conservative,Brampton—Springdale,http://www.parmgill.ca,Parm.Gill@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GillParm_CPC.jpg,35767,41
25513,Ed Komarnicki,Conservative,Souris—Moose Mountain,http://www.edkom.ca,ed.komarnicki@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/KomarnickiEd_CPC.jpg,25513,41
71902,Michelle Rempel,Conservative,Calgary Centre-North,http://www.michellerempel.ca,Michelle.Rempel@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RempelMichelle_CPC.jpg,71902,41
35396,Raymond Côté,NDP,Beauport—Limoilou,,Raymond.Cote@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CôtéRaymond_NDP.jpg,35396,41
1733,Stephen Harper,Conservative,Calgary Southwest,http://www.pm.gc.ca,stephen.harper@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HarperStephen_CPC.jpg,1733,41
71357,Ruth Ellen Brosseau,NDP,Berthier—Maskinongé,,RuthEllen.Brosseau@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BrosseauRuthEllen_NDP.jpg,71357,41
58626,Anne-Marie Day,NDP,Charlesbourg—Haute-Saint-Charles,,Anne-Marie.Day@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DayAnneMarie_NDP.jpg,58626,41
1814,James Lunney,Independent,Nanaimo—Alberni,http://www.jameslunneymp.ca,james.lunney@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LunneyJamesD_CPC.jpg,1814,41
30645,Tim Uppal,Conservative,Edmonton—Sherwood Park,http://www.timuppal.ca,tim.uppal@parl.gc.ca,https://twitter.com/TimUppal,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/UppalTim_CPC.jpg,30645,41
71490,Lysane Blanchette-Lamothe,NDP,Pierrefonds—Dollard,,Lysane.Blanchette-Lamothe@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BlanchetteLamotheLysane_NDP.jpg,71490,41
58775,Alexandre Boulerice,NDP,Rosemont—La Petite-Patrie,,Alexandre.Boulerice@parl.gc.ca,https://twitter.com/alexboulerice,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BoulericeAlexandre_NPD.jpg,58775,41
71824,Mark Adler,Conservative,York Centre,http://www.markadler.ca,Mark.Adler@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AdlerMark_CPC.jpg,71824,41
59235,Blake Richards,Conservative,Wild Rose,http://www.blakerichards.ca,blake.richards@parl.gc.ca,https://twitter.com/BlakeRichardsMP,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RichardsBlake_CPC.jpg,59235,41
683,Chris Charlton,NDP,Hamilton Mountain,http://www.chrischarlton.ca,chris.charlton@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CharltonChris_NDP.jpg,683,41
1803,Joe Comartin,NDP,Windsor—Tecumseh,http://www.joecomartin.ca,joe.comartin@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ComartinJoe_NDP.jpg,1803,41
1209,Gerry Ritz,Conservative,Battlefords—Lloydminster,http://www.gerryritz.ca,gerry.ritz@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RitzGerry_CPC.jpg,1209,41
9135,Massimo Pacetti,Independent,Saint-Léonard—Saint-Michel,,massimo.pacetti@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/PacettiMassimo_Lib.jpg,9135,41
59203,Brent Rathgeber,Independent,Edmonton—St. Albert,http://www.brentrathgeber.ca,brent.rathgeber@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RathgeberBrent_CPC.jpg,59203,41
1262,Maurice Vellacott,Conservative,Saskatoon—Wanuskewin,http://www.mauricevellacott.ca,maurice.vellacott@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/VellacottMaurice_CPC.jpg,1262,41
25453,Francis Scarpaleggia,Liberal,Lac-Saint-Louis,,francis.scarpaleggia@parl.gc.ca,https://twitter.com/ScarpaleggiaLSL,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ScarpaleggiaFrancis_Lib.jpg,25453,41
46003,Leona Aglukkaq,Conservative,Nunavut,http://www.leonaaglukkaq.ca,leona.aglukkaq@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AglukkaqLeona_CPC.jpg,46003,41
71499,Annick Papillon,NDP,Québec,,Annick.Papillon@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/PapillonAnnick_NDP.jpg,71499,41
15975,Tony Clement,Conservative,Parry Sound—Muskoka,http://www.tonyclement.ca,tony.clement@parl.gc.ca,https://twitter.com/TonyclementCPC,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ClementTony_CPC.jpg,15975,41
1302,Jason Kenney,Conservative,Calgary Southeast,http://www.jasonkenney.ca,jason.kenney@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/KenneyJason_CPC.jpg,1302,41
71986,Mark Strahl,Conservative,Chilliwack—Fraser Canyon,http://www.markstrahl.com,Mark.Strahl@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/StrahlMark_CPC.jpg,71986,41
71627,Bernard Trottier,Conservative,Etobicoke—Lakeshore,http://www.bernardtrottiermp.ca,Bernard.Trottier@parl.gc.ca,https://twitter.com/btrottier,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/TrottierBernard_CPC.jpg,71627,41
69482,Julian Fantino,Conservative,Vaughan,http://www.julianfantino.ca,julian.fantino@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/FantinoJulian_CPC.jpg,69482,41
72006,David Wilks,Conservative,Kootenay—Columbia,http://www.david-wilks.ca,David.Wilks@parl.gc.ca,https://twitter.com/DavidJohnWilks,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/WilksDavid_CPC.jpg,72006,41
31508,Maria Mourani,Independent,Ahuntsic,,maria.mourani@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MouraniMaria_BQ.jpg,31508,41
58620,Hoang Mai,NDP,Brossard—La Prairie,,Hoang.Mai@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MaiHoang_NDP.jpg,58620,41
77515,Joan Crockatt,Conservative,Calgary Centre,http://joancrockatt.ca,Joan.Crockatt@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CrockattJoan_CPC.jpg,77515,41
58922,Peter Braid,Conservative,Kitchener—Waterloo,http://peterbraid.ca,peter.braid@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BraidPeter_CPC.jpg,58922,41
71576,Chris Alexander,Conservative,Ajax—Pickering,http://www.chrisalexandermp.ca,Chris.Alexander@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AlexanderChris_CPC.jpg,71576,41
