name,party_id,party,area_id,area,source,id,term
Aba Serra,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:gabú/círculo:15,Boé/Pitche,http://www.gbissau.com/?page_id=11253,aba-serra,2014
Abel da Silva Gomes,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:biombo/círculo:09,Quinhamel,http://www.gbissau.com/?page_id=11253,abel-da-silva-gomes,2014
Adja (Hadja) Satú Camará Pinto,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:quinará/círculo:03,Buba/Empada,http://www.gbissau.com/?page_id=11253,adja-hadja-satu-camara-pinto,2014
Adulai Baldé,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:bafatá/círculo:12,Bafatá/Galomaro,http://www.gbissau.com/?page_id=11253,adulai-balde,2014
Amido Keita,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:quinará/círculo:02,Bedanda/Cacine/Quebo,http://www.gbissau.com/?page_id=11253,amido-keita,2014
Amizade Farã Mendes,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:cacheu/círculo:20,Caió/Canchungo,http://www.gbissau.com/?page_id=11253,amizade-fara-mendes,2014
Anha Baldé,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:bafatá/círculo:14,Contuboel/Ganadú,http://www.gbissau.com/?page_id=11253,anha-balde,2014
António Inácio G. Correia,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:26,Bissau,http://www.gbissau.com/?page_id=11253,antonio-inacio-g-correia,2014
Augusto Olivais,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:gabú/círculo:17,Pirada,http://www.gbissau.com/?page_id=11253,augusto-olivais,2014
Babuna Djabi,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:25,Bissau,http://www.gbissau.com/?page_id=11253,babuna-djabi,2014
Bacai Sanhá Jr.,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:oio/círculo:07,Mansabá,http://www.gbissau.com/?page_id=11253,bacai-sanha-jr,2014
Baciro Djá,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:27,Bissau,http://www.gbissau.com/?page_id=11253,baciro-dja,2014
Botche Candé,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:bafatá/círculo:14,Contuboel/Ganadú,http://www.gbissau.com/?page_id=11253,botche-cande,2014
Braima Camará,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:24,Bissau,http://www.gbissau.com/?page_id=11253,braima-camara,2014
Braima Djaló,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:oio/círculo:06,Farim,http://www.gbissau.com/?page_id=11253,braima-djalo,2014
Califa Seidi,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:29,Bissau,http://www.gbissau.com/?page_id=11253,califa-seidi,2014
Camilo Simões Pereira,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:25,Bissau,http://www.gbissau.com/?page_id=11253,camilo-simoes-pereira,2014
Carlos Nhaté,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:cacheu/círculo:19,Bigene/Bula,http://www.gbissau.com/?page_id=11253,carlos-nhate,2014
Cipriano Cassamá,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:biombo – presidente da anp/círculo:10,Safim/Prábis,http://www.gbissau.com/?page_id=11253,cipriano-cassama,2014
Constantino Camala,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:28,Bissau,http://www.gbissau.com/?page_id=11253,constantino-camala,2014
Dan Iala N’Canha Baranção,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:tombali/círculo:01,Catió,http://www.gbissau.com/?page_id=11253,dan-iala-n-canha-barancao,2014
Daniel Gomes,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:bolama-bijagós/círculo:11,Bolama/Bijagós,http://www.gbissau.com/?page_id=11253,daniel-gomes,2014
Daniel Gomes,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:cacheu/círculo:21,Cacheu/São Domingos,http://www.gbissau.com/?page_id=11253,daniel-gomes-1,2014
Domingos Simões Pereira,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau – primeiro-ministro/círculo:28,Bissau,http://www.gbissau.com/?page_id=11253,domingos-simoes-pereira,2014
Eduardo Mamadú Baldé,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:gabú/círculo:16,Sector de Gabú,http://www.gbissau.com/?page_id=11253,eduardo-mamadu-balde,2014
Fofana Queita,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:bafatá/círculo:12,Bafatá/Galomaro,http://www.gbissau.com/?page_id=11253,fofana-queita,2014
Gabriel Lopes Só,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:gabú/círculo:18,Sonaco,http://www.gbissau.com/?page_id=11253,gabriel-lopes-so,2014
Hélder Henrique de Barros,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:cacheu/círculo:21,Cacheu/São Domingos,http://www.gbissau.com/?page_id=11253,helder-henrique-de-barros,2014
Higino Cardoso,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:quinará/círculo:02,Bedanda/Cacine/Quebo,http://www.gbissau.com/?page_id=11253,higino-cardoso,2014
Humberto Augusto Có,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:biombo/círculo:09,Quinhamel,http://www.gbissau.com/?page_id=11253,humberto-augusto-co,2014
Idelfrides Fernandes,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:24,Bissau,http://www.gbissau.com/?page_id=11253,idelfrides-fernandes,2014
Infamará Só,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:bafatá/círculo:12,Bafatá/Galomaro,http://www.gbissau.com/?page_id=11253,infamara-so,2014
