id,name__en,name,wikipedia__en,image,gender,given_name,birth_date,family_name,identifier__freebase
Q4737616,Alva Baptiste,Alva Baptiste,Alva Baptiste,https://upload.wikimedia.org/wikipedia/commons/4/46/Alva_Baptiste_(cropped).jpg,male,Alva,,,
Q4738268,Alvina Reynolds,Alvina Reynolds,Alvina Reynolds,,female,Alvina,,,
Q4796441,Arsene James,Arsene James,Arsene James,,male,,1944-10-30,James,
Q16198927,Edmund Estephane,Edmund Estephane,Edmund Estephane,,male,Edmund,1968-01-01,,
Q5372840,Emma Hippolyte,Emma Hippolyte,Emma Hippolyte,,female,Emma,,,
Q773795,Ezechiel Joseph,Ezechiel Joseph,Ezechiel Joseph,,male,Ezechiel,,,
Q5518285,Gale Rigobert,Gale Rigobert,Gale Rigobert,,female,,,,
Q5622382,Guy Joseph,Guy Joseph,Guy Joseph,,male,Guy,1957-01-01,,
Q16206884,Harold Dalson,Harold Dalson,Harold Dalson,,male,Harold,,,
Q16205063,Jeannine Compton-Antoine,Jeannine Compton-Antoine,Jeannine Compton-Antoine,,female,Jeannine,,,
Q6384787,Keith Mondesir,Keith Mondesir,Keith Mondesir,,male,Keith,1948-01-23,,
Q57750,Kenny Anthony,Kenny Anthony,Kenny Anthony,"https://upload.wikimedia.org/wikipedia/commons/e/e3/Kenny_Anthony,_Sta._Lucía.jpg",male,Kenny,1951-01-08,,/m/021xts
Q16196623,Marcus Nicholas,Marcus Nicholas,Marcus Nicholas,,male,Marcus,1966-01-01,,
Q6915830,Moses Jean Baptiste,Moses Jean Baptiste,Moses Jean Baptiste,,male,Moses,,,
Q7184214,Philip Pierre,Philip Pierre,Philip Pierre,,male,Philip,,,
Q7325780,Richard Frederick,Richard Frederick,Richard Frederick,,male,Richard,1965-08-06,,
Q7346316,Robert Kennedy Lewis,Robert Kennedy Lewis,Robert Kennedy Lewis,,male,Robert,,,
Q58308,Rufus Bousquet,Rufus Bousquet,Rufus Bousquet,,male,Rufus,1958-11-28,,
Q708289,Stephenson King,Stephenson King,Stephenson King,https://upload.wikimedia.org/wikipedia/commons/f/f6/Stephenson_King.jpg,male,,1958-11-13,,/m/02726sb
