name,wikiname,area,area_wikiname,group,party_wikiname,term,id,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__wa,name__eu,name__ko,name__fr,name__es,name__ta,name__oc,name__it,name__gl,name__et,name__de,name__id,name__ja,name__vi,name__el,name__ar,name__sv,name__nl,name__pt,name__eo,name__ru,name__en,name__sr_el,name__sr_ec,name__tr,name__ro,name__ca,name__fi,name__uk,name__la,name__nn,name__cs,name__io,name__fa,name__ka,name__tl,name__da,name__sr,name__zh,name__nb,name__he,wikipedia__ar,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__sr,wikipedia__sv,wikipedia__svwikiquote,wikipedia__ta,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__wa,wikipedia__zh,image,gender,identifier__viaf,identifier__lcauth,identifier__sudoc,birth_date,identifier__freebase,given_name
Rodolfo Irías Navas,"",Atlántida,Atlántida (Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmen Rivera,"",Atlántida,Atlántida (Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramón Leiva,"",Atlántida,Atlántida (Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
César Agurcia,"",Atlántida,Atlántida (Honduras),Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audelia Rodríguez,"",Atlántida,Atlántida (Honduras),Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Santamaría,"",Atlántida,Atlántida (Honduras),Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
María Leiva,"",Atlántida,Atlántida (Honduras),Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kritza Pérez,"",Atlántida,Atlántida (Honduras),PAC,Partido Anticorrupción,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Ledezma,"",Choluteca,Departamento de Choluteca,Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauricio Oliva,Mauricio Oliva,Choluteca,Departamento de Choluteca,Nacional,Partido Nacional de Honduras,8,Q15647114,,,,,,,,,,,Mauricio Oliva,Mauricio Oliva,,,,,,Mauricio Oliva,,,,,,,,,,,Mauricio Oliva,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauricio Oliva,,,Mauricio Oliva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,1951-03-08,,Mauricio
