name,party,term,source,image,area
Vicente da Silva Guterres,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/Vicente.php,http://parlamento.tl/deputadus/fotos/cnrt/Vicente.jpg,Baucau
Aderito Hugo da Costa,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/aderito.php,http://parlamento.tl/deputadus/fotos/cnrt/hugo.gif,Manufahi
Agostinho Lay,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/agostino_lay.php,http://parlamento.tl/deputadus/fotos/cnrt/Agustino%20Lay.jpg,Ermera
Albina Marçal Freitas,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/albina_marcal.php,http://parlamento.tl/deputadus/fotos/cnrt/Albina.jpg,Lospaos
Ângela M.C. de A. Sarmento,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/angela_sarmento.php,http://parlamento.tl/deputadus/fotos/cnrt/angela1.jpg,""
Anselmo da Conceição,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/anselmo_conceicao.php,http://parlamento.tl/deputadus/fotos/cnrt/Anselmo.jpg,Lautem
António Ximenes,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/antonio_ximenes.php,http://parlamento.tl/deputadus/fotos/cnrt/Antonio%20Ximenes.jpg,Baucau
Arão N. de J. da C. Amaral,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/arao_noe.php,http://parlamento.tl/deputadus/fotos/cnrt/arao.jpg,Manufahi
Bendita Moniz Magno,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/bendita_moniz.php,http://parlamento.tl/deputadus/fotos/cnrt/Bendita%20Monis.jpg,Dili
Brigida Antónia Correia,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/Brigida%20Correia.php,http://parlamento.tl/deputadus/fotos/cnrt/Brigida.jpg,Liquiça
Carmelita Caetano Moniz,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/carmelita_moniz.php,http://parlamento.tl/deputadus/fotos/cnrt/carmelita.jpg,Suai
Cesar Valente de Jesus,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/cesar_valente.php,http://parlamento.tl/deputadus/fotos/cnrt/Cesar.jpg,Liquiça
Cristovão Barros,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/cristovao_barros.php,http://parlamento.tl/deputadus/fotos/cnrt/Cristovao.jpg,Covalima
Domingas Álves da Silva,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/domingas_alves.php,http://parlamento.tl/deputadus/fotos/cnrt/domingas.jpg,""
Domingos Carvalho de Araújo,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/domingos_carvalho.php,http://parlamento.tl/deputadus/fotos/cnrt/Domingos%20Carvalho%20de%20Araujo.jpg,""
Duartes Nunes,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/duarte_nunes.php,http://parlamento.tl/deputadus/fotos/cnrt/duarte_nunes.jpg,Lautem
Eduardo de Jesus Barreto,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/eduardo_barreto.php,http://parlamento.tl/deputadus/fotos/cnrt/Eduardo%20de%20Deus%20Barreto.jpg,Ermera
Francisco da Costa,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/francisco_dacosta.php,http://parlamento.tl/deputadus/fotos/cnrt/Francisco%20da%20Costa%20.jpg,Baucau
Izilda Pereira Soares,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/izilda.php,http://parlamento.tl/deputadus/fotos/cnrt/IzildaM.%20da%20Luz%20Pereira%20Soares.jpg,Manaturo
Jacinto Viegas Vicente,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/jacinto_viegas.php,http://parlamento.tl/deputadus/fotos/cnrt/Jacinto.jpg,Ermera
Jaco de Araujo,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/jacob_araujo.php,http://parlamento.tl/deputadus/fotos/cnrt/Jacob%20de%20Araujo.jpg,Oe-cusse
José da Silva Panão,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/jose_panao.php,http://parlamento.tl/deputadus/fotos/cnrt/Jose%20da%20Silva%20Panao.jpg,Viqueque
Manuel da Costa Guterres,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/manuel_guterres.php,http://parlamento.tl/deputadus/fotos/cnrt/Manuel%20G.%20da%20Costa%20Guterres.jpg,Viqueque
Maria Fernanda Lay,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/maria_fernanda_lay.php,http://parlamento.tl/deputadus/fotos/cnrt/fernanda-lay.jpg,Baucau
Maria Rosa Da Câmara,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/maria_rosa.php,http://parlamento.tl/deputadus/fotos/cnrt/Bisoi.jpg,Viqueque
Manuel Salsinha,CNRT,2012,http://parlamento.tl/deputadus/2012/pt/deputados.php,,
Natalino dos S. Nascimento,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/natalino.php,http://parlamento.tl/deputadus/fotos/cnrt/Natalino.jpg,Dili
Pedro dos M da Costa,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/pedro_martires.php,http://parlamento.tl/deputadus/fotos/cnrt/Pedro.jpg,Baucau
Virgilio Maria Dias Marcal,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/virgilio.php,http://parlamento.tl/deputadus/fotos/cnrt/virgilio.jpg,Baucau
