area,name,wikipedia,group,source,term,wikiname,email,id,name__en,wikipedia__en,gender,given_name,image,identifier__viaf,identifier__gnd,identifier__lcauth,birth_date,identifier__freebase,identifier__isni,identifier__bnf,identifier__nta,name__zh,name__tn,name__pl,name__ko,name__fr,name__be,name__es,name__oc,name__yo,name__hu,name__et,name__id,name__de,name__ja,name__br,name__el,name__vi,name__nso,name__nl,name__sv,name__ar,name__pt,name__eo,name__ru,name__tr,name__ca,name__fi,name__uk,name__la,name__io,name__ka,name__hr,name__nb,name__en_ca,name__en_gb,name__it,name__pt_br,name__sr,name__fa,name__he,name__da,name__nn,name__mk,name__sh,wikipedia__ar,wikipedia__be,wikipedia__br,wikipedia__ca,wikipedia__de,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hr,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__nl,wikipedia__no,wikipedia__nso,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__tn,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,name__ro,wikipedia__ro,identifier__wikidata
Chobe,Ronald Shamukuni,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maun East,Kostantinos Markus,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maun West,Tawana Moremi,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",tlmoremi@gov.bw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngami,Thato Kwerepe,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okavango,Bagalatia Arone,"",BCP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",barone@gov.bw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tati East,Guma Moyo,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tati West,Biggie Butale,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francistown East,Buti Billy,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francistown South,Wynter Mmolotsi,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",wmmolotsi@gov.bw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francistown West,Mokwaledi Moswaane,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
