id,name,given_name,patronymic_name,family_name,area,term,start_date,end_date,image,party,source_url,faction,faction_id
2524,Абдуллін Олександр Рафкатович,Олександр,Рафкатович,Абдуллін,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/but17.jpg,"політична партія Всеукраїнське об'єднання ""Батьківщина""",http://itd.rada.gov.ua/mps/info/page/2524,"Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",2617
15669,Агафонова Наталія Володимирівна,Наталія,Володимирівна,Агафонова,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp44.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15669,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613
16067,Алексєєв Ігор Сергійович,Ігор,Сергійович,Алексєєв,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf64.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/16067,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612
17993,Алєксєєв Сергій Олегович,Сергій,Олегович,Алєксєєв,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp55.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/17993,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613
12290,Амельченко Василь Васильович,Василь,Васильович,Амельченко,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/rp21.jpg,Радикальна Партія Олега Ляшка,http://itd.rada.gov.ua/mps/info/page/12290,Фракція Радикальної партії Олега Ляшка,2615
15839,Андрієвський Дмитро Йосипович,Дмитро,Йосипович,Андрієвський,Виборчому округу №222,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d222_1.jpg,,http://itd.rada.gov.ua/mps/info/page/15839,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613
17983,Антонищак Андрій Федорович,Андрій,Федорович,Антонищак,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp39.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/17983,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613
18058,Арешонков Володимир Юрійович,Володимир,Юрійович,Арешонков,Виборчому округу №64,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d64_1.jpg,,http://itd.rada.gov.ua/mps/info/page/18058,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613
11118,Ар'єв Володимир Ігорович,Володимир,Ігорович,Ар'єв,Виборчому округу №218,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d218_1.jpg,,http://itd.rada.gov.ua/mps/info/page/11118,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613
18049,Артеменко Андрій Вікторович,Андрій,Вікторович,Артеменко,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/rp16.jpg,Радикальна Партія Олега Ляшка,http://itd.rada.gov.ua/mps/info/page/18049,Фракція Радикальної партії Олега Ляшка,2615
18059,Артюшенко Ігор Андрійович,Ігор,Андрійович,Артюшенко,Виборчому округу №75,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d75_1.jpg,,http://itd.rada.gov.ua/mps/info/page/18059,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613
5584,Атрошенко Владислав Анатолійович,Владислав,Анатолійович,Атрошенко,Виборчому округу №206,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d206_1.jpg,,http://itd.rada.gov.ua/mps/info/page/5584,Позафракційні,
18007,Бабак Альона Валеріївна,Альона,Валеріївна,Бабак,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/sp8.jpg,"Політична партія ""Об'єднання ""САМОПОМІЧ""",http://itd.rada.gov.ua/mps/info/page/18007,"Фракція Політичної партії ""Об'єднання ""САМОПОМІЧ""",2614
4427,Бабенко Валерій Борисович,Валерій,Борисович,Бабенко,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf35.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/4427,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612
18604,Бабій Юрій Юрійович,Юрій,Юрійович,Бабій,Загальнодержавному багатомандатному округу,8,2015-01-27,2015-02-02,http://static.rada.gov.ua/dep_img8/nf75.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/18604,Позафракційні,
18604,Бабій Юрій Юрійович,Юрій,Юрійович,Бабій,Загальнодержавному багатомандатному округу,8,2015-02-03,,http://static.rada.gov.ua/dep_img8/nf75.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/18604,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612
