id,name,area,state,chamber,group,group_id,image,term,source
546,ABDUKADIR RAHIS,"Maiduguri (Metropolitan), Borno State",Borno State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/546.jpg,2015,http://www.nass.gov.ng/mp/profile/546
581,ABDUL-MALIC ZUBAIRU,"Bungudu/Maru, Zamfara State",Zamfara State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/581.jpg,2015,http://www.nass.gov.ng/mp/profile/581
685,ABDULAHI FARUK,"B/Kebbi/Kalgo/Bunza, Kebbi State",Kebbi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/685
778,Abdullahi Garba,"Kontagora/Wushishi/Mariga/Masheg, Niger State",Niger State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/778
733,ABDULLAHI HASSAN,"Bagudo/Suru, Kebbi State",Kebbi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/733
569,Abdullahi Mahmud,"Alabasu/Gaya/Ajingi, Kano State",Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/569.jpg,2015,http://www.nass.gov.ng/mp/profile/569
921,ABDULLAHI MOHAMMED,"Kware/Wamakko, Sokoto State",Sokoto State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/921
923,ABDULMUMIN JIBRIN,"Bebeji/Kiru, Kano State",Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/923
723,ABDULRAZAK NAMDAS,"Jada/Ganye/Mayo Belwa/Toungo, Adamawa State",Adamawa State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/723
932,ABDUSSAMAD DASUKI,"Kebbe/Tambuwal, Sokoto State",Sokoto State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/932
835,abiodun awoleye,"Ibadan North, Oyo State",Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/835
893,abiodun olasupo,"Iseyin/Itesiwaju/Kajola/Iwajowa, Oyo State",Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/893
770,abubakar adamu,"Shiroro/Rafi/Munya, Niger State",Niger State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/770
598,ABUBAKAR AMUDA-KANNIKE,"Ilorin East/South, Kwara State",Kwara State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/598
586,ABUBAKAR DAHIRU,"Lafia/Obi, Nassarawa State",Nassarawa State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/586.jpg,2015,http://www.nass.gov.ng/mp/profile/586
