id,name,start_date,end_date,wikidata
14,XIVe législature de la Cinquième République,2012-06-20,,Q3570385
13,XIIIe législature de la Cinquième République,2007-06-20,2012-06-19,Q3025921
12,XIIe législature de la Cinquième République,2002-06-19,2007-06-19,Q3570376
11,XIe législature de la Cinquième République,1997-06-01,2002-06-18,Q3570394
10,Xe législature de la Cinquième République,1993-04-02,1997-04-21,Q3570849
9,IXe législature de la Cinquième République,1988-06-06,1993-04-01,Q3147021
8,VIIIe législature de la Cinquième République,1986-04-02,1988-05-14,Q3552944
7,VIIe législature de la Cinquième République,1981-07-02,1986-04-01,Q3552950
6,VIe législature de la Cinquième République,1978-04-03,1981-05-22,Q3552959
5,Ve législature de la Cinquième République,1973-04-02,1978-04-02,Q3555150
4,IVe législature de la Cinquième République,1968-07-11,1973-04-01,Q2380278
3,IIIe législature de la Cinquième République,1967-04-03,1968-05-30,Q3146694
2,IIe législature de la Cinquième République,1962-12-06,1967-04-02,Q3146705
1,Ire législature de la Cinquième République,1958-12-09,1962-10-09,Q3154303
