name,wikipedia,wikidata,family_name,given_name,image,gender,birth_date,id
Stan Kalauni,,,,,,,,stan_kalauni
Toke Talagi,https://en.wikipedia.org/wiki/Toke_Talagi,Q785548,,Toke,https://upload.wikimedia.org/wikipedia/commons/d/d3/Toke_Talagi.jpg,male,1960-12-06,toke_talagi
Crossley Tatui,,,,,,,,crossley_tatui
Togia Sioneholo,https://en.wikipedia.org/wiki/Togia_Sioneholo,Q7813183,,,,male,,togia_sioneholo
Terry Coe,https://en.wikipedia.org/wiki/Terry_Coe,Q7704226,,Terry,,male,,terry_coe
Joan Viliamu,https://en.wikipedia.org/wiki/Joan_Viliamu,Q16730306,,Joan,,female,1966-03-22,joan_viliamu
Va'aiga Tukuitonga,https://en.wikipedia.org/wiki/Va%27aiga_Tukuitonga,Q16886221,,,,female,,va'aiga_tukuitonga
Dalton Tagelagi,https://en.wikipedia.org/wiki/Dalton_Tagelagi,Q19876617,,,,male,,dalton_tagelagi
Billy Talagi,,,,,,,,billy_talagi
Young Vivian,https://en.wikipedia.org/wiki/Young_Vivian,Q508830,Vivian,,https://upload.wikimedia.org/wikipedia/commons/a/a7/Young-Vivian-2006.jpg,male,1935-11-12,young_vivian
Opili Talafasi,,,,,,,,opili_talafasi
Halene Magatogia,,,,,,,,halene_magatogia
Pokotoa Sipeli,https://en.wikipedia.org/wiki/Pokotoa_Sipeli,Q251952,,,,male,,pokotoa_sipeli
Tofua Puletama,,,,,,,,tofua_puletama
Bill Vakaafi Motufoou,https://en.wikipedia.org/wiki/Bill_Vakaafi_Motufoou,Q4911209,,Bill,,male,,bill_vakaafi_motufoou
Jack Lipitoa,,,,,,,,jack_lipitoa
Peter Funaki,,,,,,,,peter_funaki
Dion Taufitu,,,,,,,,dion_taufitu
Fisa Pihigia,,,,,,,,fisa_pihigia
Talititama Taliati,,,,,,,,talititama_taliati
