id,name,party,area,image,email,term,source
4809917,Oscar Andrade,PARTIDO FRENTE AMPLIO,MONTEVIDEO,http://www.parlamento.gub.uy/htmlstat/pl/legisl/fotos/Fot09917.jpg,oandrade@parlamento.gub.uy,48,http://www.parlamento.gub.uy/palacio3/legisladores/legislador.asp?ID=4809917&SinActPar=s
4809913,Saúl Aristimuño,PARTIDO FRENTE AMPLIO,RIVERA,http://www.parlamento.gub.uy/htmlstat/pl/legisl/fotos/Fot09913.jpg,saristimunio@parlamento.gub.uy,48,http://www.parlamento.gub.uy/palacio3/legisladores/legislador.asp?ID=4809913&SinActPar=s
4805851,Alfredo Asti,PARTIDO FRENTE AMPLIO,MONTEVIDEO,http://www.parlamento.gub.uy/htmlstat/pl/legisl/fotos/Fot05851.jpg,aasti@parlamento.gub.uy,48,http://www.parlamento.gub.uy/palacio3/legisladores/legislador.asp?ID=4805851&SinActPar=s
4811586,Gabriela Barreiro,PARTIDO FRENTE AMPLIO,MONTEVIDEO,http://www.parlamento.gub.uy/htmlstat/pl/legisl/fotos/Fot11586.jpg,gbarreiro@parlamento.gub.uy,48,http://www.parlamento.gub.uy/palacio3/legisladores/legislador.asp?ID=4811586&SinActPar=s
4807952,Julio Battistoni,PARTIDO FRENTE AMPLIO,MONTEVIDEO,http://www.parlamento.gub.uy/htmlstat/pl/legisl/fotos/Fot07952.jpg,jbattistoni@parlamento.gub.uy,48,http://www.parlamento.gub.uy/palacio3/legisladores/legislador.asp?ID=4807952&SinActPar=s
4809942,Cecilia Bottino,PARTIDO FRENTE AMPLIO,PAYSANDU,http://www.parlamento.gub.uy/htmlstat/pl/legisl/fotos/Fot09942.jpg,cbottino@parlamento.gub.uy,48,http://www.parlamento.gub.uy/palacio3/legisladores/legislador.asp?ID=4809942&SinActPar=s
4809916,Daniel Caggiani,PARTIDO FRENTE AMPLIO,MONTEVIDEO,http://www.parlamento.gub.uy/htmlstat/pl/legisl/fotos/Fot09916.jpg,dcaggiani@parlamento.gub.uy,48,http://www.parlamento.gub.uy/palacio3/legisladores/legislador.asp?ID=4809916&SinActPar=s
4807604,Felipe Carballo Da Costa,PARTIDO FRENTE AMPLIO,MONTEVIDEO,http://www.parlamento.gub.uy/htmlstat/pl/legisl/fotos/Fot07604.jpg,fcarballo@parlamento.gub.uy,48,http://www.parlamento.gub.uy/palacio3/legisladores/legislador.asp?ID=4807604&SinActPar=s
4811587,Roberto Chiazzaro,PARTIDO FRENTE AMPLIO,MONTEVIDEO,http://www.parlamento.gub.uy/htmlstat/pl/legisl/fotos/Fot11587.jpg,rchiazzaro@parlamento.gub.uy,48,http://www.parlamento.gub.uy/palacio3/legisladores/legislador.asp?ID=4811587&SinActPar=s
4811585,Gonzalo Civila,PARTIDO FRENTE AMPLIO,MONTEVIDEO,http://www.parlamento.gub.uy/htmlstat/pl/legisl/fotos/Fot11585.jpg,gcivila@parlamento.gub.uy,48,http://www.parlamento.gub.uy/palacio3/legisladores/legislador.asp?ID=4811585&SinActPar=s
4803407,Walter De León,PARTIDO FRENTE AMPLIO,SAN JOSE,http://www.parlamento.gub.uy/htmlstat/pl/legisl/fotos/Fot03407.jpg,wdeleon@parlamento.gub.uy,48,http://www.parlamento.gub.uy/palacio3/legisladores/legislador.asp?ID=4803407&SinActPar=s
