id,name__en,name,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,identifier__freebase,given_name,website,identifier__Muzinger,identifier__journalisted,identifier__EuroparlMEP,family_name,death_date,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__NTA,identifier__NLA,identifier__NPG,identifier__MusicBrainz,identifier__SELIBR,identifier__NNDB,identifier__Oxforddnb,identifier__GTAA,honorific_prefix,identifier__hansard,wikipedia__en,identifier__Munzinger,identifier__discogs,identifier__parliamentDOTuk,name__zh,name__pl,name__eu,name__fr,name__ru,name__es,name__ca,name__hu,name__fi,name__it,name__la,name__cy,name__de,name__br,name__ga,name__nl,name__sv,name__mzn,name__oc,name__nb,name__da,name__nn,name__he,wikipedia__br,wikipedia__ca,wikipedia__cy,wikipedia__de,wikipedia__es,wikipedia__eu,wikipedia__fi,wikipedia__fr,wikipedia__ga,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__la,wikipedia__mzn,wikipedia__nl,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__zh,name__ko,name__tr,name__el,name__tl,name__af,name__en_ca,name__en_gb,name__uk,name__fa,wikipedia__af,wikipedia__da,wikipedia__el,wikipedia__ko,wikipedia__no,wikipedia__tl,wikipedia__tr,wikipedia__uk,name__ro,wikipedia__ro,wikipedia__enwikiquote,wikipedia__commons,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__gl,name__be,name__id,name__bn,name__ar,name__pt,name__eo,name__be_tarask,name__cs,name__bg,name__ckb,name__az,name__hy,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ckb,wikipedia__cs,wikipedia__eo,wikipedia__fa,wikipedia__gl,wikipedia__id,wikipedia__nn,wikipedia__pt,name__sr_el,name__sr_ec,name__hr,name__sco,name__sr,name__ie,name__ja,wikipedia__hr,wikipedia__ie,wikipedia__itwikiquote,wikipedia__ja,wikipedia__sco,wikipedia__sr,name__an,name__bs,name__ceb,name__et,name__is,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__sk,name__sl,name__sq,name__vec,name__wa,name__gd,name__yo,name__pnb,name__ku_arab,name__ku_latn,name__ku,name__hi,name__ur,wikipedia__et,wikipedia__gd,wikipedia__ku,wikipedia__pnb,wikipedia__sk,wikipedia__ur,wikipedia__yo,name__ta,wikipedia__ta,name__vmf,name__nan,name__mr,name__io,wikipedia__io,wikipedia__is,wikipedia__mr,wikipedia__zh_min_nan,name__de_ch,name__nrm,wikipedia__nrm,wikipedia__bgwikiquote
Q13586248,Máirtín Ó Muilleoir,Máirtín Ó Muilleoir,https://upload.wikimedia.org/wikipedia/commons/3/3f/Belfast_Lord_Mayor_Máirtín_Ó_Muilleoir_welcoming_participants_of_the_2013_Horasis_Global_India_Business_Meeting.jpg,male,,,,1959-01-01,,,,,,,,,,,,,,,,,,,,,,,Máirtín Ó Muilleoir,,,,,,Máirtín Ó Muilleoir,Máirtín Ó Muilleoir,,Máirtín Ó Muilleoir,,,,,,,Máirtín Ó Muilleoir,,Máirtín Ó Muilleoir,,,,,,,,,,,,,,Máirtín Ó Muilleoir,,,Máirtín Ó Muilleoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18358115,Maurice Devenney,Maurice Devenney,,male,,,,,,Maurice,,,,,,,,,,,,,,,,,,,,,Maurice Devenney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20312324,Adrian Cochrane-Watson,Adrian Cochrane-Watson,,male,,,,,,Adrian,,,,,,,,,,,,,,,,,,,,,Adrian Cochrane-Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20713559,Neil Somerville,Neil Somerville,,male,,,,,,Neil,,,,,,,,,,,,,,,,,,,,,Neil Somerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20631177,Claire Hanna,Claire Hanna,,female,,,,,,Claire,,,,,,,,,,,,,,,,,,,,,Claire Hanna (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20966622,Gordon Lyons,Gordon Lyons,,male,,,,,,Gordon,,,,,,,,,,,,,,,,,,,,,Gordon Lyons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20979148,Andy Allen,Andy Allen,,male,,,,,,Andy,,,,,,,,,,,,,,,,,,,,,Andy Allen (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57689,Martin McGuinness,Martin McGuinness,https://upload.wikimedia.org/wikipedia/commons/c/c8/MartinMcGuinness_(cropped).jpg,male,23957091,124606717,n2002032196,1950-05-23,/m/025pz4,Martin,http://www.thepeoplespresident.ie,,martin-mcguinness,,,,,,,,,,,,,,,,,mr-martin-mcguinness,Martin McGuinness,00000026174,,,马丁·麦吉尼斯,Martin McGuinness,Martin McGuinness,Martin McGuinness,"Макгиннесс, Мартин",Martin McGuinness,Martin McGuinness,Martin McGuinness,Martin McGuinness,Martin McGuinness,Martinus McGuinness,Martin McGuinness,Martin McGuinness,Martin McGuinness,Máirtín Mag Aonghusa,Martin McGuinness,Martin McGuinness,مارتین مک گوینس,Martin McGuinness,Martin McGuinness,Martin McGuinness,Martin McGuinness,מרטין מקגינס,Martin McGuinness,Martin McGuinness,Martin McGuinness,Martin McGuinness,Martin McGuinness,Martin McGuinness,Martin McGuinness,Martin McGuinness,Máirtín Mag Aonghusa,מרטין מקגינס,Martin McGuinness,Martin McGuinness,Martinus McGuinness,مارتین مک گوینس,Martin McGuinness,Martin McGuinness,"Макгиннесс, Мартин",Martin McGuinness,Martin McGuinness,马丁·麦吉尼斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q76139,Gerry Adams,Gerry Adams,https://upload.wikimedia.org/wikipedia/commons/4/47/Gerry_Adams_Easter_Lily_Badge.jpg,male,9941260,118896245,n83142260,1948-10-06,/m/09hmj,Gerry,,,gerry-adams,,Adams,,0000 0001 0869 0534,124416972,033561001,nm1128049,072903600,,,,,,,,,mr-gerry-adams,Gerry Adams,00000017676,,,盖瑞·亚当斯,Gerry Adams,Gerry Adams,Gerry Adams,Джерри Адамс,Gerry Adams,Gerry Adams,,Gerry Adams,Gerry Adams,Geraldus Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gearóid Mac Ádhaimh,Gerry Adams,Gerry Adams,,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,ג'רי אדמס,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gearóid Mac Ádhaimh,ג'רי אדמס,,Gerry Adams,Geraldus Adams,,Gerry Adams,Gerry Adams,"Адамс, Джерри",Gerry Adams,Gerry Adams,盖瑞·亚当斯,게리 애덤스,,,,,,,Джеррі Адамс,جری آدامز,,Gerry Adams,,게리 애덤스,Gerry Adams,,,Джеррі Адамс,,,Gerry Adams,Gerry Adams,,,,,,,Gerry Adams,Джэры Адамс,Gerry Adams,জেরি এডামস,جيري آدمز,Gerry Adams,Gerry Adams,Джэры Адамз,Gerry Adams,Джери Адамс,جێری ئادامز,Cerri Adams,Ջերի Ադամս,جيري آدمز,Cerri Adams,Джэры Адамз,Джэры Адамс,Джери Адамс,জেরি এডামস,جێری ئادامز,Gerry Adams,Gerry Adams,جری آدامز,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q116719,Diane Dodds,Diane Dodds,"https://upload.wikimedia.org/wikipedia/commons/7/76/Diane_Dodds_MEP,_Strasbourg_-_Diliff.jpg",female,,,,1958-08-16,/m/026jxn9,Diane,,,,96951,,,,,,,,,,,,,,,,,Diane Dodds,,,,,Diane Dodds,,Diane Dodds,,Diane Dodds,Diane Dodds,,,,,,Diane Dodds,,,Diane Dodds,Diane Dodds,,Diane Dodds,Diane Dodds,Diane Dodds,Diane Dodds,,,,,Diane Dodds,,,,Diane Dodds,,,,,,,Diane Dodds,Diane Dodds,,,,,,,,,,,,,,,Diane Dodds,,,,,,,,,,Category:Diane Dodds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
