name,wikipedia__en,area,party,area_id,term,source,id
Andrew FAHIE,"",District 1,VIP,1,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",andrew_fahie
Alvin CHRISTOPHER,Alvin Christopher,District 2,NDP,2,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",alvin_christopher
Julian FRASER,Julian Fraser,District 3,VIP,3,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",julian_fraser
Mark VANTERPOOL,"",District 4,VIP,4,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",mark_vanterpool
Delores CHRISTOPHER,"",District 5,NDP,5,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",delores_christopher
Omar HODGE,Omar Hodge,District 6,VIP,6,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",omar_hodge
Kedrick PICKERING,"",District 7,NDP,7,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",kedrick_pickering
Lloyd BLACK,"",District 8,NDP,8,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",lloyd_black
Ralph T. O'NEAL,Ralph T. O'Neal,District 9,VIP,9,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",ralph_t._o'neal
Andrew FAHIE,"",District 1,VIP,1,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",andrew_fahie
Alvin CHRISTOPHER,Alvin Christopher,District 2,VIP,2,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",alvin_christopher
Julian FRASER,Julian Fraser,District 3,VIP,3,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",julian_fraser
Mark VANTERPOOL,"",District 4,NDP,4,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",mark_vanterpool
Ethlyn SMITH,"",District 5,CCM,5,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",ethlyn_smith
Omar HODGE,Omar Hodge,District 6,VIP,6,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",omar_hodge
Kedrick PICKERING,"",District 7,NDP,7,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",kedrick_pickering
Lloyd BLACK,"",District 8,NDP,8,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",lloyd_black
Ralph T. O'NEAL,Ralph T. O'Neal,District 9,VIP,9,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",ralph_t._o'neal
H. Lavity STOUTT,Hamilton Lavity Stoutt,District 1,VIP,1,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",hamilton_lavity_stoutt
Alvin CHRISTOPHER,Alvin Christopher,District 2,IND,2,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",alvin_christopher
Oliver CILLS,Oliver Cills,District 3,VIP,3,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",oliver_cills
