name,wikiname,area,area_id,group,term,source,end_date,start_date,replaced,id,name__en,wikipedia__en,image,gender,birth_date,identifier__freebase,given_name,death_date,name__pt,name__pl,name__ru,name__fr,name__es,name__ca,name__oc,name__yo,name__fi,name__hu,name__it,name__gl,name__de,name__id,name__ja,name__io,name__el,name__sh,name__tpi,name__nl,name__nb,name__da,name__nn,name__sv,wikipedia__ca,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__tpi,wikipedia__yo,name__zh,name__ar,name__ms,name__pam,name__tr,name__et,wikipedia__ar,wikipedia__et,wikipedia__ms,wikipedia__pam,wikipedia__tr,wikipedia__zh,wikipedia__da,name__lb,wikipedia__lb,identifier__wikidata
Kausea Natano,Kausea Natano,Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q6378927,Kausea Natano,Kausea Natano,,male,,,,,,,,,,,,,,,,,Kausea Natano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6378927
Kamuta Latasi,Kamuta Latasi,Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q739504,Kamuta Latasi,Kamuta Latasi,,male,1936-01-01,/m/0c8dkz,,,,Kamuta Latasi,"Латаси, Камута",Kamuta Latasi,Kamuta Latasi,,,,Kamuta Latasi,Kamuta Latasi,,,Kamuta Latasi,,,,Καμούτα Λατάζι,,,Kamuta Latasi,Kamuta Latasi,,,,,Kamuta Latasi,Καμούτα Λατάζι,,Kamuta Latasi,Kamuta Latasi,,Kamuta Latasi,,,,,,Kamuta Latasi,,Kamuta Latasi,,"Латаси, Камута",,,,,,,,,,,,,,,,,,,Q739504
Monise Lafai,Monise Lafai,Nanumanga,ocd-division/country:tv/constituency:nanumanga,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otinielu Tausi,Otinielu Tausi,Nanumanga,ocd-division/country:tv/constituency:nanumanga,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q7108741,Otinielu Tausi,Otinielu Tausi,,male,,,,,,,,Otinielu Tausi,,,,,,,,,Otinielu Tausi,,,,,,,,,,,,,,,,,Otinielu Tausi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7108741
Maatia Toafa,Maatia Toafa,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q287513,Maatia Toafa,Maatia Toafa,,male,1954-05-01,/m/03s66y,,,Maatia Toafa,Maatia Toafa,"Тоафа, Маатиа",Maatia Toafa,Maatia Toafa,,,,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Maatia Toafa,Maatia Toafa,マアティア・トアファ,,Μαατία Τοάφα,,,Maatia Toafa,Maatia Toafa,Maatia Toafa,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Μαατία Τοάφα,Maatia Toafa,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Maatia Toafa,,,マアティア・トアファ,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Maatia Toafa,"Тоафа, Маатиа",,,,,,Maatia Toafa,,,Maatia Toafa,,Maatia Toafa,Maatia Toafa,,,,,Maatia Toafa,Maatia Toafa,Q287513
Satini Manuella,Satini Manuella,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q18355480,Satini Manuella,Satini Manuella,,male,,,,,,,,,,,,,,,Satini Manuella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18355480
Fauoa Maani,Fauoa Maani,Niutao,ocd-division/country:tv/constituency:niutao,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q15972515,Fauoa Maani,Fauoa Maani,,male,,,,,,,,,,,,,,,Fauoa Maani,,Fauoa Maani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q15972515
Samuelu Teo,Samuelu Teo,Niutao,ocd-division/country:tv/constituency:niutao,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie Kiritome,Mackenzie Kiritome,Nui,ocd-division/country:tv/constituency:nui,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puakena Boreham,Puakena Boreham,Nui,ocd-division/country:tv/constituency:nui,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q19795263,Puakena Boreham,Puakena Boreham,,female,,,,,,,,Puakena Boreham,,,,,,,,,,,,,,,,,,,,,,,,,,Puakena Boreham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q19795263
