id,name,image,given_name,family_name,sort_name,birth_date,gender,house,start_date,state,district,party,homepage,address,phone,fax,term,area_id,identifier__bioguide,identifier__thomas,identifier__lis,identifier__govtrack,identifier__opensecrets,identifier__votesmart,identifier__fec,identifier__cspan,identifier__wikipedia,identifier__house_history,identifier__ballotpedia,identifier__maplight,identifier__washington_post,identifier__icpsr,end_date
B000944,Sherrod Brown,https://theunitedstates.io/images/congress/original/B000944.jpg,Sherrod,Brown,"Brown, Sherrod",1952-11-09,male,sen,2015-01-06,OH,,Democrat,http://www.brown.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-2315,202-228-6321,113,ocd-division/country:us/state:oh,B000944,00136,S307,400050,N00003535,27018,H2OH13033,5051,Sherrod Brown,9996,Sherrod Brown,168,gIQA3O2w9O,29389,2015-01-03
C000127,Maria Cantwell,https://theunitedstates.io/images/congress/original/C000127.jpg,Maria,Cantwell,"Cantwell, Maria",1958-10-13,female,sen,2015-01-06,WA,,Democrat,http://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,202-228-0514,113,ocd-division/country:us/state:wa,C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,gIQAZxKkDP,39310,2015-01-03
C000141,Benjamin L. Cardin,https://theunitedstates.io/images/congress/original/C000141.jpg,Benjamin,Cardin,"Cardin, Benjamin",1943-10-05,male,sen,2015-01-06,MD,,Democrat,http://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,202-224-1651,113,ocd-division/country:us/state:md,C000141,00174,S308,400064,N00001955,26888,H6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,gIQAGMu99O,15408,2015-01-03
C000174,Thomas R. Carper,https://theunitedstates.io/images/congress/original/C000174.jpg,Thomas,Carper,"Carper, Thomas",1947-01-23,male,sen,2015-01-06,DE,,Democrat,http://www.carper.senate.gov,513 Hart Senate Office Building Washington DC 20510,202-224-2441,202-228-2190,113,ocd-division/country:us/state:de,C000174,00179,S277,300019,N00012508,22421,S8DE00079,663,Tom Carper,10671,Tom Carper,545,gIQA3bm69O,15015,2015-01-03
C001070,"Robert P. Casey, Jr.",https://theunitedstates.io/images/congress/original/C001070.jpg,Robert,Casey,"Casey, Robert",1960-04-13,male,sen,2015-01-06,PA,,Democrat,http://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,202-228-0604,113,ocd-division/country:us/state:pa,C001070,01828,S309,412246,N00027503,2541,S6PA00217,47036,"Bob Casey, Jr.",,"Bob Casey, Jr.",727,gIQABeor9O,40703,2015-01-03
C001071,Bob Corker,https://theunitedstates.io/images/congress/original/C001071.jpg,Bob,Corker,"Corker, Bob",1952-08-24,male,sen,2015-01-06,TN,,Republican,http://www.corker.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3344,202-228-0566,113,ocd-division/country:us/state:tn,C001071,01825,S310,412248,N00027441,65905,S6TN00216,1021114,Bob Corker,,Bob Corker,729,gIQADOuy9O,40705,2015-01-03
F000062,Dianne Feinstein,https://theunitedstates.io/images/congress/original/F000062.jpg,Dianne,Feinstein,"Feinstein, Dianne",1933-06-22,female,sen,2015-01-06,CA,,Democrat,http://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,202-228-3954,113,ocd-division/country:us/state:ca,F000062,01332,S221,300043,N00007364,53273,S0CA00199,13061,Dianne Feinstein,13044,Dianne Feinstein,567,gIQAnrCyDP,49300,2015-01-03
H000338,Orrin G. Hatch,https://theunitedstates.io/images/congress/original/H000338.jpg,Orrin,Hatch,"Hatch, Orrin",1934-03-22,male,sen,2015-01-06,UT,,Republican,http://www.hatch.senate.gov,104 Hart Senate Office Building Washington DC 20510,202-224-5251,202-224-6331,113,ocd-division/country:us/state:ut,H000338,01351,S118,300052,N00009869,53352,S6UT00063,189,Orrin Hatch,,Orrin Hatch,574,gIQAzJiz9O,14503,2015-01-03
K000367,Amy Klobuchar,https://theunitedstates.io/images/congress/original/K000367.jpg,Amy,Klobuchar,"Klobuchar, Amy",1960-05-25,female,sen,2015-01-06,MN,,Democrat,http://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244,202-228-2186,113,ocd-division/country:us/state:mn,K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,gIQA5G259O,40700,2015-01-03
M001170,Claire McCaskill,https://theunitedstates.io/images/congress/original/M001170.jpg,Claire,McCaskill,"McCaskill, Claire",1953-07-24,female,sen,2015-01-06,MO,,Democrat,http://www.mccaskill.senate.gov,730 Hart Senate Office Building Washington DC 20510,202-224-6154,202-228-6326,113,ocd-division/country:us/state:mo,M001170,01820,S312,412243,N00027694,2109,S6MO00305,1012014,Claire McCaskill,18811,Claire McCaskill,725,gIQAiqnb9O,40701,2015-01-03
M000639,Robert Menendez,https://theunitedstates.io/images/congress/original/M000639.jpg,Robert,Menéndez,"Menéndez, Robert",1954-01-01,male,sen,2015-01-06,NJ,,Democrat,http://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,202-228-2197,113,ocd-division/country:us/state:nj,M000639,00791,S306,400272,N00000699,26961,H2NJ13075,29608,Bob Menendez,18124,Bob Menendez,368,gIQAYgYw6O,29373,2015-01-03
N000032,Bill Nelson,https://theunitedstates.io/images/congress/original/N000032.jpg,Bill,Nelson,"Nelson, Bill",1942-09-29,male,sen,2015-01-06,FL,,Democrat,http://www.billnelson.senate.gov,716 Hart Senate Office Building Washington DC 20510,202-224-5274,202-228-2183,113,ocd-division/country:us/state:fl,N000032,00859,S282,300078,N00009926,1606,S8FL00166,1931,Bill Nelson,18875,Bill Nelson (Florida),598,gIQAlLuy9O,14651,2015-01-03
S000033,Bernard Sanders,https://theunitedstates.io/images/congress/original/S000033.jpg,Bernard,Sanders,"Sanders, Bernard",1941-09-08,male,sen,2015-01-06,VT,,Independent,http://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,202-228-0776,113,ocd-division/country:us/state:vt,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,gIQABiDjMP,29147,2015-01-03
S000770,Debbie Stabenow,https://theunitedstates.io/images/congress/original/S000770.jpg,Debbie,Stabenow,"Stabenow, Debbie",1950-04-29,female,sen,2015-01-06,MI,,Democrat,http://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,202-228-0325,113,ocd-division/country:us/state:mi,S000770,01531,S284,300093,N00004118,515,S8MI00281,45451,Debbie Stabenow,22090,Debbie Stabenow,612,gIQA5t8DAP,29732,2015-01-03
T000464,Jon Tester,https://theunitedstates.io/images/congress/original/T000464.jpg,Jon,Tester,"Tester, Jon",1956-08-21,male,sen,2015-01-06,MT,,Democrat,http://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,202-224-8594,113,ocd-division/country:us/state:mt,T000464,01829,S314,412244,N00027605,20928,S6MT00162,1020176,Jon Tester,,Jon Tester,726,gIQAw67AAP,40702,2015-01-03
W000802,Sheldon Whitehouse,https://theunitedstates.io/images/congress/original/W000802.jpg,Sheldon,Whitehouse,"Whitehouse, Sheldon",1955-10-20,male,sen,2015-01-06,RI,,Democrat,http://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,202-228-6362,113,ocd-division/country:us/state:ri,W000802,01823,S316,412247,N00027533,2572,S6RI00221,92235,Sheldon Whitehouse,,Sheldon Whitehouse,728,gIQA7KHw9O,40704,2015-01-03
B001261,John Barrasso,https://theunitedstates.io/images/congress/original/B001261.jpg,John,Barrasso,"Barrasso, John",1952-07-21,male,sen,2015-01-06,WY,,Republican,http://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,202-224-1724,113,ocd-division/country:us/state:wy,B001261,01881,S317,412251,N00006236,52662,S6WY00068,1024777,John Barrasso,,John Barrasso,732,gIQASOzBAP,40707,2015-01-03
W000437,Roger F. Wicker,https://theunitedstates.io/images/congress/original/W000437.jpg,Roger,Wicker,"Wicker, Roger",1951-07-05,male,sen,2015-01-06,MS,,Republican,http://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,202-228-0378,113,ocd-division/country:us/state:ms,W000437,01226,S318,400432,N00003280,21926,H4MS01078,18203,Roger Wicker,23734,Roger Wicker,517,gIQAC9ZCAP,29534,2015-01-03
A000360,Lamar Alexander,https://theunitedstates.io/images/congress/original/A000360.jpg,Lamar,Alexander,"Alexander, Lamar",1940-07-03,male,sen,2015-01-06,TN,,Republican,http://www.alexander.senate.gov,455 Dirksen Senate Office Building Washington DC 20510,202-224-4944,202-228-3398,114,ocd-division/country:us/state:tn,A000360,01695,S289,300002,N00009888,15691,S2TN00058,5,Lamar Alexander,,Lamar Alexander,530,gIQAzZQL9O,40304,2017-01-03
C000567,Thad Cochran,https://theunitedstates.io/images/congress/original/C000567.jpg,Thad,Cochran,"Cochran, Thad",1937-12-07,male,sen,2015-01-06,MS,,Republican,http://www.cochran.senate.gov,113 Dirksen Senate Office Building Washington DC 20510,202-224-5054,202-224-9450,114,ocd-division/country:us/state:ms,C000567,00213,S136,300023,N00003328,53312,S8MS00055,1200,Thad Cochran,11160,Thad Cochran,549,gIQAJk599O,14009,2017-01-03
C001035,Susan M. Collins,https://theunitedstates.io/images/congress/original/C001035.jpg,Susan,Collins,"Collins, Susan",1952-12-07,female,sen,2015-01-06,ME,,Republican,http://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,202-224-2693,114,ocd-division/country:us/state:me,C001035,01541,S252,300025,N00000491,379,S6ME00159,45738,Susan Collins,11742,Susan Collins,551,gIQAPvDu9O,49703,2017-01-03
C001056,John Cornyn,https://theunitedstates.io/images/congress/original/C001056.jpg,John,Cornyn,"Cornyn, John",1952-02-02,male,sen,2015-01-06,TX,,Republican,http://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,202-228-2856,114,ocd-division/country:us/state:tx,C001056,01692,S287,300027,N00024852,15375,S2TX00106,93131,John Cornyn,,John Cornyn,553,gIQAy80L9O,40305,2017-01-03
D000563,Richard J. Durbin,https://theunitedstates.io/images/congress/original/D000563.jpg,Richard,Durbin,"Durbin, Richard",1944-11-21,male,sen,2015-01-06,IL,,Democrat,http://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,202-228-0400,114,ocd-division/country:us/state:il,D000563,00326,S253,300038,N00004981,26847,S6IL00151,6741,Dick Durbin,12527,Dick Durbin,563,gIQArl8V9O,15021,2017-01-03
E000285,Michael B. Enzi,https://theunitedstates.io/images/congress/original/E000285.jpg,Michael,Enzi,"Enzi, Michael",1944-02-01,male,sen,2015-01-06,WY,,Republican,http://www.enzi.senate.gov,379A Russell Senate Office Building Washington DC 20510,202-224-3424,202-228-0359,114,ocd-division/country:us/state:wy,E000285,01542,S254,300041,N00006249,558,S6WY00126,45824,Mike Enzi,,Mike Enzi,565,gIQAAWfCAP,49706,2017-01-03
