id,name__sw,name__en,name__de,name__fr,name,wikipedia__en,wikipedia__sw,gender,birth_date,original_wikiname,name__es,name__nb,name__da,name__nn,name__sv,name__eo,wikipedia__eo,wikipedia__simple,image,identifier__ISNI,identifier__VIAF,identifier__LCAuth,death_date,given_name,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__pl,name__hr,name__nl,name__zh,wikipedia__de,wikipedia__fr,wikipedia__hr,wikipedia__pl,wikipedia__pt,wikipedia__zh,identifier__SUDOC,identifier__freebase,identifier__NTA,name__id,name__ru,name__yo,wikipedia__id,wikipedia__ru,wikipedia__sv,wikipedia__yo,name__it,name__ca,name__oc,wikipedia__enwikiquote,wikipedia__es,twitter,name__mg,wikipedia__mg,website,name__tr,name__ro,name__fi,name__et,name__ja,name__el,name__sr,name__ko,wikipedia__da,wikipedia__el,wikipedia__et,wikipedia__fi,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__no,wikipedia__ro,wikipedia__sr,wikipedia__tr,wikipedia__commons
Q13122536,Abbas Zubeir Mtemvu,Abas Mtemvu,Abas Mtemvu,Abas Mtemvu,Abas Mtemvu,Abas Mtemvu,Abbas Zubeir Mtemvu,male,1959-11-01,Abas Mtemvu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4664665,Abdallah Omar Kigoda,Abdallah Kigoda,Abdallah Kigoda,Abdallah Kigoda,Abdallah Kigoda,Abdallah Kigoda,Abdallah Kigoda,male,1953-11-25,Abdallah Kigoda,Abdallah Kigoda,Abdallah Omar Kigoda,Abdallah Omar Kigoda,Abdallah Omar Kigoda,Abdallah Omar Kigoda,Abdallah Kigoda,Abdallah Kigoda,Abdallah Kigoda,https://upload.wikimedia.org/wikipedia/commons/e/e7/Abdallah_Kigoda.jpg,0000 0000 4323 828X,26589885,nb2007000971,2015-10-12,Abdallah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q456003,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,female,1950-10-12,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,,,,https://upload.wikimedia.org/wikipedia/commons/8/89/Anna_Tibaijuka_-_World_Economic_Forum_on_Africa_2010.jpg,0000 0001 1436 8226,3185806,n82119935,,Anna,安娜·卡朱摩洛·提拜朱卡,安娜·卡朱摩洛·提拜朱卡,安娜·卡朱摩洛·提拜朱卡,安娜·卡朱摩洛·提拜朱卡,安娜·卡朱摩洛·提拜朱卡,安娜·卡朱摩洛·提拜朱卡,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,安娜·卡朱摩洛·提拜朱卡,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,Anna Tibaijuka,安娜·卡朱摩洛·提拜朱卡,13090807X,/m/0dt4pp,106053248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q461710,Asha-Rose Mtengeti Migiro,Asha-Rose Migiro,Asha-Rose Migiro,Asha-Rose Migiro,Asha-Rose Migiro,Asha-Rose Migiro,Asha-Rose Mtengeti Migiro,female,1956-07-09,Asha-Rose Migiro,Asha-Rose Migiro,Asha-Rose Mtengeti Migiro,Asha-Rose Mtengeti Migiro,Asha-Rose Mtengeti Migiro,Asha-Rose Migiro,Asha-Rose Migiro,Asha-Rose Migiro,,https://upload.wikimedia.org/wikipedia/commons/3/38/Asha-Rose_Migiro_cropped.jpg,,233092797,no2012040181,,Asha,阿莎-罗丝·米吉罗,阿莎-羅絲·米吉羅,阿莎-羅絲·米吉羅,阿莎-罗丝·米吉罗,阿莎-罗丝·米吉罗,阿莎-羅絲·米吉羅,Asha-Rose Migiro,,,Asha-Rose Migiro,阿莎-罗丝·米吉罗,Asha-Rose Migiro,Asha-Rose Migiro,,,Asha-Rose Migiro,阿莎-罗丝·米吉罗,,/m/09wcz8,,Asha-Rose Migiro,"Мигиро, Аша Роза",Asha-Rose Migiro,Asha-Rose Migiro,"Мигиро, Аша Роза",Asha-Rose Migiro,Asha-Rose Migiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16187247,,Benedict Ole-Nangoro,,Benedict Ole-Nangoro,Benedict Ole-Nangoro,Benedict Ole-Nangoro,,male,1956-07-17,Benedict Ole-Nangoro,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/41/Benedict_Ole_Nangoro.jpg,,,,,Benedict,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benedict Ole-Nangoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58152,Bernard Kamilius Membe,Bernard Membe,Bernard Membe,Bernard Membe,Bernard Membe,Bernard Membe,Bernard Kamilius Membe,male,1953-11-09,Bernard Membe,Bernard Membe,Bernard Kamilius Membe,Bernard Kamilius Membe,Bernard Kamilius Membe,Bernard Kamilius Membe,,,,https://upload.wikimedia.org/wikipedia/commons/8/83/Bernard_Membe.jpg,,,,,Bernard,,,,,,,,,,Bernard Membe,,Bernard Membe,Bernard Membe,,,,,,/m/027pbsh,,,,,,,,,,Bernard Membe,Bernard Membe,Bernard Membe,Bernard Membe,BernardMembe,,,,,,,,,,,,,,,,,,,,,,,
Q5018715,Christopher Kajoro Chiza,Christopher Chiza,Christopher Chiza,Christopher Chiza,Christopher Chiza,Christopher Chiza,Christopher Kajoro Chiza,male,1953-04-13,Christopher Chiza,Christopher Chiza,Christopher Kajoro Chiza,Christopher Kajoro Chiza,Christopher Kajoro Chiza,Christopher Kajoro Chiza,,,,https://upload.wikimedia.org/wikipedia/commons/a/a5/Christopher_Chiza.png,,,,,Christopher,,,,,,,,,,Christopher Chiza,,,,,,,,,,,,,,,,,,,,,,,,Christopher Chiza,Christopher Chiza,,,,,,,,,,,,,,,,,,,,,
Q16189332,,Dalaly Kafumu,Dalaly Kafumu,,Dalaly Kafumu,Dalaly Kafumu,,male,1957-08-04,Dalaly Kafumu,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Dalaly_Kafumu.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16231449,,Felix Mkosamali,Felix Mkosamali,Felix Mkosamali,Felix Mkosamali,Felix Mkosamali,,male,1986-06-04,Felix Mkosamali,,,,,,,,,,,,,,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16192851,,Hadji Mponda,Hadji Mponda,Hadji Mponda,Hadji Mponda,Hadji Mponda,,male,1958-09-27,Hadji Mponda,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/49/Hadji_Mponda.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
