id,name__tr,name,wikipedia__tr,name__en,wikipedia__en,gender,birth_date,given_name,identifier__freebase,image
Q4696177,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,male,1950-01-01,Ahmet,,
Q20090577,,Doğuş Derya,"",Doğuş Derya,Doğuş Derya,female,,,,
Q730602,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,male,1951-03-05,,/m/05xsks,
Q58174,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,male,1965-01-01,Hüseyin,/m/0bs8f6q,
Q2272256,Serdar Denktaş,Serdar Denktaş,Serdar Denktaş,Serdar Denktaş,Serdar Denktaş,male,1959-01-01,Serdar,,
Q14330482,Sibel Siber,Sibel Siber,Sibel Siber,Sibel Siber,Sibel Siber,female,1960-01-01,Sibel,/m/0wfz7wy,https://upload.wikimedia.org/wikipedia/commons/4/42/Sibel_Siber_(cropped).jpg
Q2388336,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,male,1953-01-01,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Tahsin_Ertuğruloğlu.jpg
Q20744808,,Zeki Çeler,"",Zeki Çeler,Zeki Çeler,male,,,,
Q20669153,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,male,1950-01-01,,,
Q6065323,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,male,1954-01-01,,,
