name,constituency,party,term,source,wikipedia,wikidata,family_name,given_name,image,gender,birth_date
Dalton Tagelagi,Alofi South,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,https://en.wikipedia.org/wiki/Dalton_Tagelagi,Q19876617,,,,male,
Va’aiga Tukuitoga,Alofi North,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,,,,,,,
Tofua Puletama,Makefu,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,,,,,,,
Fisa Igilisi Pihigia,Tuapa,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,,,,,,,
"Jack Willie Lipitoa, QSM",Namukulu,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,,,,,,,
Opili Talafasi,Hikutavake,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,,,,,,,
Dion Paki Taufitu,Toi,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,,,,,,,
Bill Vakaafi Motufoou,Mutalau,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,https://en.wikipedia.org/wiki/Bill_Vakaafi_Motufoou,Q4911209,,Bill,,male,
Kupa Magatogia,Lakepa,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,,,,,,,
Pokotoa Sipeli,Liku,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,https://en.wikipedia.org/wiki/Pokotoa_Sipeli,Q251952,,,,male,
Mititaiagimene Young Vivian,Hakupu,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,https://en.wikipedia.org/wiki/Young_Vivian,Q508830,Vivian,,,male,1935-11-12
Talaititama Talaiti,Vaiea,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,,,,,,,
Billy Graham Talagi,Avatele,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,,,,,,,
Peter Andrew Funaki,Tamakautoga,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,,,,,,,
Stanley Atuvaha Kalauni,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,,,,,,,
Toke Tufukia Talagi,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,https://en.wikipedia.org/wiki/Toke_Talagi,Q785548,,Toke,https://upload.wikimedia.org/wikipedia/commons/d/d3/Toke_Talagi.jpg,male,1960-12-06
Crossley Tatui,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,,,,,,,
Togia Likalika Sioneholo,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,https://en.wikipedia.org/wiki/Togia_Sioneholo,Q7813183,,,,male,
Terry Donald Coe,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,https://en.wikipedia.org/wiki/Terry_Coe,Q7704226,,Terry,,male,
Joan Sisiata Tahafa Viliamu,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,https://en.wikipedia.org/wiki/Joan_Viliamu,Q16730306,,Joan,,female,1966-03-22
