id,name__fi,name,wikipedia__fi,name__sv,wikipedia__sv,name__en,wikipedia__en,image,gender,birth_date,identifier__freebase,given_name,website,identifier__ISNI,identifier__VIAF,identifier__LCAuth,identifier__EuroparlMEP,identifier__GND,identifier__BNF,identifier__IMDB,identifier__MusicBrainz,identifier__SELIBR,identifier__NTA,family_name,identifier__discogs,identifier__parlement,identifier__SUDOC,identifier__BIBSYS,identifier__Munzinger,twitter,facebook,death_date,identifier__IIAF,name__ru,name__fr,name__pl,name__nl,name__es,name__nb,name__da,name__nn,wikipedia__fr,wikipedia__pl,wikipedia__ru,name__it,name__de,name__et,name__lt,name__ca,name__uk,name__id,wikipedia__ca,wikipedia__es,wikipedia__et,wikipedia__id,wikipedia__lt,wikipedia__uk,name__en_ca,name__en_gb,wikipedia__commons,wikipedia__de,wikipedia__enwikiquote,wikipedia__fiwikiquote,name__io,name__ar,name__hu,wikipedia__ar,wikipedia__hu,wikipedia__io,wikipedia__no,name__tr,wikipedia__tr,name__sco,wikipedia__sco,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__eo,name__cs,name__fa,name__bg,name__zh,name__sk,wikipedia__bg,wikipedia__cs,wikipedia__da,wikipedia__eo,wikipedia__fa,wikipedia__it,wikipedia__pt,wikipedia__sk,wikipedia__zh,name__lv,wikipedia__lv,name__lb,name__he,name__ko,name__yo,name__ja,name__el,name__vi,name__sr,name__se,name__cy,name__os,name__be,name__pt_br,name__is,name__lmo,name__oc,name__la,wikipedia__be,wikipedia__cy,wikipedia__el,wikipedia__he,wikipedia__is,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__nl,wikipedia__os,wikipedia__plwikiquote,wikipedia__se,wikipedia__simple,wikipedia__sr,wikipedia__vi,wikipedia__yo,name__nan,name__eu,name__ie,name__ms,name__gl,name__sw,name__sh,name__sr_el,name__sr_ec,name__vep,name__nds,name__az,wikipedia__az,wikipedia__eu,wikipedia__gl,wikipedia__ie,wikipedia__ms,wikipedia__nds,wikipedia__oc,wikipedia__sh,wikipedia__sw,wikipedia__vep,wikipedia__zh_min_nan,name__hy,name__sl,name__hr,wikipedia__hr,wikipedia__hy,wikipedia__sl,name__ro,wikipedia__nn,wikipedia__ro,name__uz,name__de_ch,wikipedia__itwikiquote,wikipedia__uz,name__so,wikipedia__so,name__mg,wikipedia__mg,name__arz,name__ga,name__be_tarask,wikipedia__arz,wikipedia__be_x_old,wikipedia__ga,name__br,name__th,name__ilo,name__fo,name__ka,name__mr,wikipedia__br,wikipedia__fo,wikipedia__ilo,wikipedia__ka,wikipedia__mr,wikipedia__th,wikipedia__ukwikiquote,name__fy,wikipedia__fy,name__gsw
Q2850448,Anna-Maja Henriksson,Anna-Maja Henriksson,Anna-Maja Henriksson,Anna-Maja Henriksson,Anna-Maja Henriksson,Anna-Maja Henriksson,Anna-Maja Henriksson,https://upload.wikimedia.org/wikipedia/commons/2/28/Anna-Maja_Henriksson.jpg,female,1964-02-07,/m/0gwypdh,,,,,,,,,,,,,,,,,,,,,,,"Хенрикссон, Анна-Майя",Anna-Maja Henriksson,Anna-Maja Henriksson,Anna-Maja Henriksson,Anna-Maja Henriksson,Anna-Maja Henriksson,Anna-Maja Henriksson,Anna-Maja Henriksson,Anna-Maja Henriksson,Anna-Maja Henriksson,"Хенрикссон, Анна-Майя",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2851141,Anne Holmlund,Anne Holmlund,Anne Holmlund,Anne Holmlund,Anne Holmlund,Anne Holmlund,Anne Holmlund,https://upload.wikimedia.org/wikipedia/commons/7/74/Anne_Holmlund.jpg,female,1964-04-18,/m/05f9gl1,Anne,http://www2.eduskunta.fi/fakta/edustaja/630/index.html,,,,,,,,,,,,,,,,,,,,,,Anne Holmlund,Anne Holmlund,Anne Holmlund,Anne Holmlund,Anne Holmlund,Anne Holmlund,Anne Holmlund,Anne Holmlund,Anne Holmlund,,Anne Holmlund,Anne Holmlund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4770759,Anssi Joutsenlahti,Anssi Joutsenlahti,Anssi Joutsenlahti,,,Anssi Joutsenlahti,Anssi Joutsenlahti,,male,1943-09-17,,,,,,,,,,,,,,,,,,,,,,,,,Anssi Joutsenlahti,,,,,,,,,,,Anssi Joutsenlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2360756,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,https://upload.wikimedia.org/wikipedia/commons/e/e3/Eero_Heinäluoma.jpg,male,1955-07-04,/m/075jy7,Eero,,,305856701,,,,,,,,,,,,,,,,,,,"Хейнялуома, Ээро",Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,"Хейнялуома, Ээро",Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Ееро Гейнялуома,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Eero Heinäluoma,Ееро Гейнялуома,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6136096,James Hirvisaari,James Hirvisaari,James Hirvisaari,,,James Hirvisaari,James Hirvisaari,,male,1950-02-07,,James,,,,,,,,,,,,,,,,,,,,,,,James Hirvisaari,,,James Hirvisaari,,,,,,,,James Hirvisaari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13639538,Johanna Jurva,Johanna Jurva,Johanna Jurva,,,Johanna Jurva,Johanna Jurva,,female,1977-05-16,,Johanna,,,,,,,,,,,,,,,,,,,,,,,Johanna Jurva,,,,,,,,,,,Johanna Jurva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11291967,Jouko Jääskeläinen,Jouko Jääskeläinen,Jouko Jääskeläinen,,,Jouko Jääskeläinen,Jouko Jääskeläinen,,male,1952-03-18,,Jouko,,,,,,,,,,,,,,,,,,,,,,,Jouko Jääskeläinen,,,Jouko Jääskeläinen,,,,,,,,Jouko Jääskeläinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5406257,Juho Eerola,Juho Eerola,Juho Eerola,,,Juho Eerola,Juho Eerola,https://upload.wikimedia.org/wikipedia/commons/5/56/Juho_Eerola.jpg,male,1975-02-24,,Juho,,,,,,,,,,,,,,,,,,,,,,,Juho Eerola,Juho Eerola,Juho Eerola,,,,,,Juho Eerola,,,Juho Eerola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3040284,Jussi Halla-aho,Jussi Halla-aho,Jussi Halla-aho,Jussi Halla-aho,Jussi Halla-aho,Jussi Halla-aho,Jussi Halla-aho,https://upload.wikimedia.org/wikipedia/commons/1/13/IMG_1078_Jussi_Halla-Aho.jpg,male,1971-04-27,/m/058lfl8,Jussi,,0000 0001 1793 4553,162952429,no2003043551,124727,,,,,,,,,,,,,,,,,"Халла-ахо, Юсси",Jussi Halla-aho,Jussi Halla-aho,Jussi Halla-aho,Jussi Halla-aho,,,,Jussi Halla-aho,Jussi Halla-aho,"Халла-ахо, Юсси",,Jussi Halla-aho,,,,,,,,,,,,Jussi Halla-aho,Jussi Halla-aho,Category:Jussi Halla-aho,Jussi Halla-aho,Jussi Halla-aho,Jussi Halla-aho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1359004,Jyri Häkämies,Jyri Häkämies,Jyri Häkämies,Jyri Häkämies,Jyri Häkämies,Jyri Häkämies,Jyri Häkämies,https://upload.wikimedia.org/wikipedia/commons/f/f1/Jyri_Häkämies.jpg,male,1961-08-30,/m/02x7mvv,Jyri,,,,,,,,,,,,,,,,,,,,,,"Хякямиес, Юри",Jyri Häkämies,Jyri Häkämies,Jyri Häkämies,Jyri Häkämies,,,,Jyri Häkämies,Jyri Häkämies,"Хякямиес, Юри",,Jyri Häkämies,Jyri Häkämies,,,,,,,Jyri Häkämies,,,,,,,Jyri Häkämies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
