id,birth_date,name,sort_name,family_name,given_name,image,source,term,party,party_id,start_date,end_date
mp_NaimJerliu,1969-11-02,Naim Jerliu,Jerliu Naim,Jerliu,Naim,http://files.parldata.eu/kv/kuvendi/people/mp_NaimJerliu/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,396&secid=102&legid=2",chamber_2001-11-17,Unknown,_unknown,,
mp_NexhatDaci,"",Nexhat Daci,Daci Nexhat,Daci,Nexhat,http://files.parldata.eu/kv/kuvendi/people/mp_NexhatDaci/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,641&secid=102&legid=3",chamber_2001-11-17,Unknown,_unknown,,
mp_EmilijaRedEpi,"",Emilija Redepi,Redepi Emilija,Redepi,Emilija,http://files.parldata.eu/kv/kuvendi/people/mp_EmilijaRed%C2%9EEpi/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,778&secid=102&legid=4",chamber_2014-07-17,Unknown,_unknown,,
mp_JakupKrasniqi,"",Jakup Krasniqi,Krasniqi Jakup,Krasniqi,Jakup,http://files.parldata.eu/kv/kuvendi/people/mp_JakupKrasniqi/image.3.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,656&secid=102&legid=4",chamber_2014-07-17,Unknown,_unknown,,
mp_Müferaªinik,"",Müfera ªinik,ªinik Müfera,ªinik,Müfera,http://files.parldata.eu/kv/kuvendi/people/mp_M%C3%BCfera%C2%AAinik/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,683&secid=102&legid=4",chamber_2014-07-17,Unknown,_unknown,,
mp_Müferaªinik,"",Müfera ªinik,ªinik Müfera,ªinik,Müfera,http://files.parldata.eu/kv/kuvendi/people/mp_M%C3%BCfera%C2%AAinik/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,683&secid=102&legid=4",chamber_2014-07-17,Unknown,_unknown,,
mp_SerdjanPopović,"",Serdjan Popović,Popović Serdjan,Popović,Serdjan,"","http://www.kuvendikosoves.org/?cid=1,102,945",chamber_2014-07-17,Unknown,_unknown,,
mp_AgimKrasniqi,1956-05-17,Agim Krasniqi,Krasniqi Agim,Krasniqi,Agim,http://files.parldata.eu/kv/kuvendi/people/mp_AgimKrasniqi/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,408&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_AleksandarVirijeviæ,"",Aleksandar Virijeviæ,Virijeviæ Aleksandar,Virijeviæ,Aleksandar,http://files.parldata.eu/kv/kuvendi/people/mp_AleksandarVirijevi%C3%A6/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,385&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i KP-së,parliamentary_group_4,2001-11-17,2004-11-23
mp_AliSadriu,"",Ali Sadriu,Sadriu Ali,Sadriu,Ali,http://files.parldata.eu/kv/kuvendi/people/mp_AliSadriu/image.4.jpeg,"http://www.kuvendikosoves.org/?cid=1,102,831",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
