name,wikiname,area,area_id,group,term,source,end_date,start_date,replaced,id,name__en,wikipedia__en,image,gender,birth_date,identifier__freebase,given_name,death_date
Kausea Natano,Kausea Natano,Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q6378927,Kausea Natano,Kausea Natano,,male,,,,
Kamuta Latasi,Kamuta Latasi,Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q739504,Kamuta Latasi,Kamuta Latasi,,male,1936-01-01,/m/0c8dkz,,
Monise Lafai,Monise Lafai,Nanumanga,ocd-division/country:tv/constituency:nanumanga,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,,,,,,,,,
Otinielu Tausi,Otinielu Tausi,Nanumanga,ocd-division/country:tv/constituency:nanumanga,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q7108741,Otinielu Tausi,Otinielu Tausi,,male,,,,
Maatia Toafa,Maatia Toafa,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q287513,Maatia Toafa,Maatia Toafa,,male,1954-05-01,/m/03s66y,,
Satini Manuella,Satini Manuella,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q18355480,Satini Manuella,Satini Manuella,,male,,,,
Fauoa Maani,Fauoa Maani,Niutao,ocd-division/country:tv/constituency:niutao,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q15972515,Fauoa Maani,Fauoa Maani,,male,,,,
Samuelu Teo,Samuelu Teo,Niutao,ocd-division/country:tv/constituency:niutao,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,,,,,,,,,
Mackenzie Kiritome,Mackenzie Kiritome,Nui,ocd-division/country:tv/constituency:nui,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,,,,,,,,,
Puakena Boreham,Puakena Boreham,Nui,ocd-division/country:tv/constituency:nui,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q19795263,Puakena Boreham,Puakena Boreham,,female,,,,
Enele Sopoaga,Enele Sopoaga,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q330640,Enele Sopoaga,Enele Sopoaga,,male,1956-02-10,/m/0ddbw5v,,
Elisala Pita,Elisala Pita,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q15968283,Elisala Pita,Elisala Pita,,male,,,,
Namoliki Sualiki,Namoliki Sualiki,Nukulaelae,ocd-division/country:tv/constituency:nukulaelae,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q6961984,Namoliki Sualiki,Namoliki Sualiki,,male,,,,
Apisai Ielemia,Apisai Ielemia,Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q316267,Apisai Ielemia,Apisai Ielemia,https://upload.wikimedia.org/wikipedia/commons/f/f2/Apisai_Ielemia_cropped.jpg,male,1955-08-19,/m/0g633_,Apisai,
Taukelina Finikaso,Taukelina Finikaso,Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q7688699,Taukelina Finikaso,Taukelina Finikaso,,male,,,,
Kausea Natano,Kausea Natano,Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q6378927,Kausea Natano,Kausea Natano,,male,,,,
Kamuta Latasi,Kamuta Latasi,Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q739504,Kamuta Latasi,Kamuta Latasi,,male,1936-01-01,/m/0c8dkz,,
Monise Lafai,Monise Lafai,Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,,,,,,,,,
Falesa Pitoi,Falesa Pitoi,Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2014-01-14,,,Q2377016,Falesa Pitoi,Falesa Pitoi,,male,,,,
Otinielu Tausi,Otinielu Tausi,Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2014-01-14,Falesa Pitoi,Q7108741,Otinielu Tausi,Otinielu Tausi,,male,,,,
Maatia Toafa,Maatia Toafa,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q287513,Maatia Toafa,Maatia Toafa,,male,1954-05-01,/m/03s66y,,
Willy Telavi,Willy Telavi,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2014-09-19,,,Q561559,Willy Telavi,Willy Telavi,https://upload.wikimedia.org/wikipedia/commons/1/15/WillyTevali.jpg,male,1954-01-28,/m/03h1dtd,Willy,
Satini Manuella,Satini Manuella,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2014-09-19,Willy Telavi,Q18355480,Satini Manuella,Satini Manuella,,male,,,,
Fauoa Maani,Fauoa Maani,Niutao,ocd-division/country:tv/constituency:niutao,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q15972515,Fauoa Maani,Fauoa Maani,,male,,,,
Vete Sakaio,Vete Sakaio,Niutao,ocd-division/country:tv/constituency:niutao,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q7923554,Vete Sakaio,Vete Sakaio,,male,,,,
Isaia Italeli,Isaia Italeli,Nui,ocd-division/country:tv/constituency:nui,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2011-08-24,,,Q6078458,Isaia Italeli,Isaia Italeli,,male,,,Isaia,2011-07-20
Pelenike Isaia,Pelenike Isaia,Nui,ocd-division/country:tv/constituency:nui,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2011-08-24,Isaia Italeli,Q7161303,Pelenike Isaia,Pelenike Isaia,,female,,,,
Taom Tanukale,Taom Tanukale,Nui,ocd-division/country:tv/constituency:nui,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2013-09-10,,,Q7684285,Taom Tanukale,Taom Tanukale,,male,,,,
Leneuoti Maatusi,Leneuoti Maatusi,Nui,ocd-division/country:tv/constituency:nui,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2013-09-10,Taom Tanukale,,,,,,,,,
