id,name__en,name,wikipedia__en,gender,given_name,birth_date,death_date,identifier__freebase,family_name,image,identifier__VIAF
Q16728040,Alvin Christopher,Alvin Christopher,Alvin Christopher,male,Alvin,,,,,,
Q16866678,Conrad Maduro,Conrad Maduro,Conrad Maduro,male,Conrad,,,,,,
Q1148676,Cyril Romney,Cyril Romney,Cyril Romney,male,Cyril,1931-03-01,2007-07-19,/m/0d1kx0,Romney,,
Q5215432,Dancia Penn,Dancia Penn,Dancia Penn,female,,1951-01-01,,,,,
Q518666,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,male,Hamilton,1929-03-07,1995-05-14,/m/0d1kt6,,,
Q17198146,Julian Fraser,Julian Fraser,Julian Fraser,male,Julian,1950-07-05,,,,,
Q16214258,Myron Walwyn,Myron Walwyn,Myron Walwyn,male,Myron,1972-02-22,,,,,
Q16844111,Omar Hodge,Omar Hodge,Omar Hodge,male,Omar,,,,,,
Q715046,Orlando Smith,Orlando Smith,Orlando Smith,male,Orlando,1944-08-28,,/m/037bj3,Smith,https://upload.wikimedia.org/wikipedia/commons/a/ab/D._Orlando_Smith_(cropped).jpg,
Q16873237,Qwominer William Osborne,Qwominer William Osborne,Qwominer William Osborne,male,,,,,,,
Q692366,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,male,Ralph,1933-12-15,,/m/0d1kxc,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ralph_T._O'Neal_(cropped).jpg,
Q7703251,Terrance B. Lettsome,Terrance B. Lettsome,Terrance B. Lettsome,male,Terrance,1935-03-11,2007-01-12,,,,4440397
Q691131,Willard Wheatley,Willard Wheatley,Willard Wheatley,male,Willard,1915-07-16,1997-01-22,,,,
