name,wikiname,group,area,term,source,id,name__fr,name__en,name__nl,name__es,name__eo,name__nb,name__da,name__nn,name__sv,name__de,wikipedia__commons,wikipedia__en,wikipedia__eo,wikipedia__fr,image,gender,identifier__isni,identifier__viaf,identifier__bnf,identifier__sudoc,birth_date,given_name,identifier__sycomore,name__pl,wikipedia__pl,identifier__freebase,identifier__wikidata
Stéphane Artano,Stéphane Artano,Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,Q3501568,Stéphane Artano,Stéphane Artano,Stéphane Artano,Stéphane Artano,,Stéphane Artano,Stéphane Artano,Stéphane Artano,Stéphane Artano,Stéphane Artano,,Stéphane Artano,,Stéphane Artano,,male,,,,,1973-03-09,Stéphane,,Stéphane Artano,Stéphane Artano,/m/04132m3,Q3501568
Françoise Letournel,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gérard Briand,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Céline Gaspard,"",Archipel demain,Miquelon-Langlade,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odile Beaupertuis,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Yves Desdouets,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Pierre Lebailly,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stéphane Coste,"",SPM Ensemble,Miquelon-Langlade,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine de Arburn,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gérard Grignon,Gérard Grignon,Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,Q3124001,Gérard Grignon,Gérard Grignon,,,,Gérard Grignon,Gérard Grignon,Gérard Grignon,Gérard Grignon,,,,,Gérard Grignon,,male,,,,,1943-04-16,Gérard,3580,,,,Q3124001
Claude Hacala,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathalie Rebmann,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonia Urdanabia,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alain Goupillière,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Gourmelon,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
