name,wikiname,group,term,source,id,name__fr,wikipedia__fr,name__en,wikipedia__en,gender,birth_date,given_name,identifier__viaf,website,identifier__sycomore,facebook,image,identifier__senatdotfr,name__it,name__pl,wikipedia__pl,name__es,name__nl,name__de,name__nb,name__da,name__nn,name__sv
Aline Hanson,Aline Hanson,Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,Q16267497,Aline Hanson,Aline Hanson,Aline Hanson,,female,1949-10-09,Aline,,,,,,,Aline Hanson,Aline Hanson,Aline Hanson,,,,,,,
Guillaume Arnell,Guillaume Arnell,Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,Q3119642,Guillaume Arnell,Guillaume Arnell,Guillaume Arnell,,male,1958-01-20,Guillaume,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Guillaume_Arnell_2.jpg,senateur/arnell_guillaume14261s,Guillaume Arnell,,,,,,,,,
Ramona Connor,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Wendel Cocks,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Rosette Gumbs-Lake,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Gibbs,Daniel Gibbs,Team Daniel Gibbs 2012,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,Q4556137,Daniel Gibbs,Daniel Gibbs,Daniel Gibbs,Daniel Gibbs,male,1968-01-08,Daniel,310685375,http://deputation.danielgibbs.fr/,18433,334151066605825,,,,Daniel Gibbs,Daniel Gibbs,Daniel Gibbes,Daniel Gibbs,Daniel Gibbs,Daniel Gibbs,Daniel Gibbs,Daniel Gibbs,Daniel Gibbs
René-Jean Duret,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Jeanne Rogers-Vanterpool,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Alain Gros-Desormeaux,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Rolande Questel,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Louis Fleming,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Nadine Jermin-Paines,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Jean-David Richardson,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Josiane Carty-Nettleford,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
José Vilier,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Valérie Picotin-Fontrose,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Antero Santos,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Philippe Richardson,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Dominique Aubert,"",Team Daniel Gibbs 2012,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Jules Charville,"",Team Daniel Gibbs 2012,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Claire Manuel-Philips,"",Team Daniel Gibbs 2012,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Christophe Henocq,"",Team Daniel Gibbs 2012,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
Maud Ascent-Gibbs,"",Team Daniel Gibbs 2012,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial,,,,,,,,,,,,,,,,,,,,,,,,
