name,group,group_id,term,source,image,email
Ian Sebastian Rummery,Non-Partisan,IND,2013,"https://en.wikipedia.org/wiki/Saint_Helena_general_election,_2013",,
Lawson Arthur Henry,Non-Partisan,IND,2013,"https://en.wikipedia.org/wiki/Saint_Helena_general_election,_2013",http://www.sainthelena.gov.sh/wp-content/uploads/2013/02/DSC_0606.jpg,lawson.henry@helanta.co.sh
Nigel Dollery,Non-Partisan,IND,2013,"https://en.wikipedia.org/wiki/Saint_Helena_general_election,_2013",http://www.sainthelena.gov.sh/wp-content/uploads/2013/02/adj-posterposter-2.jpg,nigel.dollery@helanta.co.sh
Christine Lilian Scipio-O’Dean,Non-Partisan,IND,2013,"https://en.wikipedia.org/wiki/Saint_Helena_general_election,_2013",http://www.sainthelena.gov.sh/wp-content/uploads/2013/02/christine.jpg,christine.scipio@helanta.co.sh
Cyril Robert George,Non-Partisan,IND,2013,"https://en.wikipedia.org/wiki/Saint_Helena_general_election,_2013",http://www.sainthelena.gov.sh/wp-content/uploads/2013/02/DSC_0627.jpg,Councillor.George@helanta.co.sh
Leslie Paul Baldwin,Non-Partisan,IND,2013,"https://en.wikipedia.org/wiki/Saint_Helena_general_election,_2013",,
Brian William Isaac,Non-Partisan,IND,2013,"https://en.wikipedia.org/wiki/Saint_Helena_general_election,_2013",http://www.sainthelena.gov.sh/wp-content/uploads/2013/02/brian.jpg,brian.isaac@helanta.co.sh
Derek Franklin Thomas,Non-Partisan,IND,2013,"https://en.wikipedia.org/wiki/Saint_Helena_general_election,_2013",,
Anthony Arthur Green,Non-Partisan,IND,2013,"https://en.wikipedia.org/wiki/Saint_Helena_general_election,_2013",,
Wilson Charles Duncan,Non-Partisan,IND,2013,"https://en.wikipedia.org/wiki/Saint_Helena_general_election,_2013",http://www.sainthelena.gov.sh/wp-content/uploads/2013/02/tony.jpg,duncan.wilson@helanta.co.sh
Gavin George Ellick,Non-Partisan,IND,2013,"https://en.wikipedia.org/wiki/Saint_Helena_general_election,_2013",http://www.sainthelena.gov.sh/wp-content/uploads/2013/02/eddie.jpg,Email:Councillor.Ellick@helanta.co.sh
Bernice Alicia Olsson,Non-Partisan,IND,2013,"https://en.wikipedia.org/wiki/Saint_Helena_general_election,_2013",,
