id,name,area,group,executive,email,term,source,group_id,area_id
Kenneth_Bascome,Kenneth Bascome,St. George's North,OBA,"",kbascome@parliament.bm,2012,http://www.parliament.bm/Kenneth_Bascome.aspx,OBA,01
Nandi_Davis,Nandi Outerbridge,St. George's West,OBA,"",nouterbridge@parliament.bm,2012,http://www.parliament.bm/Nandi_Davis.aspx,OBA,02
Lavita_Foggo,Lovitta Foggo,St. David's,PLP,Shadow Minister of Education & Party Whip,lfoggo@parliament.bm,2012,http://www.parliament.bm/Lavita_Foggo.aspx,PLP,03
Suzann_Roberts-Holshouser,Suzann Roberts-Holshouser,St. George's South,OBA,Deputy Speaker,sholshouser@parliament.bm,2012,http://www.parliament.bm/Suzann_Roberts-Holshouser.aspx,OBA,04
Derrick_Burgess,Derrick Burgess,Hamilton East,PLP,Shadow Minister of Labour & Seniors,dburgess@parliament.bm,2012,http://www.parliament.bm/Derrick_Burgess.aspx,PLP,05
Wayne_Furbert,Wayne Furbert,Hamilton West,PLP,Shadow Minister of Economic Development,wfurbert@parliament.bm,2012,http://www.parliament.bm/Wayne_Furbert.aspx,PLP,06
Sylvan_Richards_,Sylvan Richards Jr.,Hamilton South,OBA,Junior Minister of Home Affairs,srichards@parliament.bm,2012,http://www.parliament.bm/Sylvan_Richards_.aspx,OBA,07
Cole_Simons,N. Cole Simons,Smiths South,OBA,Government Whip,nsimons@parliament.bm,2012,http://www.parliament.bm/Cole_Simons.aspx,OBA,08
Trevor_Moniz,Trevor Moniz,Smiths West,OBA,Attorney General & Minister of Legal Affairs,tmoniz@parliament.bm,2012,http://www.parliament.bm/Trevor_Moniz.aspx,OBA,09
Mr._Michael_Dunkle,Michael Dunkley,Smiths North,OBA,Premier & Minister of National Security,mdunkley@parliament.bm,2012,http://www.parliament.bm/Mr._Michael_Dunkle.aspx,OBA,10
Bob_Richards,E. T. Bob Richards,Devonshire East,OBA,Deputy Premier & Minister of Finance,brichards@parliament.bm,2012,http://www.parliament.bm/Bob_Richards.aspx,OBA,11
Craig_Cannonier,Craig Cannonier,Devonshire South Central,OBA,Minister of Public Works,ccannionier@gov.bm,2012,http://www.parliament.bm/Craig_Cannonier.aspx,OBA,12
Glen_Blakeney_Bio,Glenn Blakeney,Devonshire North Central,PLP,Shadow Minister of Environment,gblakeney@parliament.bm,2012,http://www.parliament.bm/Glen_Blakeney_Bio.aspx,PLP,13
Glen_Smith,Glen Smith,Devonshire North West,OBA,"",gsmith@parliament.bm,2012,http://www.parliament.bm/Glen_Smith.aspx,OBA,14
Walter_Roban,Walter Roban,Pembroke East,PLP,Shadow Minister of Public Safety,wroban@parliament.bm,2012,http://www.parliament.bm/Walter_Roban.aspx,PLP,15
Michael_Weeks,Michael Weeks,Pembroke East Central,PLP,Shadow Minster of Community,mweeks@parliament.bm,2012,http://www.parliament.bm/Michael_Weeks.aspx,PLP,16
Walton_Brown,Walton Brown,Pembroke Central,PLP,Shadow Minister of Immigration,wbrown@parliament.bm,2012,http://www.parliament.bm/Walton_Brown.aspx,PLP,17
E._David_Burt,David Burt,Pembroke West Central,PLP,Shadow Minister of Finance,dburt@parliament.bm,2012,http://www.parliament.bm/E._David_Burt.aspx,PLP,18
Jeanne_Atherden,Jeanne Atherden,Pembroke West,OBA,Minister of Health & Environment,jatherden@parliament.bm,2012,http://www.parliament.bm/Jeanne_Atherden.aspx,OBA,19
Susan_Jackson,Susan Jackson,Pembroke South West,OBA,"",sjackson@parliament.bm,2012,http://www.parliament.bm/Susan_Jackson.aspx,OBA,20
