id,name,wikipedia__en,group,group_id,term,source,area,area_id,image,name__en,gender,given_name,birth_date,family_name,identifier__freebase
emma-hippolyte,Emma Hippolyte,Emma Hippolyte,SLP,Saint Lucia Labour Party,9,,Gros Islet,ocd-division/country:lc/constituency:gros-islet,http://www.govt.lc/media.govt.lc/www/employees/photos/EmmaHippolyte.jpg,Emma Hippolyte,female,Emma,,,
alvina-reynolds,Alvina Reynolds,Alvina Reynolds,SLP,Saint Lucia Labour Party,9,,Babonneau,ocd-division/country:lc/constituency:babonneau,http://www.govt.lc/media.govt.lc/www/employees/photos/AlvinaReynolds.jpg,Alvina Reynolds,female,Alvina,,,
stephenson-king,Stephenson King,Stephenson King,UWP,United Workers Party,9,,Castries North,ocd-division/country:lc/constituency:castries-north,http://www.govt.lc/media.govt.lc/www/employees/photos/stephensonking.jpg,Stephenson King,male,,1958-11-13,,/m/02726sb
philip-pierre,Philip Pierre,Philip Pierre,SLP,Saint Lucia Labour Party,9,,Castries East,ocd-division/country:lc/constituency:castries-east,http://www.govt.lc/media.govt.lc/www/employees/photos/PhillipJPierre.jpg,Philip Pierre,male,Philip,,,
richard-frederick,Richard Frederick,Richard Frederick,UWP,United Workers Party,9,,Castries Central,ocd-division/country:lc/constituency:castries-central,http://www.govt.lc/media.govt.lc/www/employees/photos/richardfrederick.jpg,Richard Frederick,male,Richard,1965-08-06,,
robert-kennedy-lewis,Robert Kennedy Lewis,Robert Kennedy Lewis,SLP,Saint Lucia Labour Party,9,,Castries South,ocd-division/country:lc/constituency:castries-south,http://www.govt.lc/media.govt.lc/www/employees/photos/RobertLewis.jpg,Robert Kennedy Lewis,male,Robert,,,
guy-joseph,Guy Joseph,Guy Joseph,UWP,United Workers Party,9,,Castries South East,ocd-division/country:lc/constituency:castries-south-east,http://www.govt.lc/media.govt.lc/www/employees/photos/guyjoseph.jpg,Guy Joseph,male,Guy,1957-01-01,,
desmond-long,Desmond Long,"",SLP,Saint Lucia Labour Party,9,,Anse la Raye and Canaries,ocd-division/country:lc/constituency:anse-la-raye-and-canaries,http://www.govt.lc/media.govt.lc/www/employees/photos/desmondlong.jpg,,,,,,
harold-dalson,Harold Dalson,Harold Dalson,SLP,Saint Lucia Labour Party,9,,Soufriere,ocd-division/country:lc/constituency:soufriere,http://www.govt.lc/media.govt.lc/www/employees/photos/HaroldDalson.jpg,Harold Dalson,male,Harold,,,
lorne-theophilus,Lorne Theophilus,"",SLP,Saint Lucia Labour Party,9,,Choiseul,ocd-division/country:lc/constituency:choiseul,http://www.govt.lc/media.govt.lc/www/employees/photos/LorneTheophilus.jpg,,,,,,
alva-baptiste,Alva Baptiste,Alva Baptiste,SLP,Saint Lucia Labour Party,9,,Laborie,ocd-division/country:lc/constituency:laborie,http://www.govt.lc/media.govt.lc/www/employees/photos/AlvaJnBaptiste.jpg,Alva Baptiste,male,Alva,,,
moses-jean-baptiste,Moses Jean Baptiste,Moses Jean Baptiste,SLP,Saint Lucia Labour Party,9,,Vieux Fort North,ocd-division/country:lc/constituency:vieux-fort-north,http://www.govt.lc/media.govt.lc/www/employees/photos/MosesJnBaptiste.jpg,Moses Jean Baptiste,male,Moses,,,
kenny-anthony,Kenny Anthony,Kenny Anthony,SLP,Saint Lucia Labour Party,9,,Vieux Fort South,ocd-division/country:lc/constituency:vieux-fort-south,http://www.govt.lc/media.govt.lc/www/employees/photos/Prime-Minister-Dr.-Kenny-Anthony.jpg,Kenny Anthony,male,Kenny,1951-01-08,,/m/021xts
arsene-james,Arsene James,Arsene James,UWP,United Workers Party,9,,Micoud South,ocd-division/country:lc/constituency:micoud-south,http://www.govt.lc/media.govt.lc/www/employees/photos/arsenejames.jpg,Arsene James,male,,1944-10-30,James,
gale-rigobert,Gale Rigobert,Gale Rigobert,UWP,United Workers Party,9,,Micoud North,ocd-division/country:lc/constituency:micoud-north,http://www.govt.lc/media.govt.lc/www/employees/photos/galerigobert.jpg,Gale Rigobert,female,,,,
edmund-estephane,Edmund Estephane,Edmund Estephane,UWP,United Workers Party,9,,Dennery South,ocd-division/country:lc/constituency:dennery-south,http://www.govt.lc/media.govt.lc/www/employees/photos/edmundestephane.jpg,Edmund Estephane,male,Edmund,1968-01-01,,
shawn-edwards,Shawn Edwards,"",SLP,Saint Lucia Labour Party,9,,Dennery North,ocd-division/country:lc/constituency:dennery-north,http://www.govt.lc/media.govt.lc/www/employees/photos/ShawnEdward0.jpg,,,,,,
