id,name__es,name,wikipedia__es,name__en,wikipedia__en,gender,given_name,birth_date
Q16728826,,Emilia Molina Cruz,"",Emilia Molina Cruz,Emilia Molina Cruz,female,Emilia,
Q5384033,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell Barr,female,,1963-07-04
Q16729085,,Franklin Corella Vargas,"",Franklin Corella Vargas,Franklin Corella Vargas,male,Franklin,
Q16730301,Henry Mora Jiménez,Henry Mora Jiménez,Henry Mora Jiménez,Henry Mora Jiménez,Henry Mora Jiménez,male,Henry,
Q16730214,,Javier Francisco Cambronero Arguedas,"",Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,male,Javier,
Q16731282,,Laura María Garro Sánchez,"",Laura María Garro Sánchez,Laura María Garro Sánchez,female,Laura,
Q16731968,,Marcela Guerrero Campos,"",Marcela Guerrero Campos,Marcela Guerrero Campos,female,Marcela,
Q16731974,,Marco Vinicio Redondo Quirós,"",Marco Vinicio Redondo Quirós,Marco Vinicio Redondo Quirós,male,Marco,
Q16732014,,Marlene Madrigal Flores,"",Marlene Madrigal Flores,Marlene Madrigal Flores,female,Marlene,
Q16733363,,Nidia María Jiménez Vásquez,"",Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,female,,
Q17086999,,Ruperto Marvin Atencio Delgado,"",Ruperto Marvin Atencio Delgado,Ruperto Marvin Atencio Delgado,male,,
Q17104166,Víctor Hugo Morales Zapata,Víctor Hugo Morales Zapata,"",Víctor Hugo Morales Zapata,Víctor Hugo Morales Zapata,male,Victor,
