id,name,position,party,term,source,email,image
31,Brega Gheorghe,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/31/language/en-US/Default.aspx,Gheorghe.Brega@parlament.md,
542,Chirinciuc Iurie,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/542/language/en-US/Default.aspx,,
306,Dimitriu Anatolie,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/306/language/en-US/Default.aspx,Anatolie.Dimitriu@parlament.md,
21,Fusu Corina,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/21/language/en-US/Default.aspx,Corina.Fusu@parlament.md,
597,Molozea Nicolae,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/597/language/en-US/Default.aspx,,
87,Munteanu Valeriu,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/87/language/en-US/Default.aspx,valeriu.munteanu@parlament.md,
317,Plahotniuc Vladimir,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/317/language/en-US/Default.aspx,,
531,Şalaru Anatolie,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/531/language/en-US/Default.aspx,,
89,Streleţ Valeriu,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/89/language/en-US/Default.aspx,Alina.Druta@parlament.md,
294,Agache Angel,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/294/language/en-US/Default.aspx,Angel.Agache@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=W3fwGNmQZQY%3d&tabid=87&mid=476&language=en-US
598,Andronachi Vladimir,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/598/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=aWu5jPgKe%2fc%3d&tabid=87&mid=476&language=en-US
297,Apolschii Raisa,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/297/language/en-US/Default.aspx,Cristina.Ciolac@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=MbZBprSfdGE%3d&tabid=87&mid=476&language=en-US
37,Apostol Ion,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/37/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=gux%2f74ngwgo%3d&tabid=87&mid=476&language=en-US
655,Bacalu Elena,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/655/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=aWu5jPgKe%2fc%3d&tabid=87&mid=476&language=en-US
38,Balan Ion,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/38/language/en-US/Default.aspx,Ion.Balan@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=AyTcXDc%2bPR8%3d&tabid=87&mid=476&language=en-US
27,Balmoş Galina,"",Fracțiunea Partidului Comuniștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/27/language/en-US/Default.aspx,Galina.Balmos@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=Pq8Gg3bgbhI%3d&tabid=87&mid=476&language=en-US
298,Bannicov Alexandr,"",Fracțiunea Partidului Comuniștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/298/language/en-US/Default.aspx,Alexandr.Bannicov@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=u%2fg3wD9WwmI%3d&tabid=87&mid=476&language=en-US
535,Batrîncea Vlad,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/535/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=7vyrW7aZXnM%3d&tabid=87&mid=476&language=en-US
651,Boțan Roman,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/651/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=wST7SaEt4dI%3d&tabid=87&mid=476&language=en-US
25,Bodnarenco Elena,"",Fracțiunea Partidului Comuniștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/25/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=HA6Ey%2bLqMZE%3d&tabid=87&mid=476&language=en-US
537,Bolea Vasile,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/537/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=9dUNU6fkzNM%3d&tabid=87&mid=476&language=en-US
