party,name,wikipedia,wikipedia_title,constituency,votes,term,source,wikidata,family_name,given_name,image,gender,birth_date
DP,Keu Mataroa,"","",Akaoa,179,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",,,,,,
DP,Terepai Maoate Jnr,https://en.wikipedia.org/wiki/Terepai_Maoate_Jnr,Terepai Maoate Jnr,Amuri-Ureia,214,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3391036,,,,male,1961-12-05
CIP,Teina Bishop,https://en.wikipedia.org/wiki/Teina_Bishop,Teina Bishop,Arutanga-Reureu-Nikaupara,179,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3391383,,,,male,1959-04-11
CIP,Albert (Peto) Nicholas,https://en.wikipedia.org/wiki/Albert_(Peto)_Nicholas,Albert (Peto) Nicholas,Avatiu-Ruatonga-Palmerston,295,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q2831468,,Albert,,male,1951-05-09
DP,Jim Marurai,https://en.wikipedia.org/wiki/Jim_Marurai,Jim Marurai,Ivirua,82,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q381810,,Jim,,male,1947-07-09
DP,Apii Piho,https://en.wikipedia.org/wiki/Apii_Piho,Apii Piho,Manihiki,115,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3391394,,,,male,1960-08-25
DP,Cassey Eggelton,https://en.wikipedia.org/wiki/Cassey_Eggelton,Cassey Eggelton,Matavera,279,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q2362855,,,,female,1952-02-26
DP,Mapu Taia,https://en.wikipedia.org/wiki/Mapu_Taia,Mapu Taia,Mauke,115,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3287254,,,,male,1939-04-28
DP,Tangata Vavia,https://en.wikipedia.org/wiki/Tangata_Vavia,Tangata Vavia,Mitiaro,65,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3391011,,,,male,1949-09-08
CIP,Tom Marsters,https://en.wikipedia.org/wiki/Tom_Marsters,Tom Marsters,Murienua,185,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3391025,,Tom,,male,1945-08-04
DP,Terepai Maoate,https://en.wikipedia.org/wiki/Terepai_Maoate,Terepai Maoate,Ngatangiia,295,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q2989309,,,,male,1934-09-01
DP,Ngamau Munokoa,https://en.wikipedia.org/wiki/Ngamau_Munokoa,Ngamau Munokoa,Nikao-Panama,398,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3339268,,,,female,1944-08-13
DP,Winton Pickering,https://en.wikipedia.org/wiki/Winton_Pickering,Winton Pickering,Oneroa,152,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3390985,,,,male,1962-12-08
DP,Wilkie Rasmussen,https://en.wikipedia.org/wiki/Wilkie_Rasmussen,Wilkie Rasmussen,Penrhyn,0,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3391007,,,,male,1958-03-21
CIP,Vai Peua,https://en.wikipedia.org/wiki/Vai_Peua,Vai Peua,Pukapuka-Nassau,155,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3391992,,,,male,1950-12-10
Independent,Piho Rua,https://en.wikipedia.org/wiki/Piho_Rua,Piho Rua,Rakahanga,42,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3388338,,,,male,1954-11-15
DP,William (Smiley) Heather,https://en.wikipedia.org/wiki/William_(Smiley)_Heather,William (Smiley) Heather,Rua'au,364,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3391029,,William,,male,1958-07-07
DP,Ngai Tupa,https://en.wikipedia.org/wiki/Ngai_Tupa,Ngai Tupa,Takuvaine-Tutakimoa,325,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3284786,,,,female,1936-04-24
CIP,Mii Parima,https://en.wikipedia.org/wiki/Mii_Parima,Mii Parima,Tamarua,38,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q1647074,,,,male,1954-01-16
CIP,Norman George,https://en.wikipedia.org/wiki/Norman_George,Norman George,Teenui-Mapumai,85,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3343780,,Norman,,male,1946-07-02
CIP,Nandi Glassie,https://en.wikipedia.org/wiki/Nandi_Glassie,Nandi Glassie,Tengatangi-Areora-Ngatiarua,104,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3335628,,Nandi,,male,1951-05-21
DP,Robert Wigmore,https://en.wikipedia.org/wiki/Robert_Wigmore,Robert Wigmore,Titikaveka,325,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3324531,,Robert,,male,1949-09-08
DP,John Tangi,https://en.wikipedia.org/wiki/John_Tangi,John Tangi,Tupapa-Maraerenga,461,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3182561,,John,,male,1950-11-13
DP,Kete Ioane,https://en.wikipedia.org/wiki/Kete_Ioane,Kete Ioane,Vaipae-Tautu,212,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006",Q3195600,,,,male,1950-10-30
