party,name,wikipedia,wikipedia_title,constituency,votes,wikidata,family_name,given_name,image,gender,birth_date
CIP,Teariki Heather,https://en.wikipedia.org/wiki/Teariki_Heather,Teariki Heather,Akaoa,201,Q3391017,,,,male,1959-07-30
CIP,Toanui Isamaela,https://en.wikipedia.org/wiki/Toanui_Isamaela,Toanui Isamaela,Amuri-Ureia,203,Q7811397,,,,male,
OCI,Teina Bishop,https://en.wikipedia.org/wiki/Teina_Bishop,Teina Bishop,Arutanga-Reureu-Nikaupara,204,Q3391383,,,,male,1959-04-11
DP,Albert Taaviri Kaitara Nicholas,"","",Avatiu-Ruatonga-Palmerston,292,,,,,,
DP,Jim Marurai,https://en.wikipedia.org/wiki/Jim_Marurai,Jim Marurai,Ivirua,0,Q381810,,Jim,,male,1947-07-09
CIP,Henry Puna,https://en.wikipedia.org/wiki/Henry_Puna,Henry Puna,Manihiki,78,Q2569345,,Henry,https://upload.wikimedia.org/wikipedia/commons/7/7a/HenryPuna.jpg,male,1949-07-29
CIP,Kiriau Turepu,https://en.wikipedia.org/wiki/Kiriau_Turepu,Kiriau Turepu,Matavera,288,Q6415093,,,,male,
CIP,Tai Tura,https://en.wikipedia.org/wiki/Tai_Tura,Tai Tura,Mauke,82,Q7675846,,,,male,1949-01-01
DP,Tangata Vavia,https://en.wikipedia.org/wiki/Tangata_Vavia,Tangata Vavia,Mitiaro,50,Q3391011,,,,male,1949-09-08
DP,James Beer,"","",Murienua,225,,,,,,
DP,Tamaiva Tuavera,"","",Ngatangiia,257,,,,,,
DP,Ngamau Munokoa,https://en.wikipedia.org/wiki/Ngamau_Munokoa,Ngamau Munokoa,Nikao-Panama,417,Q3339268,,,,female,1944-08-13
DP,Kareroa Wesley,"","",Oneroa,117,,,,,,
CIP,Willie John,"","",Penrhyn,78,,,,,,
CIP,Tekii Lazaro,https://en.wikipedia.org/wiki/Tekii_Lazaro,Tekii Lazaro,Pukapuka-Nassau,128,Q7695346,,,,male,
CIP,Toka Hagai,"","",Rakahanga,39,,,,,,
DP,William William Heather,"","",Ruaau,386,,,,,,
CIP,Mark Brown,https://en.wikipedia.org/wiki/Mark_Brown_(Cook_Islands),Mark Brown (Cook Islands),Takuvaine-Tutakimoa,313,Q6766871,Brown,Mark,,male,
CIP,Tokorua Pareina,"","",Tamarua,28,,,,,,
CIP,Vainetutai Rose Toki-Brown,"","",Teenui-Mapumai,71,,,,,,
CIP,Nandi Glassie,https://en.wikipedia.org/wiki/Nandi_Glassie,Nandi Glassie,Tengatangi-Areora-Ngatiarua,88,Q3335628,,Nandi,,male,1951-05-21
DP,Selina Napa,"","",Titikaveka,337,,,,,,
OCI,George Angene,https://en.wikipedia.org/wiki/George_Angene,George Angene,Tupapa-Maraerenga,498,Q5536264,,George,,male,
CIP,Moana Ioane,https://en.wikipedia.org/wiki/Moana_Ioane,Moana Ioane,Vaipae-Tautu,178,Q6886399,,Moana,,male,1961-06-20
