name,wikiname,group,area,term,id,name__en,wikipedia__en,image,gender,identifier__viaf,birth_date,identifier__freebase,family_name,given_name
Ian Liburd,"",People's Action Movement,St Christopher #1,2015,,,,,,,,,,
Marcella Liburd,"",Saint Kitts and Nevis Labour Party,St Christopher #2,2015,,,,,,,,,,
Konris Maynard,Konris Maynard,Saint Kitts and Nevis Labour Party,St Christopher #3,2015,Q6429812,Konris Maynard,Konris Maynard,,male,,1983-07-08,,,
Lindsay Grant,Lindsay Grant,People's Action Movement,St Christopher #4,2015,Q10318591,Lindsay Grant,Lindsay Grant,,male,,,,,Lindsay
Shawn Richards,Shawn Richards,People's Action Movement,St Christopher #5,2015,Q16214148,Shawn Richards,Shawn Richards,,male,,1972-12-08,,,Shawn
Denzil Douglas,Denzil Douglas,Saint Kitts and Nevis Labour Party,St Christopher #6,2015,Q57738,Denzil Douglas,Denzil Douglas,https://upload.wikimedia.org/wikipedia/commons/d/d1/Denzil_L_Douglas.jpg,male,65994497,1953-01-14,/m/0230p_,Douglas,Denzil
Timothy Harris,Timothy Harris,People's Labour Party,St Christopher #7,2015,Q3529064,Timothy Harris,Timothy Harris,https://upload.wikimedia.org/wikipedia/commons/8/85/TimothyHarris.jpg,male,,1964-01-14,,,Timothy
Eugene Hamilton,Eugene Hamilton (politician),People's Action Movement,St Christopher #8,2015,Q19880156,Eugene Hamilton,Eugene Hamilton (politician),,male,,,,,Eugene
Mark Brantley,"",Concerned Citizens' Movement,Nevis #9,2015,,,,,,,,,,
Vance Amory,Vance Amory,Concerned Citizens' Movement,Nevis #10,2015,Q7914010,Vance Amory,Vance Amory,,male,,1949-05-22,,,
Patrice Nisbett,Patrice Nisbett,Nevis Reformation Party,Nevis #11,2015,Q16733420,Patrice Nisbett,Patrice Nisbett,,male,,,,,Patrice
