name,wikipedia__en,area,group,area_id,term,source,id,name__en,gender,given_name,birth_date,death_date,identifier__freebase,family_name,image,identifier__viaf,name__de,name__it,name__fr,name__nl,name__es,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__fr,name__el,wikipedia__el,name__pl,wikipedia__commons,wikipedia__pl,name__af,name__an,name__br,name__bs,name__ca,name__ceb,name__cs,name__cy,name__eo,name__et,name__eu,name__fi,name__ga,name__gl,name__hr,name__hu,name__is,name__la,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__pt,name__ro,name__sk,name__sl,name__sq,name__tr,name__vec,name__wa,wikipedia__da
Andrew FAHIE,"",District 1,VIP,1,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",andrew_fahie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin CHRISTOPHER,Alvin Christopher,District 2,NDP,2,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",alvin_christopher,Alvin Christopher,male,Alvin,,,,,,,Alvin Christopher,Alvin Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian FRASER,Julian Fraser,District 3,VIP,3,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",julian_fraser,Julian Fraser,male,Julian,1950-07-05,,,,,,Julian Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark VANTERPOOL,"",District 4,VIP,4,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",mark_vanterpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delores CHRISTOPHER,"",District 5,NDP,5,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",delores_christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar HODGE,Omar Hodge,District 6,VIP,6,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",omar_hodge,Omar Hodge,male,Omar,,,,,,,Omar Hodge,Omar Hodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kedrick PICKERING,"",District 7,NDP,7,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",kedrick_pickering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lloyd BLACK,"",District 8,NDP,8,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",lloyd_black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph T. O'NEAL,Ralph T. O'Neal,District 9,VIP,9,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",ralph_t._o'neal,Ralph T. O'Neal,male,Ralph,1933-12-15,,/m/0d1kxc,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ralph_T._O'Neal_(cropped).jpg,,Ralph T. O’Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O’Neal,,Ραλφ Ο'Νιλ,Ραλφ Ο'Νιλ,Ralph T. O'Neal,,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal
Andrew FAHIE,"",District 1,VIP,1,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",andrew_fahie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin CHRISTOPHER,Alvin Christopher,District 2,VIP,2,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",alvin_christopher,Alvin Christopher,male,Alvin,,,,,,,Alvin Christopher,Alvin Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian FRASER,Julian Fraser,District 3,VIP,3,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",julian_fraser,Julian Fraser,male,Julian,1950-07-05,,,,,,Julian Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark VANTERPOOL,"",District 4,NDP,4,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",mark_vanterpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethlyn SMITH,"",District 5,CCM,5,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",ethlyn_smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar HODGE,Omar Hodge,District 6,VIP,6,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",omar_hodge,Omar Hodge,male,Omar,,,,,,,Omar Hodge,Omar Hodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kedrick PICKERING,"",District 7,NDP,7,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",kedrick_pickering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lloyd BLACK,"",District 8,NDP,8,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",lloyd_black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph T. O'NEAL,Ralph T. O'Neal,District 9,VIP,9,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",ralph_t._o'neal,Ralph T. O'Neal,male,Ralph,1933-12-15,,/m/0d1kxc,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ralph_T._O'Neal_(cropped).jpg,,Ralph T. O’Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O’Neal,,Ραλφ Ο'Νιλ,Ραλφ Ο'Νιλ,Ralph T. O'Neal,,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal
H. Lavity STOUTT,Hamilton Lavity Stoutt,District 1,VIP,1,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",hamilton_lavity_stoutt,Hamilton Lavity Stoutt,male,Hamilton,1929-03-07,1995-05-14,/m/0d1kt6,,,,Lavity Stoutt,,Lavity Stoutt,Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Lavity Stoutt,Lavity Stoutt,Λαβίτι Στάουτ,Λαβίτι Στάουτ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin CHRISTOPHER,Alvin Christopher,District 2,IND,2,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",alvin_christopher,Alvin Christopher,male,Alvin,,,,,,,Alvin Christopher,Alvin Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver CILLS,Oliver Cills,District 3,VIP,3,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",oliver_cills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walwyn BREWLEY,Walwyn Brewley,District 4,CCM,4,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",walwyn_brewley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethlyn Eugenie SMITH,"",District 5,IND,5,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",ethlyn_eugenie_smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
