uuid,email
e5ea02d1-a007-4e1c-ab7a-0073cbcc259b,alan.tudge.mp@aph.gov.au
8a990ff1-0ab5-47f8-9e7f-3de7f68a70aa,andrew.broad.mp@aph.gov.au
e05b0c6a-a974-4daf-a352-63eb109d1e15,andrew.giles.mp@aph.gov.au
938f5a5f-4165-43b1-91e1-78064303ac6c,andrew.hastie.mp@aph.gov.au
d0b6d3e5-3cb9-46ee-a205-74bcd2a8b30a,andrew.nikolic.mp@aph.gov.au
3ff42d8e-38ab-4ac0-bb07-f7205470544a,barnaby.joyce.mp@aph.gov.au
ef4600b0-ae4f-4492-9967-6577b2154d64,bill.shorten.mp@aph.gov.au
1b22cf38-52c8-43a5-9ed6-9ec22e6a1c55,clive.palmer.mp@aph.gov.au
109866cb-4d9a-40a4-a0e2-2773e7fec734,fiona.scott.mp@aph.gov.au
45cb835e-be93-4392-8bfa-48181fdc53e5,george.christensen.mp@aph.gov.au
e237cde9-1c83-4d16-a45e-0cd997ad74b8,ian.goodenough.mp@aph.gov.au
0e98dbb1-a903-4eab-9c81-9848678de709,jason.clare.mp@aph.gov.au
7e53891e-7f89-462c-8502-ca2efc51335e,karen.mcnamara.mp@aph.gov.au
b1ed9687-8d72-4106-80d5-1e5f7ba4b241,ken.o'dowd.mp@aph.gov.au
0c9c1be5-0637-479e-9876-58988f60ba32,ken.wyatt.mp@aph.gov.au
b60d9dc8-1e12-4439-b2c0-b2c70271b1be,kevin.rudd.mp@aph.gov.au
4e538c33-be46-4204-b3e0-25228c36813b,lucy.wicks.mp@aph.gov.au
5eff697c-6f13-4f52-838d-d1ebb8aa30a8,luke.simpkins.mp@aph.gov.au
5a5ab335-91bf-46ae-8972-07684b2d7065,malcolm.turnbull.mp@aph.gov.au
3c893953-8a1a-4d7b-908b-e4c154cd3cf0,melissa.price.mp@aph.gov.au
764ba518-ae56-49c1-9dea-fbe45772df5a,michael.keenan.mp@aph.gov.au
e9ea34a2-8dc3-41a3-a383-dc81030d6ec1,michael.mccormack.mp@aph.gov.au
e14863cc-0dcb-4279-afe3-b1e774f0ee61,michael.sukkar.mp@aph.gov.au
525bfac6-cfa3-474d-8ff2-dfa622a66c1a,michelle.landry.mp@aph.gov.au
e7777575-089c-436a-a692-40c07d1d4440,natasha.griggs.mp@aph.gov.au
d353d0ee-9a28-458a-bf4e-ae51edf17c82,peter.hendy.mp@aph.gov.au
f1c9d1e7-2b35-4880-af34-5ef0efbd32c9,philip.ruddock.mp@aph.gov.au
fefc7134-a79e-4dbd-8ad6-a4b0204ef82e,ross.vasta.mp@aph.gov.au
7a03594a-f0e8-4041-8670-ac0ba21f2eef,sarah.henderson.mp@aph.gov.au
8e8d4744-6ff2-4f8b-bb4e-f8500f7c5caa,scott.buchholz.mp@aph.gov.au
a99beff7-e023-4d3c-908f-a0dfd5126b6a,scott.morrison.mp@aph.gov.au
cc4b24f0-609e-4c82-9dc0-ae36450f4819,sharman.stone.mp@aph.gov.au
e8033afd-930f-48b2-89a5-b686d32eeaea,sharon.claydon.mp@aph.gov.au
cf5d02d3-f62e-406f-a2b0-2514c9d509b0,steve.irons.mp@aph.gov.au
2aeae774-1e8c-48a2-a736-35d0caf08594,steven.ciobo.mp@aph.gov.au
24b7573d-9e6c-4775-8f23-15b31a2351c2,tim.watts.mp@aph.gov.au
93e2e4cc-f5ce-4bea-be68-2fc86c38a9bc,tony.abbott.mp@aph.gov.au
9bca797f-574f-4397-b693-65ce8213da0f,tony.pasin.mp@aph.gov.au
8cb15deb-5f8e-48d7-aa39-833b10df0109,warren.entsch.mp@aph.gov.au
9ee397bd-f7a6-4e50-b7be-653d1493aeee,warren.truss.mp@aph.gov.au
36bf7714-2320-4cfd-a8df-8d7080ae9c64,wayne.swan.mp@aph.gov.au
