id,name__en,name,wikipedia__en,gender,birth_date,given_name,twitter,image,identifier__VIAF,death_date
Q4864199,Barry Elsby,Barry Elsby,Barry Elsby,male,1962-01-01,Barry,,,,
Q4909978,Bill Luxton,Bill Luxton,Bill Luxton,male,1940-01-01,Bill,,,,
Q5372789,Emma Edwards,Emma Edwards,Emma Edwards,female,1971-01-01,Emma,,,,
Q5528273,Gavin Short,Gavin Short,Gavin Short,male,1962-01-01,Gavin,gav424,,,
Q5569080,Glenn Ross,Glenn Ross,Glenn Ross (politician),male,1964-01-01,Glenn,,,,
Q5981738,Ian Hansen,Ian Hansen,Ian Hansen,male,1958-01-01,Ian,,,,
Q6148688,Jan Cheek,Jan Cheek,Jan Cheek,female,1948-01-01,Jan,,,,
Q6153575,Janet Robertson,Janet Robertson,Janet Robertson,female,1965-01-01,Janet,,,,
Q6221980,John Birmingham,John Birmingham,John Birmingham (politician),male,1953-01-01,John,,,,
Q15729594,Michael Poole,Michael Poole,Michael Poole (politician),male,1984-10-04,Michael,,,,
Q15729606,Mike Summers,Mike Summers,Mike Summers,male,1952-01-01,Mike,,https://upload.wikimedia.org/wikipedia/commons/8/80/Mike-Summers.jpg,,
Q7324814,Richard Cockwell,Richard Cockwell,Richard Cockwell,male,1939-01-01,Richard,,,220504676,
Q7329250,Richard Stevens,Richard Stevens,Richard Stevens (Falkland Islands politician),male,1955-01-01,Richard,,,,
Q7490080,Sharon Halford,Sharon Halford,Sharon Halford,female,1953-11-27,Sharon,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Sharon_Halford.jpg,,
Q7704907,Terry Peck,Terry Peck,Terry Peck,male,1938-08-02,Terry,,,,2006-12-30
Q4755019,Andrea Clausen,Andrea Clausen,Andrea Clausen (politician),female,1971-01-01,Andrea,,,,
Q5273340,Dick Sawle,Dick Sawle,Dick Sawle,male,1954-01-01,Dick,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Dick_Sawle.jpg,,
Q6848546,Mike Rendell,Mike Rendell,Mike Rendell,male,1944-01-01,Mike,,,,
Q15730161,Phyl Rendell,Phyl Rendell,Phyl Rendell,female,,,,,,
Q15729963,Roger Edwards,Roger Edwards,Roger Edwards (Falkland Islands politician),male,1946-01-01,Roger,,"https://upload.wikimedia.org/wikipedia/commons/0/07/Roger_Edwards,_Foreign_and_Commonwealth_Office.jpg",,
