id,name__en,name,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,honorific_prefix,birth_date,identifier__freebase,family_name,given_name,identifier__ISNI,identifier__NLA,website,identifier__NNDB,death_date,identifier__Muzinger,twitter,identifier__BNF,identifier__NLI,identifier__NTA,instagram,facebook,identifier__ATP,identifier__ITF,wikipedia__en,identifier__Munzinger,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__pl,name__fr,name__ru,name__es,name__fi,name__it,name__la,name__de,name__ja,name__cs,name__fa,name__hr,name__nl,name__zh,name__sv,name__uk,name__mr,name__de_ch,name__el,name__en_ca,name__en_gb,name__he,name__id,name__ko,name__nb,name__pt_br,name__sh,name__ta,name__vi,name__hu,name__ms,name__be_tarask,name__da,name__fo,name__is,name__kl,name__nn,name__tl,name__sco,name__af,name__et,name__tr,name__ne,name__be,name__ur,name__bn,name__ro,name__sr,name__min,name__mn,name__hi,name__lt,name__bg,name__ar,name__io,name__th,name__ca,name__hy,name__mk,name__lv,name__mg,name__yi,name__ka,name__ckb,name__eo,wikipedia__af,wikipedia__ar,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ca,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__mg,wikipedia__min,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__th,wikipedia__thwikiquote,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__ur,wikipedia__vi,wikipedia__yi,wikipedia__zh,name__sq,wikipedia__sq,name__si,wikipedia__si,name__nds,name__eu,name__qu,name__uz,name__vo,name__oc,name__ga,name__bi,name__hak,name__rm,name__nan,name__arz,name__ug,name__yo,name__ml,name__yue,name__ht,name__wuu,name__ku,name__sk,name__cy,name__war,name__tpi,name__ceb,name__br,name__kn,wikipedia__arz,wikipedia__bi,wikipedia__br,wikipedia__ceb,wikipedia__cswikiquote,wikipedia__cy,wikipedia__enwikisource,wikipedia__eu,wikipedia__ga,wikipedia__hak,wikipedia__ht,wikipedia__kn,wikipedia__ku,wikipedia__ml,wikipedia__oc,wikipedia__qu,wikipedia__rm,wikipedia__sk,wikipedia__tpi,wikipedia__ug,wikipedia__uz,wikipedia__vo,wikipedia__war,wikipedia__wuu,wikipedia__yo,wikipedia__zh_min_nan,wikipedia__zh_yue,wikipedia__enwikinews,name__an,name__ast,name__bar,name__co,name__de_at,name__frp,name__fur,name__gd,name__gl,name__gsw,name__ia,name__ie,name__kg,name__lb,name__li,name__lij,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__sc,name__scn,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__wa,name__wo,name__zu,wikipedia__lb,wikipedia__mk,original_wikiname,name__szl,name__bcl,name__my,name__az,name__vep,name__ksh,name__nah,name__mwl,wikipedia__az,wikipedia__bcl,wikipedia__gd,wikipedia__ie,wikipedia__is,wikipedia__ksh,wikipedia__mwl,wikipedia__my,wikipedia__nah,wikipedia__nds,wikipedia__nn,wikipedia__plwikiquote,wikipedia__sw,wikipedia__szl,wikipedia__trwikiquote,wikipedia__vep,identifier__MusicBrainz,identifier__discogs
Q4678672,Adam Bandt,Adam Bandt,https://upload.wikimedia.org/wikipedia/commons/3/31/AdmbandtJuly2010.jpg,male,,,,,,1972-03-11,,,Adam,,,,,,,,,,,,,,,Adam Bandt,,,,,,,,,,Adam Bandt,,Adam Bandt,,,,Adam Bandt,,,,,Adam Bandt,,Adam Bandt,,,,,,,,,,Adam Bandt,,,,,,,,Adam Bandt,,,,Adam Bandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Adam Bandt,,,Adam Bandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam Bandt,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16215193,Andrew Broad,Andrew Broad,,male,,,,,,1975-07-02,,,Andrew,,,,,,,,,,,,,,,Andrew Broad,,,,,,,,,,Andrew Broad,,,,,,Andrew Broad,,,,,Andrew Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Broad,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16214422,Andrew Giles,Andrew Giles,,male,,,,,,1973-07-31,,,Andrew,,,,,,,,,,,,,,,Andrew Giles,,,,,,,,,,Andrew Giles,,,,,,Andrew Giles,,,,,Andrew Giles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Giles,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4766888,Anna Burke,Anna Burke,,female,,,,,,1966-01-01,,,Anna,,,,,,,,,,,,,,,Anna Burke,,,,,,,,,,Anna Burke,,Anna Burke,,,,Anna Burke,,,,,Anna Burke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anna Burke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anna Burke,,,,,,,,,,,,,,,,,,,,,,,,,,
Q335697,Anthony Albanese,Anthony Albanese,https://upload.wikimedia.org/wikipedia/commons/c/cb/Anthony_Albanese.jpg,male,92625366,,,,,1963-03-02,/m/02pr9v,,Anthony,,,,,,,,,,,,,,,Anthony Albanese,,,,,,,,,Anthony Albanese,Anthony Albanese,,Anthony Albanese,,,,Anthony Albanese,,,,,Anthony Albanese,安東尼·阿爾巴尼西,,,,,,,,,,,Anthony Albanese,,,,,,,,,,,,Anthony Albanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Albanese,,,,Anthony Albanese,,,,Anthony Albanese,,,,,,,,,,,,,,,,,,,,,,,,Anthony Albanese,,,,,,,,,,,,,,,,,,,,安東尼·阿爾巴尼西,Anthony Albanese,Anthony Albanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Albanese,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4772190,Anthony Byrne,Anthony Byrne,,male,,,,,,1962-12-01,,,Anthony,,,,,,,,,,,,,,,Anthony Byrne (politician),,,,,,,,,,Anthony Byrne,,Anthony Byrne,,,,Anthony Byrne,,,,,Anthony Byrne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Byrne (politician),,,,,,,,,,,,,,,,,,,,,,,,,,
Q4931731,Bob Baldwin,Bob Baldwin,https://upload.wikimedia.org/wikipedia/commons/c/cc/BobBaldwinMP.jpg,male,16695437,,,,,1955-03-09,,,Bob,,,,,,,,,,,,,,,Bob Baldwin,,,,,,,,,,Bob Baldwin,,Bob Baldwin,,,,Bob Baldwin,,,,,Bob Baldwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bob Baldwin,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4974135,Bronwyn Bishop,Bronwyn Bishop,https://upload.wikimedia.org/wikipedia/commons/b/b7/Bronwyn_Bishop_-_Flickr_-_Eva_Rinaldi_Celebrity_and_Live_Music_Photographer_(1).jpg,female,69741847,119557258,n95083353,,,1942-10-19,,,Bronwyn,0000 0001 1493 2181,35181587,,,,,,,,,,,,,Bronwyn Bishop,,,,,,,,,,Bronwyn Bishop,,Bronwyn Bishop,,,,Bronwyn Bishop,,,,,Bronwyn Bishop,布朗雯·毕晓普,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronwyn Bishop,,,,,,,,Bronwyn Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,布朗雯·毕晓普,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronwyn Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4977155,Bruce Billson,Bruce Billson,https://upload.wikimedia.org/wikipedia/commons/2/29/Bruce_Billson_headshot.jpg,male,,,,,,1966-01-26,,,Bruce,,,,,,,,,,,,,,,Bruce Billson,,,,,,,,,Bruce Billson,Bruce Billson,,Bruce Billson,,Bruce Billson,,Bruce Billson,,,,,Bruce Billson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruce Billson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruce Billson,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1077015,Chris Bowen,Chris Bowen,https://upload.wikimedia.org/wikipedia/commons/e/e3/Chris_Bowen.JPG,male,,,,,,1973-01-17,/m/0430dg,Bowen,Chris,,,,,,,,,,,,,,,Chris Bowen,,,,,,,,,Chris Bowen,Chris Bowen,,Chris Bowen,,,,Chris Bowen,,,,,Chris Bowen,克理斯·宝文,,,,,,,,,,,Chris Bowen,,,,,,,,,,,,Chris Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Bowen,,,,,,,,,,,,,,,,,,,,克理斯·宝文,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,
