id,name__en,name,wikipedia__en,image,gender,birth_date,identifier__freebase,given_name,death_date
Q316267,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,https://upload.wikimedia.org/wikipedia/commons/f/f2/Apisai_Ielemia_cropped.jpg,male,1955-08-19,/m/0g633_,Apisai,
Q15968283,Elisala Pita,Elisala Pita,Elisala Pita,,male,,,,
Q330640,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,,male,1956-02-10,/m/0ddbw5v,,
Q2377016,Falesa Pitoi,Falesa Pitoi,Falesa Pitoi,,male,,,,
Q15972515,Fauoa Maani,Fauoa Maani,Fauoa Maani,,male,,,,
Q3147210,Iakoba Italeli,Iakoba Italeli,Iakoba Italeli,,male,2000-01-01,/m/03h1dy5,,
Q6078458,Isaia Italeli,Isaia Italeli,Isaia Italeli,,male,,,Isaia,2011-07-20
Q739504,Kamuta Latasi,Kamuta Latasi,Kamuta Latasi,,male,1936-01-01,/m/0c8dkz,,
Q6378927,Kausea Natano,Kausea Natano,Kausea Natano,,male,,,,
Q2378838,Lotoala Metia,Lotoala Metia,Lotoala Metia,,male,,,,2012-12-21
Q287513,Maatia Toafa,Maatia Toafa,Maatia Toafa,,male,1954-05-01,/m/03s66y,,
Q6961984,Namoliki Sualiki,Namoliki Sualiki,Namoliki Sualiki,,male,,,,
Q7108741,Otinielu Tausi,Otinielu Tausi,Otinielu Tausi,,male,,,,
Q7161303,Pelenike Isaia,Pelenike Isaia,Pelenike Isaia,,female,,,,
Q19795263,Puakena Boreham,Puakena Boreham,Puakena Boreham,,female,,,,
Q18355480,Satini Manuella,Satini Manuella,Satini Manuella,,male,,,,
Q7684285,Taom Tanukale,Taom Tanukale,Taom Tanukale,,male,,,,
Q7688699,Taukelina Finikaso,Taukelina Finikaso,Taukelina Finikaso,,male,,,,
Q7689043,Tavau Teii,Tavau Teii,Tavau Teii,,male,,,,
Q923836,Tomu Sione,Tomu Sione,Tomu Sione,,male,1941-11-17,/m/0bfywd,,
Q7923554,Vete Sakaio,Vete Sakaio,Vete Sakaio,,male,,,,
Q561559,Willy Telavi,Willy Telavi,Willy Telavi,https://upload.wikimedia.org/wikipedia/commons/1/15/WillyTevali.jpg,male,1954-01-28,/m/03h1dtd,Willy,
