name,wikiname,area,group,term,source,id,name__en,wikipedia__en,gender,birth_date,given_name,family_name,image,identifier__freebase,name__fr,name__nl,name__de,wikipedia__fr,name__pt,name__pl,name__ru,name__es,name__tr,name__yo,name__oc,name__fi,name__uk,name__gl,name__et,name__id,name__el,name__io,name__sv,name__ar,name__nb,name__da,name__nn,wikipedia__ar,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__id,wikipedia__io,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo,name__it,name__he,name__mr,name__ko,name__ja,name__ca,name__zh_hans,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__zh,wikipedia__da,wikipedia__he,wikipedia__ja,wikipedia__ko,wikipedia__mr,wikipedia__simple,wikipedia__zh,identifier__wikidata
Bernard Nottage,"",Bain & Grants Town,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renward Wells,Renward Wells,Bamboo Town,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q7313601,Renward Wells,Renward Wells,male,1970-02-23,Renward,,,,,,Renward Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7313601
Daniel Johnson,"",Carmichael,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philip ""Brave"" Davis","Philip ""Brave"" Davis","Cat Island, Rum Cay & San Salvador",PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q7183082,"Philip ""Brave"" Davis","Philip ""Brave"" Davis",male,1951-07-07,Philip,,,,"Philip ""Brave"" Davis","Philip ""Brave"" Davis",,,,,,"Philip ""Brave"" Davis",,,,,,,,,,,"Philip ""Brave"" Davis",,"Philip ""Brave"" Davis","Philip ""Brave"" Davis","Philip ""Brave"" Davis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7183082
Edison Key,"",Central & South Abaco,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Gomez,"",Central & South Eleuthera,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neko Grant,"",Central Grand Bahama,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perry Christie,Perry Christie,Centreville,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q57705,Perry Christie,Perry Christie,male,1943-08-21,Perry,Christie,https://upload.wikimedia.org/wikipedia/commons/1/11/2006_0322_rice_600.jpg,/m/0230mv,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,"Кристи, Перри",Perry Christie,Perry Christie,,Perry Christie,Perry Christie,Перрі Крісті,Perry Christie,Perry Christie,Perry Christie,Πέρι Κρίστι,Perry Christie,Perry Christie,,Perry Christie,Perry Christie,Perry Christie,,Perry Christie,Πέρι Κρίστι,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,"Кристи, Перри",Perry Christie,Perry Christie,Перрі Крісті,,,פרי כריסטי,पेरी क्रिस्टी,페리 크리스티,ペリー・クリスティー,Perry Christie,佩里·克里斯蒂,Perry Christie,Perry Christie,Perry Christie,Perry Christie,佩里·克里斯蒂,Perry Christie,פרי כריסטי,ペリー・クリスティー,페리 크리스티,पेरी क्रिस्टी,Perry Christie,佩里·克里斯蒂,Q57705
Peter Turnquest,"",East Grand Bahama,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Pinder,Ryan Pinder,Elizabeth,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q7384427,Ryan Pinder,Ryan Pinder,male,1947-09-13,Ryan,,,,Ryan Pinder,,Ryan Pinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7384427
