id,name__lb,name,wikipedia__lb,name__fr,wikipedia__fr,name__de,wikipedia__de,name__en,wikipedia__en,gender,birth_date,given_name,image,identifier__PACE,identifier__VIAF,identifier__SUDOC,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__freebase,identifier__NTA,identifier__Munzinger,identifier__EuroparlMEP,website,family_name,identifier__parlement
Q4717326,Alexandre Krieps,Alexandre Krieps,Alexandre Krieps,Alex Krieps,"",Alex Krieps,"",Alex Krieps,Alex Krieps,male,1946-06-25,Alexandre,,,,,,,,,,,,,,,
Q4724923,Ali Kaes,Ali Kaes,Ali Kaes,Ali Kaes,"",Ali Kaes,"",Ali Kaes,Ali Kaes,male,1955-04-04,Ali,,,,,,,,,,,,,,,
Q13101525,André Bauler,André Bauler,André Bauler,,"",,"",André Bauler,"",male,1964-02-05,André,,,305287015,,,,,,,,,,,,
Q539770,Anne Brasseur,Anne Brasseur,Anne Brasseur,Anne Brasseur,Anne Brasseur,Anne Brasseur,Anne Brasseur,Anne Brasseur,Anne Brasseur,female,1950-05-19,Anne,https://upload.wikimedia.org/wikipedia/commons/4/40/Anne_Brasseur_par_Claude_Truong-Ngoc_mars_2015.jpg,5406,,,,,,,,,,,,,
Q16438796,Claude Adam,Claude Adam,Claude Adam,Claude Adam,Claude Adam (homme politique),Claude Adam,Claude Adam,Claude Adam,"",male,1958-08-21,Claude,https://upload.wikimedia.org/wikipedia/commons/a/af/Claude-Adam--w.jpg,,,,,,,,,,,,,,
Q2978289,Claude Wiseler,Claude Wiseler,Claude Wiseler,Claude Wiseler,Claude Wiseler,Claude Wiseler,Claude Wiseler,Claude Wiseler,Claude Wiseler,male,1960-01-30,Claude,,,201083551,104065753,,,,,,,,,,,
Q15629005,Corinne Cahen,Corinne Cahen,Corinne Cahen,Corinne Cahen,"",Corinne Cahen,Corinne Cahen,Corinne Cahen,Corinne Cahen,female,1973-05-16,Corinne,"https://upload.wikimedia.org/wikipedia/commons/2/25/Corinne_Cahen,_Vernissage_Judenrein_Differdange.jpg",,,,,,,,,,,,,,
Q13102284,David Wagner (Politiker),David Wagner (Politiker),David Wagner (Politiker),David Wagner,"",,"",David Wagner,"",male,1979-03-03,David,,,,,,,,,,,,,,,
Q13102331,Diane Adehm,Diane Adehm,Diane Adehm,Diane Adehm,"",Diane Adehm,"",Diane Adehm,"",female,1970-09-13,Diane,,,,,,,,,,,,,,,
Q16439821,Edy Mertens,Edy Mertens,Edy Mertens,Edy Mertens,"",,"",Edy Mertens,"",male,1954-08-22,,,,,,,,,,,,,,,,
Q16439120,Emile Eicher,Emile Eicher,Emile Eicher,Emile Eicher,"",Emile Eicher,"",Emile Eicher,"",male,1955-06-30,Emile,,,,,,,,,,,,,,,
Q5408535,Eugène Berger,Eugène Berger,Eugène Berger,,"",Eugène Berger,"",Eugène Berger,Eugène Berger,male,1960-12-04,Eugène,,,,,,,,,,,,,,,
Q639734,Fernand Kartheiser,Fernand Kartheiser,Fernand Kartheiser,Fernand Kartheiser,"",Fernand Kartheiser,Fernand Kartheiser,Fernand Kartheiser,"",male,1959-09-30,Fernand,,,160161681,,,,,,,,,,,,
Q3083923,François Bausch,François Bausch,François Bausch,François Bausch,François Bausch,François Bausch,François Bausch,François Bausch,François Bausch,male,1956-10-16,François,,,,,,,,,,,,,,,
Q16439121,Félix Eischen,Félix Eischen,Félix Eischen,Félix Eischen,"",Félix Eischen,"",Félix Eischen,"",male,1966-02-05,Félix,,,,,,,,,,,,,,,
Q16438871,Gilles Baum,Gilles Baum,Gilles Baum,Gilles Baum,"",,"",Gilles Baum,"",male,1973-01-16,Gilles,,,,,,,,,,,,,,,
Q13102837,Gilles Roth,Gilles Roth,Gilles Roth,Gilles Roth,"",Gilles Roth,"",Gilles Roth,"",male,1967-03-01,Gilles,,,,,,,,,,,,,,,
Q16439318,Gusty Graas,Gusty Graas,Gusty Graas,Gusty Graas,"",,"",Gusty Graas,"",male,1957-09-14,Gusty,,,20783436,,,,,,,,,,,,
Q13102905,Guy Arendt,Guy Arendt,Guy Arendt,Guy Arendt,"",,"",Guy Arendt,"",male,1954-04-13,Guy,,,58648716,,,,,,,,,,,,
Q57661,Jean-Claude Juncker,Jean-Claude Juncker,Jean-Claude Juncker,Jean-Claude Juncker,Jean-Claude Juncker,Jean-Claude Juncker,Jean-Claude Juncker,Jean-Claude Juncker,Jean-Claude Juncker,male,1954-12-09,Jean-Claude,https://upload.wikimedia.org/wikipedia/commons/4/4b/Ioannes_Claudius_Juncker_die_7_Martis_2014.jpg,,59397705,077204859,0000 0001 0977 318X,123288835,n2003114833,15542687k,/m/0231bb,326203346,00000021172,,,,
Q470807,Jean-Marie Halsdorf,Jean-Marie Halsdorf,Jean-Marie Halsdorf,Jean-Marie Halsdorf,Jean-Marie Halsdorf,Jean-Marie Halsdorf,Jean-Marie Halsdorf,Jean-Marie Halsdorf,Jean-Marie Halsdorf,male,1957-02-01,Jean-Marie,https://upload.wikimedia.org/wikipedia/commons/1/13/Jean_Marie_Halsdorf_Kalbermillen_20080926.jpg,,,,,,,,/m/075mf5,,,,,,
Q16439127,Joëlle Elvinger,Joëlle Elvinger,Joëlle Elvinger,,"",,"",Joëlle Elvinger,"",female,1980-01-06,Joëlle,,,,,,,,,,,,,,,
Q16440241,Justin Turpel,Justin Turpel,Justin Turpel,Justin Turpel,"",,"",Justin Turpel,"",male,1954-01-08,Justin,,,,,,,,,,,,,,,
Q728060,Laurent Mosar,Laurent Mosar,Laurent Mosar,Laurent Mosar,"",Laurent Mosar,Laurent Mosar,Laurent Mosar,Laurent Mosar,male,1958-02-08,Laurent,https://upload.wikimedia.org/wikipedia/commons/a/a8/Laurent_Mosar.jpg,,,,,,,,/m/05sxglx,,,,,,
Q13103716,Laurent Zeimet,Laurent Zeimet,Laurent Zeimet,Laurent Zeimet,"",,"",Laurent Zeimet,"",male,1974-01-01,Laurent,,,,,,,,,,,,,,,
Q16439061,Lex Delles,Lex Delles,Lex Delles,Lex Delles,"",,"",Lex Delles,"",male,1984-11-28,Lex,"https://upload.wikimedia.org/wikipedia/commons/c/ce/Lex_Delles,_AG_MemoShoah_2015,_Synagog_Munneref-102.jpg",,,,,,,,,,,,,,
Q592101,Luc Frieden,Luc Frieden,Luc Frieden,Luc Frieden,Luc Frieden,Luc Frieden,Luc Frieden,Luc Frieden,Luc Frieden,male,1963-09-16,Luc,https://upload.wikimedia.org/wikipedia/commons/7/76/Luc_Frieden_at_IEIS_Conference_Arno_J_Mayer_May_2013.jpg,,162106166,,,,,,/m/0gxnvj,,,,,,
Q451696,Lydie Polfer,Lydie Polfer,Lydie Polfer,Lydie Polfer,Lydie Polfer-Wurth,Lydie Polfer,Lydie Polfer,Lydie Polfer,Lydie Polfer,female,1952-11-22,Lydie,https://upload.wikimedia.org/wikipedia/commons/7/73/Lydie-Polfer_w2.jpg,,24207496,,,,no97050860,,/m/03jkpk,,,28862,,,
Q13103872,Léon Gloden,Léon Gloden,Léon Gloden,Léon Gloden,"",Léon Gloden,"",Léon Gloden,"",male,1972-12-09,Léon,,,,,,,,,,,,,,,
