name,wikiname,area,religion,group,party_wikiname,term,source,id,name__en,name__ar,name__es,name__de,name__fr,name__nl,wikipedia__ar,wikipedia__en,gender,name__pl,wikipedia__de,wikipedia__fr,wikipedia__pl,birth_date,identifier__freebase,given_name,name__it,name__ja,wikipedia__ja,image,identifier__viaf,name__he,wikipedia__he,death_date,name__mg,wikipedia__mg,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__yo,name__ms,name__id,name__el,name__sv,name__pt,name__ru,name__tr,name__ca,name__fi,name__nn,name__frp,name__bg,name__nb,name__zh,name__pam,name__scn,wikipedia__bg,wikipedia__ca,wikipedia__commons,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__frp,wikipedia__id,wikipedia__it,wikipedia__itwikiquote,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__pam,wikipedia__pt,wikipedia__ru,wikipedia__scn,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__yo,wikipedia__zh,identifier__sudoc,identifier__munzinger,name__yi,name__hy,name__la,name__sl,name__fa,wikipedia__fa,wikipedia__hy,wikipedia__la,wikipedia__sl,wikipedia__yi,identifier__isni,identifier__gnd,identifier__lcauth,identifier__bnf,identifier__nli,name__arz,name__cs,wikipedia__arz,name__oc,name__gl,name__io,name__sh,name__hu,name__et,name__pt_br,wikipedia__cs,wikipedia__et,wikipedia__gl,wikipedia__hu,wikipedia__io,wikipedia__oc,wikipedia__sh,website,name__eu,name__eo,name__th,wikipedia__eo,wikipedia__eu,wikipedia__th,name__cy,wikipedia__cy,wikipedia__enwikiquote,identifier__imdb,name__br,wikipedia__br,family_name,name__en_ca,name__en_gb,name__ko,name__vi,name__uk,name__ie,wikipedia__ie,wikipedia__ko,wikipedia__uk,wikipedia__vi
Nayla Tueni,Nayla Tueni,Beirut I,Greek Orthodox,Independent within 14 March,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q460686,Nayla Tueni,نايلة تويني,Nayla Tueni,Nayla Tueni,Nayla Tueni,Nayla Tueni,نايلة تويني,Nayla Tueni,female,Najla Tueni,Nayla Tueni,,Najla Tueni,1982-08-31,/m/076zm2v,Nayla,Nayla Tueni,,,,,נאילה תוויני,נאילה תוויני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nadim Gemayel,Nadim Gemayel,Beirut I,Maronite,Kataeb Party,Kataeb Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2919035,Nadim Gemayel,نديم الجميّل,Nadim Gemayel,Nadim Gemayel,Nadim Bachir Gemayel,Nadim Gemayel,نديم الجميل,Nadim Gemayel,male,Nadim Dżemajel,,Nadim Bachir Gemayel,Nadim al-Dżumajjil,1982-05-01,/m/05mzkkl,Nadim,Nadim Bashir Gemayel,,,https://upload.wikimedia.org/wikipedia/commons/a/a1/NBG_p1.PNG,,נדים ג'ומאייל,נדים ג'ומאייל,,,,,,,,,,,,,,,,,,,,,,,Nadim Gemayel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,نديم الجميل,Nádim Džamáíl,نديم الجميل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Pharaon,Michel Pharaon,Beirut I,Greek Catholic,Independent within 14 March,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q715656,Michel Pharaon,ميشال فرعون,Michel Pharaon,Michel Pharaon,Michel Pharaon,Michel Pharaon,ميشال فرعون,Michel Pharaon,male,Michel Faraon,Michel Pharaon,Michel Pharaon,Michel Faraon,1959-01-01,/m/0fspmb,Michel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serge Torsarkissian,Serge Torsarkissian,Beirut I,Armenian Catholic,Hunchak,Hunchak,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3479565,Serge Torsarkissian,سيرج طورسركيسيان,,Serge Torsarkissian,Serge Tour-Sarkissian,,سيرج طورسركيسيان,Serge Torsarkissian,male,Serż Torsarkisjan,,Serge Tour-Sarkissian,Serż Torsarkisjan,1965-01-01,/m/08067kz,Serge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean Ogassapian,"",Beirut I,Armenian Orthodox,Ramgavar,Ramgavar,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebouh Kalpakian,"",Beirut II,Armenian Orthodox,Hunchak,Hunchak,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Nazarian,Arthur Nazarian,Beirut II,Armenian Orthodox,Tashnag,Tashnag,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q378415,Arthur Nazarian,أرثور نزاريان,,Arthur Nazarian,Arthur Nazarian,Arthur Nazarian,أرثور نزاريان,Arthur Nazarian,male,Artur Nazarian,,Arthur Nazarian,Artur Nazarian,1951-01-01,/m/064k2_y,Arthur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hani Kobeissy,Hani Kobeissy,Beirut II,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2943744,Hani Kobeissy,هاني قبيسي,Hani Kobeissy,Hani Kobeissy,,Hani Kobeissy,هاني قبيسي,Hani Kobeissy,male,,,,,,,Hani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nohad el Machnouk,"",Beirut II,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saad Hariri,Saad Hariri,Beirut III,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q296771,Saad Hariri,سعد الدين الحريري,Saad Hariri,Saad Hariri,Saad Hariri,Saad Hariri,سعد الدين الحريري,Saad Hariri,male,Saad Hariri,Saad Hariri,Saad Hariri,Sad al-Hariri,1970-04-18,/m/06fn7z,,Saad Hariri,サード・ハリーリー,サード・ハリーリー,https://upload.wikimedia.org/wikipedia/commons/b/b2/Hariri_in_April_2009.jpg,263267832,סעד אל-חרירי,סעד אל-חרירי,,,,萨阿德·哈里里,薩德·哈里里,薩德·哈里里,萨阿德·哈里里,萨阿德·哈里里,薩德·哈里里,Saad Hariri,Saad Hariri,Saad Hariri,Σαάντ Χαρίρι,Saad Hariri,,"Харири, Саад",Saad Hariri,,Saad Hariri,,,Саад Харири,Saad Hariri,萨阿德·哈里里,Saad Hariri,,Саад Харири,,,Σαάντ Χαρίρι,Saad Hariri,Saad Hariri,,Saad Hariri,Saad Hariri,,Saad Hariri,Saad Hariri,,Saad Hariri,Saad Hariri,,"Харири, Саад",,,Saad Hariri,Saad Hariri,Saad Hariri,萨阿德·哈里里,,00000026212,,Սաադ Հարիրի,,,سعد حریری,سعد حریری,,,,,,1020821612,no2008039236,,,,,,Saad Hariri,,Saad Hariri,,,Sa‘d al-Ḩarīrī,,,Sa‘d al-Ḩarīrī,,,Saad Hariri,Saad Hariri,,,Saad Hariri,Saad Hariri,ซาอัด ฮาริรี,Saad Hariri,Saad Hariri,ซาอัด ฮาริรี,,,,,,,,,,,,,,,,,
Ammar Houry,"",Beirut III,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed Kabbani,"",Beirut III,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamam Salam,Tamam Salam,Beirut III,Sunni,Independent within 14 March,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imad el Hout,"",Beirut III,Sunni,Islamic Group,Islamic Group,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghazi Youssef,"",Beirut III,Shia,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghazi Aridi,Ghazi Aridi,Beirut III,Druz,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q600769,Ghazi Aridi,غازي العريضي,Ghazi Aridi,Ghazi Aridi,Ghazi Aridi,Ghazi Aridi,غازي العريضي,Ghazi Aridi,male,Ghazi al-Aridi,,Ghazi Aridi,Ghazi al-Aridi,1954-09-17,/m/0n527yf,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Ghazi-alaridi.jpg,7257122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atef Majdalani,"",Beirut III,Greek Orthodox,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bassem Chabb,"",Beirut III,Protestant,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nabil De Freije,"",Beirut III,Christian minorities,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaled Zahraman,"",Akkar,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaled El Daher,"",Akkar,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouiine el Merehbi,"",Akkar,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khodr Habib,"",Akkar,Alawite,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riad Rahal,"",Akkar,Greek Orthodox,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidal Tohme,"",Akkar,Greek Orthodox,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadi Hobeiche,"",Akkar,Maronite,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
